zips/2025091118/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Todd-Road-Intersection-Improvements_CEQA_Initial_Study_MND-Sept2025.PDF:congested-headed hayfield tarplant (Hemizonia congesta ssp. congesta). Congested-headed
zips/2025091118/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Todd-Road-Intersection-Improvements_CEQA_Initial_Study_MND-Sept2025.PDF:Sidalcea oregana ssp.
zips/2025091118/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Todd-Road-Intersection-Improvements_CEQA_Initial_Study_MND-Sept2025.PDF:Trichostema ruygtii
zips/2025091118/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Todd-Road-Intersection-Improvements_CEQA_Initial_Study_MND-Sept2025.PDF:Trifolium amoenum
zips/2025091118/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Todd-Road-Intersection-Improvements_CEQA_Initial_Study_MND-Sept2025.PDF:Trifolium hydrophilum
zips/2025091118/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Todd-Road-Intersection-Improvements_CEQA_Initial_Study_MND-Sept2025.PDF:Viburnum ellipticum
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study_Desiree Vineyard_P24-00028-ECPA_OPR.PDF:including: Franciscan onion (Allium peninsulare var. franciscanum), Napa false indigo (Amorpha californica var. napensis), bent-flowered
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study_Desiree Vineyard_P24-00028-ECPA_OPR.PDF:fiddleneck (Amsinckia lunaris), Clara Hunt’s milk-vetch (Astragalus claranus), big-scale balsamroot (Balsamorhiza macrolepis), streamside
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study_Desiree Vineyard_P24-00028-ECPA_OPR.PDF:daisy (Erigeron biolettii), nodding harmonia (Harmonia nutans), hayfield tarplant (Hemizonia congesta ssp. congesta), bristly leptosiphon
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study_Desiree Vineyard_P24-00028-ECPA_OPR.PDF:(Leptosiphon aureus), Mt. Diablo cottonweed (Micropus amphibolus), and oval-leaved viburnum (Viburnum ellipticum). The biological
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:(Heteromeles arbutifolia), buck brush (Ceanothus cuneatus), and grasses, while land use is
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:(Eschscholzia californica), common soap plant (Chlorogalum pomeridianum), and common yarrow
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:manzanita (Arctostaphylos manzanita ssp. manzanita), poison oak (Toxicodendron diversilobum),
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:upright snowberry (Symphoricarpos albus), soap plant (Chlorogalum pomeridianum), ookow
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Franciscan onion (Allium peninsulare var. franciscanum); CRPR 1B
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Napa false indigo (Amorpha californica var. napensis); CRPR 1B
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Bent-flowered fiddleneck (Amsinckia lunaris); CRPR 1B
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Clara Hunt’s milk-vetch (Astragalus claranus); FE, ST, CRPR 1B
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Big-scale balsamroot (Balsamorhiza macrolepis); CRPR 1B
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Streamside daisy (Erigeron biolettii); CRPR 3
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Nodding harmonia (Harmonia nutans); CRPR 4
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Congested-headed hayfield tarplant (Hemizonia congesta ssp. congesta); CRPR 1B
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Mt. Diablo cottonweed (Micropus amphibolus); CRPR 3
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Oval-leaved viburnum (Viburnum ellipticum); CRPR 2B
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Chlorogalum pomeridianum var.
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Microseris douglasii
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Arctostaphylos manzanita ssp.
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Fritillaria affinis
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Claytonia parviflora
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Galium californicum
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Agrostis hendersonii
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Allium peninsulare var.
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Amorpha californica var.
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Amsinckia lunaris
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Aphyllon validum ssp. howellii
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Arabis modesta
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Arctostaphylos stanfordiana ssp.
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Astragalus breweri
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Astragalus claranus
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Astragalus clevelandii
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Astragalus tener var. tener
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Balsamorhiza macrolepis
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Blennosperma bakeri
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Brodiaea leptandra
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Calamagrostis ophitidis
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Calandrinia breweri
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Calystegia collina ssp. oxyphylla
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Castilleja ambigua var.
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Castilleja ambigua var. meadii
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Ceanothus confusus
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Ceanothus divergens
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Ceanothus purpureus
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Ceanothus sonomensis
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Centromadia parryi ssp. rudis
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Clarkia breweri
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Clarkia gracilis ssp. tracyi
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Collomia diversifolia
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Cordylanthus tenuis ssp.
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Delphinium uliginosum
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Downingia pusilla
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Eleocharis parvula
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Erigeron biolettii
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Erigeron greenei
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Eryngium jepsonii
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Erythronium helenae
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Fritillaria purdyi
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Harmonia nutans
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Hemizonia congesta ssp.
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Hesperolinon bicarpellatum
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Hesperolinon breweri
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Hesperolinon sharsmithiae
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Horkelia tenuiloba
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Lasthenia conjugens
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Lathyrus jepsonii var. jepsonii
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Layia septentrionalis
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Leptosiphon jepsonii
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Leptosiphon latisectus
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Lessingia hololeuca
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Lilium rubescens
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Limnanthes vinculans
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Lomatium repostum
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Lupinus sericatus
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Malacothamnus helleri
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Micropus amphibolus
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Monardella viridis
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Navarretia cotulifolia
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Navarretia heterandra
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Navarretia leucocephala ssp.
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Navarretia leucocephala ssp.
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Navarretia rosulata
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Penstemon newberryi var.
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Ranunculus lobbii
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Rhynchospora californica
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Sagittaria sanfordii
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Sidalcea hickmanii ssp.
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Sidalcea keckii
zips/2025091119/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B-1_Biological Survey_OCR.PDF:Sidalcea oregana ssp.
