zips/2025010342/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Scoping Document.PDF:californicus), among others, and rare plants such as Gaviota tarplant (Deinandra increscens
zips/2025010372/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Biological Assessment_Updated 8.PDF:(Astragalus tidestromii)
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Atriplex coulteri
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Atriplex pacifica
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Atriplex parishii
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Baccharis vanessae
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Bloomeria clevelandii
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Brodiaea filifolia
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Brodiaea orcuttii
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Ceanothus verrucosus
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Centromadia parryi ssp.
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Centromadia pungens
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Chorizanthe orcuttiana
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Clarkia delicata
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Cryptantha wigginsii
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Dudleya blochmaniae
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Dudleya multicaulis
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Dudleya variegata
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Dudleya viscida
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Ericameria palmeri var.
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Eryngium aristulatum
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Erysimum ammophilum
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Euphorbia misera
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Ferocactus viridescens
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Hazardia orcuttii
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Heterotheca sessiliflora
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Horkelia cuneata var.
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Horkelia truncata
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Isocoma menziesii var.
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Iva hayesiana
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Lasthenia glabrata ssp.
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Leptosyne maritima
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Monardella hypoleuca
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Monardella hypoleuca
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Navarretia fossalis
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Orcuttia californica
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Pinus torreyana ssp.
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Pogogyne abramsii
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Quercus dumosa
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Salvia munzii
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Stemodia durantifolia
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Suaeda esteroa
zips/2025010341/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC-Biology.PDF:Tetracoccus dioicus
zips/2025010340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Final_ISMND_24-25 GSIP_01-10-2025-sign_prb.PDF:Amsinckia lunaris
zips/2025010340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Final_ISMND_24-25 GSIP_01-10-2025-sign_prb.PDF:Dirca occidentalis
zips/2025010340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Final_ISMND_24-25 GSIP_01-10-2025-sign_prb.PDF:Gilia millefoliata
zips/2025010340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Final_ISMND_24-25 GSIP_01-10-2025-sign_prb.PDF:Horkelia tenuiloba
zips/2025010340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Final_ISMND_24-25 GSIP_01-10-2025-sign_prb.PDF:Kopsiopsis hookeri
zips/2025010340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Final_ISMND_24-25 GSIP_01-10-2025-sign_prb.PDF:Navarretia rosulata
zips/2025010340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Final_ISMND_24-25 GSIP_01-10-2025-sign_prb.PDF:Quercus parvula
zips/2025010340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Final_ISMND_24-25 GSIP_01-10-2025-sign_prb.PDF:Sidalcea calycosa
zips/2025010340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Final_ISMND_24-25 GSIP_01-10-2025-sign_prb.PDF:Trifolium amoenum two-fork clover
zips/2025010340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Final_ISMND_24-25 GSIP_01-10-2025-sign_prb.PDF:Iris longipetala coast iris
zips/2025010340/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Final_ISMND_24-25 GSIP_01-10-2025-sign_prb.PDF:Juncus acutus southwestern Juncaceae
