zips/2026060591/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ED26-0086 Near Miss Exemption for GRAD2025-00168 & GRAD2025-00327.PDF:• Dwarf calycadenia (Calycadenia villosa)
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:Castilleja campestris var. succulenta
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:Gratiola heterosepala
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:Sagittaria sanfordii
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:Agrostis hendersonii
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:Neostapfia colusana
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:Orcuttia pilosa
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:Orcuttia inaequalis
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:Tuctoria greenei
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:Eryngium racemosum
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:Eryngium spinosepalum
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:Calycadenia hooveri
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:Lasthenia chrysantha
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:Pseudobahia bahiifolia
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:Brasenia schreberi
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:Downingia pusilla
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:Atriplex cordulata
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:Atriplex persistens
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:Brasenia schreberi
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:Clarkia rostrata
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:Downingia pusilla
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:Navarretia myersii
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:Orcuttia pilosa
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:Phacelia ciliata
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:Sidalcea keckii
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:Tuctoria greenei
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:Holocarpha virgata
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_Appendices_OCR.PDF:Psilocarphus brevissimus
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_OCR.PDF:3. Succulent owl’s clover (Castilleja campestris ssp. Succulenta; Endangered)
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_OCR.PDF:4. Colusa grass (Neostapfia colusana; Endangered)
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_OCR.PDF:5. San Joaquin Valley Orcutt grass (Orcuttia inaequalis; Endangered)
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_OCR.PDF:(Holocarpha virgata), soft brome, and rattail sixweeks grass (Festuca myuros). Annual grasslands may
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_OCR.PDF:Area: Henderson’s bent grass (Agrostis hendersonii), succulent owl’s clover, dwarf downingia
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_OCR.PDF:(Downingia pusilla), spiny-sepaled button-celery (Eryngium spinosepalum), and shining navarretia
zips/2026060592/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/UC Merced Solar and BESS_ISMND_PublicReviewDraft_OCR.PDF:(Navarretia nigelliformis ssp. radians). Special-status plant species with potential to occur in the Study
zips/2026060638/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS.PDF:(Eriogonum apricum); and lone Manzanita (Arctostaphy/os myrifo/ia), The project location does not contain
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Abronia villosa var.
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Allium marvinii
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Allium munzii
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Almutaster pauciflorus
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Ambrosia pumila
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Amsinckia douglasiana
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Astragalus pachypus
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Atriplex coronata var.
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Atriplex parishii
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Atriplex serenana var.
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Ayenia compacta
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Bahiopsis laciniata
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Brodiaea filifolia
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Brodiaea santarosae
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Calochortus weedii var.
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Calochortus plummerae
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Caulanthus simulans
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Centromadia pungens
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Chorizanthe leptotheca
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Chorizanthe parryi var.
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Carex buxbaumii
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Clinopodium chandleri
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Cryptantha wigginsii
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Deinandra paniculata
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Dodecahema leptoceras
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Dudleya multicaulis
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Eryngium aristulatum
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Erythranthe diffusa
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Geothallus tuberosus
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Harpagonella palmeri
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Holocarpha virgata ssp.
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Hordeum intercedens
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Juglans californica
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Juncus acutus ssp.
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Juncus luciensis
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Lathyrus splendens
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Lepidium virginicum var.
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Lasthenia glabrata ssp.
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Lilium humboldtii ssp.
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Lilium parryi
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Limnanthes alba ssp.
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Nama stenocarpa
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Navarretia fossalis
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Microseris douglasii ssp.
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Monardella hypoleuca
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Myosurus minimus ssp.
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Navarretia prostrata
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Orcuttia californica
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Quercus engelmannii
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Rhinotropis cornuta var.
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Romneya coulteri
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Sibaropsis hammittii
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Sidalcea neomexicana
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Sphaerocarpos drewiae
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Scutellaria bolanderi ssp
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Tortula californica
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Trichocoronis wrightii
zips/2026060639/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/21608_Del Oro Townhomes_Limited IS_Final.PDF:Texosporium sanctijacobi
