zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Tortula californica
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Spreading navarretia Navarretia fossalis)
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Thread-leaved brodiaea Brodiaea filifolia)
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Smooth tarplant (Centromadia pungens ssp.
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Chaparral sand-verbena (Abronia villosa var.
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Parish's brittlescale (Atriplex parishii)
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:San Jacinto Valley crownscale (Atriplex coronata
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Spreading navarretia (Navarretia fossalis)
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Wright's trichocoronis (Trichocoronis wrightii var.
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Coulter's goldfields (Lasthenia glabrata ssp.
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Thread-leaved brodiaea (Brodiaea filifolia)
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Munz's onion (Allium munzii)
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Davidson's saltscale (Atriplex serenana var.
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Parry's spineflower (Chorizanthe parryi var.
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Robinson's pepper-grass (Lepidium virginicum
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Little mousetail (Myosurus minimus ssp. apus)
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Palmer's grapplinghook (Harpagonella palmeri)
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Woven-spored lichen (Texosporium sancti-jacobi)
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:San Diego ambrosia (Ambrosia pumila)
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Payson's jewelflower (Caulanthus simulans)
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:California screw moss (Tortula californica)
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Marsh sandwort (Arenaria paludicola)
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Salt marsh bird's-beak (Chloropyron maritimum
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Chaparral ragwort (Senecio aphanactis)
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Nance General Biological Resources Assessment.PDF:Nevin's barberry (Berberis nevinii)
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Tortula californica
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Senecio aphanactis
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Abronia villosa var. aurita
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Lasthenia glabrata ssp. coulteri
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Atriplex serenana var. davidsonii
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Myosurus minimus ssp. apus
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Chorizanthe polygonoides var. longispina
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Arenaria paludicola
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Allium munzii
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Berberis nevinii
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Harpagonella palmeri
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Atriplex parishii
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Chorizanthe parryi var. parryi
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Caulanthus simulans
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Calochortus plummerae
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Lepidium virginicum var. robinsonii
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Chloropyron maritimum ssp. maritimum
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Ambrosia pumila
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Atriplex coronata var. notatior
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Centromadia pungens ssp. laevis
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Navarretia fossalis
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Brodiaea filifolia
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Texosporium sancti-jacobi
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Trichocoronis wrightii var. wrightii
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Spreading navarretia Navarretia fossalis)
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Thread-leaved brodiaea Brodiaea filifolia)
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Smooth tarplant (Centromadia pungens ssp.
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Chaparral sand-verbena (Abronia villosa var.
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Parish's brittlescale (Atriplex parishii)
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:San Jacinto Valley crownscale (Atriplex coronata
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Spreading navarretia (Navarretia fossalis)
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Wright's trichocoronis (Trichocoronis wrightii var.
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Coulter's goldfields (Lasthenia glabrata ssp.
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Thread-leaved brodiaea (Brodiaea filifolia)
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Munz's onion (Allium munzii)
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Davidson's saltscale (Atriplex serenana var.
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Parry's spineflower (Chorizanthe parryi var.
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Robinson's pepper-grass (Lepidium virginicum
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Little mousetail (Myosurus minimus ssp. apus)
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Palmer's grapplinghook (Harpagonella palmeri)
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Woven-spored lichen (Texosporium sancti-jacobi)
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:San Diego ambrosia (Ambrosia pumila)
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Payson's jewelflower (Caulanthus simulans)
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:California screw moss (Tortula californica)
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Marsh sandwort (Arenaria paludicola)
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Salt marsh bird's-beak (Chloropyron maritimum
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Chaparral ragwort (Senecio aphanactis)
zips/2025040769/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1 - Nance MSHCP Consistency Analysis.PDF:Nevin's barberry (Berberis nevinii)
