zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/00Draft Initial Study_230 Long Ranch Rd_P24-00114-ECPA_ocr.PDF:(Ceanothus purpureus), Sharsmith’s western flax (Hesperolinon sharsmithiae), Napa lomatium (Lomatium repostum), Mt. Diablo
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/00Draft Initial Study_230 Long Ranch Rd_P24-00114-ECPA_ocr.PDF:cottonweed (Micropus amphibolus), and green monardella (Monardella viridis). Of these five special-status plants, project biologists
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:(Pickeringia montana), and whiteleaf manzanita (Arctostaphylos manzanita ssp. manzanita). In some areas
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Eryngium jepsonii
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Collomia diversifolia
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Cordylanthus tenuis
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Erigeron greenei
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Eryngium jepsonii
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Erythronium helenae
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Fritillaria purdyi
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Harmonia nutans
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Layia septentrionalis
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Leptosiphon jepsonii
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Limnanthes vinculans
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Lomatium repostum
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Lupinus sericatus
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Micropus amphibolus
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Monardella viridis
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Navarretia cotulifolia
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Navarretia rosulata
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Penstemon newberryi
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Ranunculus lobbii
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Sagittaria sanfordii
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Sidalcea oregana ssp.
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Trichostema ruygtii
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Triteleia lugens
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Arctostaphylos glandulosa ssp.
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Arctostaphylos manzanita ssp.
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Calystegia collina ssp. collina
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Ceanothus cuneatus var. cuneatus
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Ceanothus foliosus var. foliosus
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Ceanothus purpureus
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Cercocarpus betuloides var.
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Chlorogalum pomeridianum var.
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Eriogonum nudum var. nudum
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Eriophyllum lanatum var.
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Hesperolinon sharsmithiae
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Lomatium repostum
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Microseris douglasii ssp. douglasii
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Monardella viridis
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Pickeringia montana var. montana
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Quercus durata var. durata
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Rhus aromatica
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-1 Biological Resource Assessment_ocr.PDF:Rosa gymnocarpa var. gymnocarpa
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:than one square foot. One small population of Sharsmith’s western flax (Hesperolinon sharsmithiae), was
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:type mapped a population of Sharsmith’s western flax (Hesperolinon sharsmithiae) estimated at three hundred
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:(Pickeringia montana), and whiteleaf manzanita (Arctostaphylos manzanita ssp. manzanita). In some areas
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Eryngium jepsonii
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Erigeron greenei
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Layia septentrionalis
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Amsinckia lunaris
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Streptanthus hesperidis
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Astragalus claranus
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Trichostema ruygtii
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Limnanthes vinculans
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Hesperolinon sharsmithiae
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Leptosiphon jepsonii
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Ceanothus purpureus
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Penstemon newberryi var. sonomensis
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Brodiaea leptandra
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Contra Costa Goldfields Lasthenia conjugens
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Few-flowered Navarretia Navarretia leucocephala ssp. pauciflora (=N.
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Sebastopol Meadowfoam Limnanthes vinculans
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Amsinckia lunaris
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Aphyllon validum ssp.
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Astragalus breweri
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Astragalus claranus
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Astragalus clevelandii
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Amorpha californica
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Brodiaea leptandra
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Calystegia collina ssp.
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Castilleja ambigua
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Castilleja ambigua
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Ceanothus confusus
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Ceanothus divergens
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Ceanothus pinetorum
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Ceanothus purpureus
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Clarkia breweri
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Clarkia gracilis ssp.
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Collomia diversifolia
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Cordylanthus tenuis
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Downingia pusilla
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Erigeron biolettii
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Layia septentrionalis
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Harmonia nutans
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Fritillaria purdyi
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Erythronium helenae
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Eryngium jepsonii
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Erigeron greenei
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Leptosiphon jepsonii
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Limnanthes vinculans
zips/2025110958/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B-2 Addendum to BRA_Long Ranch Road Vineyard Development_09.PDF:Lomatium repostum
