zips/2025111110/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study Preferred Pump_Public Review Final Draft IS_11.PDF:Fritillaria agrestis (stinkbells – plant)
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Hemizonia congesta ssp. tracyi
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Lathyrus glandulosus
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Leptosiphon latisectus
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Lilium rubescens
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Lycopodium clavatum
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Lycopus uniflorus
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Meesia triquetra
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Mitellastra caulescens
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Pityopus californicus
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Platanthera stricta
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Pleuropogon refractus
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Ptilidium californicum
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Ribes laxiflorum
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Sanicula tracyi
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Sedum laxum ssp. flavidum
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Sidalcea malachroides
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Usnea longissima
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Veratrum insolitum
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Wyethia longicaulis
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:1. Scabrid alpine tarplant (Anisocarpus scabridus)
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:2. Konocti manzanita (Arctostaphylos manzanita ssp. elegans)
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:3. Humboldt County milk-vetch (Astragalus agnicidus)
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:4. Bald Mountain milk-vetch (Astragalus umbraticus)
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:5. Small-flowered calycadenia (Calycadenia micrantha)
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:6. Northern meadow sedge (Carex praticola)
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:7. Oregon fireweed (Epilobium oreganum)
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:8. Giant fawn lily (Erythronium oregonum)
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:9. Coast fawn lily (Erythronium revolutum)
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:10. Pacific gilia (Gilia capitata ssp. pacifica)
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:11. Yolla Bolly Mtns. bird's-foot trefoil (Hosackia yollabolliensis)
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:12. Water howellia (Howellia aquatilis)
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:13. California globe mallow (Iliamna latibracteata)
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:14. Small groundcone (Kopsiopsis hookeri)
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:15. Two-flowered pea (Lathyrus biflorus)
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:16. The Lassics lupine (Lupinus constancei)
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:17. South Fork Mountain lupine (Lupinus elmeri)
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:18. Howell’s montia (Montia howellii)
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:19. Seacoast ragwort (Packera bolanderi var. bolanderi)
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:21. The Lassics sandwort (Sabulina decumbens)
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:22. Siskiyou checkerbloom (Sidalcea malviflora ssp. patula)
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:23. Robust false lupine (Thermopsis robusta)
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Photo 4. Chaparral dominated by buckbrush (Ceanothus cuneatus) also
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Arctostaphylos manzanita
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Ceanothus cuneatus var.
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Lupinus albifrons
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Ribes roezlii
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Rosa gymnocarpa
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Chlorogalum pomeridianum
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Cirsium occidentale
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Clarkia amoena ssp.
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Eriogonum nudum var.
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Eriophyllum lanatum
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Erysimum capitatum
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Fritillaria affinis
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Hemizonia congesta
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Lasthenia californica
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Leptosiphon latisectus
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Lilium pardalinum ssp.
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Limnanthes douglasii ssp.
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Lupinus latifolius var.
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Nemophila parviflora
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Platystemon californicus
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 11 - Botanical Survey OF.PDF:Silene bolanderi
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 4 - Aquatic Resources Delineation Report June 2019 OF.PDF:acetosella), cream cups (Platystemon californicus), hawkbit (Leontodon saxatilis), and lupine
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 4 - Aquatic Resources Delineation Report June 2019 OF.PDF:Arctostaphylos manzanita
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 4 - Aquatic Resources Delineation Report June 2019 OF.PDF:Ribes roezlii
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 4 - Aquatic Resources Delineation Report June 2019 OF.PDF:Rosa gymnocarpa
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 4 - Aquatic Resources Delineation Report June 2019 OF.PDF:Chlorogalum pomeridianum
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 4 - Aquatic Resources Delineation Report June 2019 OF.PDF:Fritillaria affinis
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 4 - Aquatic Resources Delineation Report June 2019 OF.PDF:Limnanthes douglasii ssp. nivea
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 4 - Aquatic Resources Delineation Report June 2019 OF.PDF:Nemophila parviflora
zips/2025111157/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 4 - Aquatic Resources Delineation Report June 2019 OF.PDF:Platystemon californicus
