zips/2025110457/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/App B_Biology.PDF:(Atriplex coronata var.
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Lasthenia chrysantha
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Lasthenia ferrisiae
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Lasthenia glabrata ssp.
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Eriogonum nudum var.
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Layia heterotricha
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Monolopia congdonii
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Puccinellia simplex
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Trichostema ovatum
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Madia radiata
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Layia munzii
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:San Joaquin Woollythreads (Monolopia congdonii)
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Kern Mallow (Eremalche parryi ssp. kernensis)
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:measurements of both Eremalche parryi ssp. kernensis (Kern mallow) and the common
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Eremalche parryi (Parry’s mallow). Botanical experts in Kern County suggest mallow species
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Recurved larkspur (Delphinium recurvatum)
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:San Joaquin bluecurls (Trichostema ovatum)
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Androsace elongata ssp.
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Astragalus macrodon
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Atriplex coronata
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Atriplex flavida
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Cirsium crassicaule
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Delphinium recurvatum
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Eriastrum hooveri
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Eriogonum gossypinum
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Caulanthus californicus
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Eriogonum nudum var.
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Eriogonum temblorense
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Lasthenia glabrata ssp.
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Eschscholzia hypecoides
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Fritillaria agrestis
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Lasthenia chrysantha
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Layia heterotricha
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Trichostema ovatum
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Layia munzii
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Madia radiata
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Monolopia congdonii
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Eremalche parryi
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:San Joaquin woollythreads (Monolopia congdonii) was observed at a reference site just a mile
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Astragalus didymocarpus
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Astragalus lentiginosus
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:for various sensitive species is present. Although no Monolopia congdoniii (San Joaquin
zips/2025110538/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:(Trichostema ovatum), summer mustard (Hirschfeldia incana), and red-stemmed filaree
