zips/2026060459/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_All_A-F.PDF:General occurrences of bent-flowered fiddleneck (Amsinckia lunaris) and Santa
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Malacothamnus arcuatus
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Plagiobothrys chorisianus var.
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Trifolium buckwestiorum
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:manzanita (Arctostaphylos andersonii), arcuate bush‐mallow (Malacothamnus arcuatus), and
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:western leatherwood (Dirca occidentalis) are shrub like species that are observable year‐round.
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:popcornflower (Plagiobothrys chorisianus var. chorisianus) and Santa Cruz clover (Trifolium
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Acanthomintha duttonii
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Agrostis blasdalei
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Allium peninsulare var. franciscanum
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Amsinckia lunaris
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Anomobryum julaceum
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Arctostaphylos andersonii
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Arctostaphylos glutinosa
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Arctostaphylos ohloneana
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Arctostaphylos regismontana
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Arctostaphylos silvicola
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Astragalus pycnostachyus var.
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Calyptridium parryi var. hesseae
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Centromadia parryi ssp. congdonii
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Chorizanthe pungens var. hartwegiana
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Cirsium andrewsii
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Cirsium praeteriens
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Cirsium fontinale var. fontinale
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Clarkia concinna ssp. automixa
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Collinsia corymbosa
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Collinsia multicolor
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Dirca occidentalis
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Eriophyllum latilobum
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Eryngium aristulatum var. hooveri
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Eryngium jepsonii
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Erysimum ammophilum
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Fissidens pauperculus
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Fritillaria liliacea
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Grimmia torenii
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Grimmia vaginulata
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Hesperolinon congestum
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Hesperevax sparsiflora var. brevifolia
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Horkelia cuneata var. sericea
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Malacothamnus arcuatus
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Microseris paludosa
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Monolopia gracilens
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Lasthenia californica ssp. macrantha
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Leptosiphon rosaceus
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Lessingia arachnoidea
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Limnanthes douglasii ssp. sulphurea
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Orthotrichum kellmanii
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Pedicularis dudleyi
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Pentachaeta bellidiflora
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Penstemon rattanii var. kleei
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Pinus radiata
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Plagiobothrys chorisianus var. chorisianus
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Senecio aphanactis
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Silene scouleri ssp. scouleri
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Silene verecunda ssp. verecunda
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Stebbinsoseris decipiens
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Stuckenia filiformis ssp. alpina
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Trifolium amoenum
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Trifolium buckwestiorum
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Trifolium polyodon
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:Usnea longissima
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment E-Biological Report.PDF:San Mateo Woolly Sunﬂower Eriophyllum latilobum
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLN2020-00245- IS-MND- June 12 to July 13, 2026.PDF:Anderson’smanzanita (Arctostaphylos andersonii), arcuate bush‐mallow (Malacothamnus arcuatus),
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLN2020-00245- IS-MND- June 12 to July 13, 2026.PDF:and western leatherwood (Dirca occidentalis) are shrub like species that are observable year‐round.
zips/2026060460/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLN2020-00245- IS-MND- June 12 to July 13, 2026.PDF:(Plagiobothrys chorisianus var. chorisianus) and Santa Cruz clover (Trifolium buckwestiorum) are
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Abronia villosa var. aurita
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Allium marvinii
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Aphanisma blitoides
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Astragalus brauntonii
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Astragalus hornii var. hornii
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Atriplex coulteri
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Atriplex pacifica
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Atriplex parishii
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Atriplex serenana var. davidsonii
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Baccharis malibuensis
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Brodiaea filifolia
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Calochortus plummerae
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Calochortus weedii var. intermedius
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Calystegia felix
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Centromadia parryi ssp. australis
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Centromadia pungens ssp. laevis
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Chloropyron maritimum ssp. maritimum
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Chorizanthe parryi var. fernandina
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Chorizanthe polygonoides var. longispina
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Dudleya multicaulis
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Eriastrum densifolium ssp. sanctorum
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Eryngium aristulatum var. parishii
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Helianthus nuttallii ssp. parishii
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Horkelia cuneata var. puberula
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Isocoma menziesii var. decumbens
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Lasthenia glabrata ssp. coulteri
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Lepechinia cardiophylla
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Lepidium virginicum var. robinsonii
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Monardella australis ssp. jokerstii
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Monardella hypoleuca ssp. intermedia
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Nama stenocarpa
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Nasturtium gambelii
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Navarretia prostrata
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Nemacaulis denudata var. denudata
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Nolina cismontana
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Orcuttia californica
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Penstemon californicus
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Pentachaeta aurea ssp. allenii
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Pseudognaphalium leucocephalum
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Senecio aphanactis
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Sidalcea neomexicana
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Suaeda esteroa
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Symphyotrichum defoliatum
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Abronia maritima
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Abronia villosa var. chaparral
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Allium marvinii
zips/2026060463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Special Status Species Database Search Results COMBINED.PDF:Astragalus hornii
