zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Abies bracteata
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Dacryophyllum falcifolium
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Delphinium hutchinsoniae
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Delphinium umbraculorum
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Ericameria fasciculata
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Eriogonum nortonii
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Erysimum ammophilum
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Fritillaria falcata
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Fritillaria liliacea
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Galium californicum ssp. luciense
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Galium clementis
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Grimmia torenii
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Malacothamnus lucianus
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Malacothrix saxatilis var. arachnoidea
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Meconella oregana
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Pedicularis dudleyi
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Pinus radiata
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Plagiobothrys uncinatus
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Rosa pinetorum
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Sanicula maritima
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Sidalcea malachroides
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Tortula californica
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Trifolium polyodon
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Marsh Sandwort Arenaria paludicola
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Abies bracteata
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Agrostis blasdalei
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Arctostaphylos edmundsii
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Arctostaphylos hookeri spp.
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Arctostaphylos montereyensis
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Arenaria paludicola
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Carex obispoensis
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Carlquistia muirii
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Cirsium occidentale var.
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Clarkia jolonensis
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Cordylanthus rigidus spp. littoralis
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Dacryophyllum falcifolium
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Delphinium hutchinsoniae
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Delphinium umbraculorum
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Ericameria fasciculata
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Eriogonum nortonii
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Erysimum ammophilum
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Fritillaria falcata
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Fritillaria liliacea
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Galium californicum ssp. luciense
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Galium clementis
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Grimmia torenii
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Malacothrix saxatilis var.
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Meconella oregana
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Pedicularis dudleyi
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Pinus radiata
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Plagiobothrys uncinatus
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Rosa pinetorum
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Sanicula maritima
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Tortula californica
zips/2024110470/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VWS SMORE Public Draft ISMND_11152024.PDF:Trifolium polyodon
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:plant species within this community include Eastwood manzanita (Arctostaphylos glandulosa), toyon
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:(Astragalus umbraticus), coast fawn lily (Erythronium revolutum), small groundcone (Kopsiopsis hookeri),
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:white-flowered rein orchid (Piperia candida), crinkled rag lichen (Platismatia lacunosa), Hooker’s
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:catchfly (Silene hookeri), Marble Mountain campion (Silene marmorensis), and robust false lupine
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:(Thermopsis robusta). These species are discussed below. Special-status species determined to have no
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Carex halliana Oregon
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Carex praticola northern
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Gilia capitata
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Juncus dudleyi Dudley's rush Juncaceae
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Silene hookeri
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Anomobryum julaceum
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Astragalus umbraticus
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Carex halliana
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Carex hystericina
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Carex praticola
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Coptis laciniata
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Cornus unalaschkensis
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Epilobium oreganum
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Erythronium oregonum
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Erythronium revolutum
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Gentiana plurisetosa
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Gilia capitata ssp. pacifica
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Iliamna latibracteata
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Juncus dudleyi
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Kopsiopsis hookeri
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Lewisia cotyledon var. heckneri
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Lomatium martindalei
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Mielichhoferia elongata
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Montia howellii
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Oenothera wolfii
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Platismatia lacunosa
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Prosartes parvifolia
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Ptilidium californicum
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Rorippa columbiae
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Schoenoplectus subterminalis
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Sidalcea oregana ssp. eximia
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Silene hookeri
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Silene marmorensis
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Thermopsis robusta
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Buxbaumia viridis
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Carex halliana
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Carex hystericina
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Carex praticola
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Cornus unalaschkensis
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Astragalus umbraticus
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Epilobium oreganum
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Erythronium revolutum
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Gentiana plurisetosa
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Gilia capitata ssp. pacifica
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Iliamna latibracteata
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Juncus dudleyi
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Kopsiopsis hookeri
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Lewisia cotyledon var. heckneri
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Lewisia cotyledon var. howellii
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Lewisia kelloggii ssp. hutchinsonii
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Lomatium martindalei
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Montia howellii
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Oenothera wolfii
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Platismatia lacunosa
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Prosartes parvifolia
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Rorippa columbiae
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Schoenoplectus subterminalis
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Sidalcea elegans
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Sidalcea oregana ssp. eximia
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Silene hookeri
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Silene marmorensis
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Thermopsis robusta
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND_Appendices_1.PDF:Arctostaphylos glandulosa
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND.PDF:plant species within this community include Eastwood manzanita (Arctostaphylos glandulosa), toyon
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND.PDF:(Astragalus umbraticus), coast fawn lily (Erythronium revolutum), small groundcone (Kopsiopsis hookeri),
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND.PDF:white-flowered rein orchid (Piperia candida), crinkled rag lichen (Platismatia lacunosa), Hooker’s
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND.PDF:catchfly (Silene hookeri), Marble Mountain campion (Silene marmorensis), and robust false lupine
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND.PDF:(Thermopsis robusta). These species are discussed below. Special-status species determined to have no
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND.PDF:umbraticus), coast fawn lily (Erythronium revolutum), small groundcone (Kopsiopsis hookeri), whiteflowered rein orchid (Piperia candida), crinkled rag lichen (Platismatia lacunosa), Hooker’s catchfly
zips/2024110469/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Orleans_PublicReviewDraftISMND.PDF:(Silene hookeri), Marble Mountain campion (Silene marmorensis), and robust false lupine (Thermopsis
