zips/2025020275/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biology Report.PDF:Canbya candida
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Castilleja affinis var. neglecta
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Ceanothus ferrisiae
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Centromadia parryi ssp.
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Chlorogalum pomeridianum
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Chloropyron maritimum ssp.
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Chorizanthe pungens var.
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Chorizanthe robusta var.
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Cirsium fontinale var.
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Clarkia concinna ssp.
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Collinsia multicolor
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Dirca occidentalis
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Dudleya abramsii ssp.
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Eryngium aristulatum var.
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Extriplex joaquinana
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Fritillaria liliacea
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Hoita strobilina
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Lasthenia conjugens
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Lessingia micradenia var.
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Malacothamnus arcuatus
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Malacothamnus hallii
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Monolopia gracilens
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Navarretia prostrata
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Pedicularis dudleyi
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Penstemon rattanii var. kleei
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Pentachaeta bellidiflora
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Plagiobothrys glaber
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Puccinellia simplex
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Ravenella exigua
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Sagittaria sanfordii
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Sanicula saxatilis
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Senecio aphanactis
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Sidalcea malachroides
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Suaeda californica
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Trifolium buckwestiorum
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Trifolium hydrophilum
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Amsinckia lunaris
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Arctostaphylos silvicola
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Astragalus tener var. tener
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Atriplex depressa
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Atriplex minuscula
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Balsamorhiza macrolepis
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Calyptridium parryi var. hesseae
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Centromadia parryi ssp. congdonii
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Chlorogalum pomeridianum var. minus
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Chloropyron maritimum ssp. palustre
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Chorizanthe pungens var. hartwegiana
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Chorizanthe robusta var. robusta
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Cirsium fontinale var. campylon
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Clarkia concinna ssp. automixa
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Collinsia multicolor
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Dirca occidentalis
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Dudleya abramsii ssp. setchellii
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Eryngium aristulatum var. hooveri
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Extriplex joaquinana
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Fritillaria liliacea
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Hoita strobilina
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Lasthenia conjugens
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Lessingia micradenia var. glabrata
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Malacothamnus arcuatus
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Malacothamnus hallii
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Monolopia gracilens
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Navarretia prostrata
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Pedicularis dudleyi
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Penstemon rattanii var. kleei
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Pentachaeta bellidiflora
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Plagiobothrys glaber
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Puccinellia simplex
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Ravenella exigua
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Sagittaria sanfordii
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Sanicula saxatilis
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Senecio aphanactis
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Sidalcea malachroides
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Suaeda californica
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Trifolium buckwestiorum
zips/2025020244/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Supporting Information COMBINED.PDF:Trifolium hydrophilum
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Del Oro_New Horizons IS.PDF:(Imperata brevifolia)
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Del Oro_New Horizons IS.PDF:(Downingia pusilla)
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Del Oro_New Horizons IS.PDF:(Tuctoria greenei)
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Del Oro_New Horizons IS.PDF:(Orcuttia pilosa)
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Del Oro_New Horizons IS.PDF:(Layia munzii)
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Del Oro_New Horizons IS.PDF:(Navarretia myersii
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Del Oro_New Horizons IS.PDF:(Orcuttia inaequalis)
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Del Oro_New Horizons IS.PDF:(Sagittaria sanfordii)
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Del Oro_New Horizons IS.PDF:(Castilleja campestris
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Del Oro_New Horizons IS.PDF:(Imperata brevifolia )
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Del Oro_New Horizons IS.PDF:(Downingia pusilla )
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Del Oro_New Horizons IS.PDF:(Tuctoria greenei)
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Del Oro_New Horizons IS.PDF:(Orcuttia pilosa )
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Del Oro_New Horizons IS.PDF:(Calycadenia hooveri)
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Del Oro_New Horizons IS.PDF:(Layia munzii)
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Del Oro_New Horizons IS.PDF:(Navarretia myersii
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Del Oro_New Horizons IS.PDF:(Orcuttia inaequalis)
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Del Oro_New Horizons IS.PDF:(Sagittaria sanfordii)
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Del Oro_New Horizons IS.PDF:(Castilleja campestris
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Del Oro_New Horizons IS.PDF:(Caulanthus californicus)
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Del Oro_New Horizons IS.PDF:(Orcuttia inaequalis)
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Del Oro_New Horizons IS.PDF:(Castilleja campestris var.
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Del Oro_New Horizons IS.PDF:Calycadenia hooveri
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Del Oro_New Horizons IS.PDF:Castilleja campestris var. succulenta
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Del Oro_New Horizons IS.PDF:Caulanthus californicus
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Del Oro_New Horizons IS.PDF:Downingia pusilla
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Del Oro_New Horizons IS.PDF:Eryngium spinosepalum
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Del Oro_New Horizons IS.PDF:Imperata brevifolia
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Del Oro_New Horizons IS.PDF:Layia munzii
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Del Oro_New Horizons IS.PDF:Leptosiphon serrulatus
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Del Oro_New Horizons IS.PDF:Navarretia myersii ssp. myersii
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Del Oro_New Horizons IS.PDF:Orcuttia inaequalis
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Del Oro_New Horizons IS.PDF:Orcuttia pilosa
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Del Oro_New Horizons IS.PDF:Pseudobahia bahiifolia
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Del Oro_New Horizons IS.PDF:Sagittaria sanfordii
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Del Oro_New Horizons IS.PDF:Tuctoria greenei
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Del Oro_New Horizons IS.PDF:Fleshy Owl's-clover Castilleja campestris ssp. succulenta
zips/2024070988/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Del Oro_New Horizons IS.PDF:San Joaquin Valley Orcutt Grass Orcuttia inaequalis
