zips/2026030250/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/7307_OCMMCParkingStructure_IS-MND.PDF:Coultefs g;oldfields Lasthenia glabrata
zips/2026030250/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_species occurrence potential.PDF:Suaeda esteroa
zips/2026030251/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:(Astragalus tener var. tener)
zips/2026030251/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:(Balsamorhiza macrolepis)
zips/2026030251/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:(Puccinellia simplex)
zips/2026030251/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:(Ericameria fasciculata)
zips/2026030251/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:(Fritillaria liliacea)
zips/2026030251/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:(Plagiobothrys glaber)
zips/2026030251/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:(Malacothamnus hallii)
zips/2026030251/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:(Deinandra halliana)
zips/2026030251/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:(Eryngium aristulatum var. hooveri)
zips/2026030251/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:(Delphinium californicum ssp. interius)
zips/2026030251/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:(Malacothamnus aboriginum)
zips/2026030251/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:(Hoita strobilina)
zips/2026030251/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:(Chorizanthe pungens var. pungens)
zips/2026030251/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:(Arctostaphylos pajaroensis)
zips/2026030251/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:(Castilleja rubicundula ssp.
zips/2026030251/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:(Eriogonum nortonii)
zips/2026030251/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:(Navarretia prostrata)
zips/2026030251/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:(Trifolium hydrophilum)
zips/2026030251/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:(Dudleya abramsii ssp. setchellii)
zips/2026030251/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:(Lessingia micradenia var. glabrata)
zips/2026030251/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:(Eriogonum heermannii var.
zips/2026030251/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:(Monolopia gracilens)
zips/2026030251/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Special Status Species.PDF:plant; Castilleja densiflora and C. exserta are secondary host plants.
zips/2026030252/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Millenium Estates Initial Study (OCR).PDF:(Atriplex minuscula)
zips/2026030252/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Millenium Estates Initial Study (OCR).PDF:(Atriplex depressa)
zips/2026030252/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Millenium Estates Initial Study (OCR).PDF:(Atriplex subtilis)
zips/2026030252/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Millenium Estates Initial Study (OCR).PDF:(Puccinellia simplex)
zips/2026030252/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Millenium Estates Initial Study (OCR).PDF:(Nama stenocarpa)
zips/2026030252/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Millenium Estates Initial Study (OCR).PDF:(Sagittaria sanfordii)
zips/2026030252/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Millenium Estates Initial Study (OCR).PDF:(Atriplex cordulata var.
zips/2026030252/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Millenium Estates Initial Study (OCR).PDF:(Atriplex depressa)
zips/2026030252/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Millenium Estates Initial Study (OCR).PDF:(Atriplex subtilis)
zips/2026030252/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Millenium Estates Initial Study (OCR).PDF:(Atriplex minuscula)
zips/2026030252/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Millenium Estates Initial Study (OCR).PDF:(Delphinium recurvatum)
zips/2026030252/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Millenium Estates Initial Study (OCR).PDF:(Lasthenia chrysantha)
zips/2026030252/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Millenium Estates Initial Study (OCR).PDF:(Lepidium jaredii
zips/2026030252/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Millenium Estates Initial Study (OCR).PDF:(Nama stenocarpa)
zips/2026030252/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Millenium Estates Initial Study (OCR).PDF:(Puccinellia simplex)
zips/2026030252/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Millenium Estates Initial Study (OCR).PDF:(Sagittaria sanfordii)
zips/2026030252/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Millenium Estates Initial Study (OCR).PDF:Centromadia pungens
