zips/2024061139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/NID Yuba-Bear Draft CEQA Supp.PDF:(Clarkia biloba ssp. brandegeeae), wooly-fruited sedge (Carex lasiocarpa), and water bulrush
zips/2024061139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/NID Yuba-Bear Draft CEQA Supp.PDF:(Schoenoplectus subterminalis). The literature review concluded that suitable habitat for
zips/2024061139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/NID Yuba-Bear Draft CEQA Supp.PDF:Erigeron miser
zips/2024061139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/NID Yuba-Bear Draft CEQA Supp.PDF:Poa sierrae
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Eryngium constancei
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Lomatium hooveri
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Lomatium repostum
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Asclepias solanoana
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Balsamorhiza macrolepis
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Centromadia parryi ssp. parryi
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Centromadia parryi ssp. rudis
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Erigeron greenei
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Lasthenia burkei
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Harmonia hallii
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Lasthenia burkei
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Amsinckia lunaris
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Cryptantha excavata
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Arabis modesta
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Streptanthus brachiatus ssp.
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Streptanthus brachiatus ssp.
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Streptanthus hesperidis
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Streptanthus morrisonii ssp.
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Arctostaphylos manzanita ssp.
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Arctostaphylos stanfordiana ssp.
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Thelypodium brachycarpum
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Brasenia schreberi
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Viburnum ellipticum
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Extriplex joaquinana
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Calystegia collina ssp, oxyphylla
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Calystegia collina ssp,
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Carex praticola
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Equisetum palustre
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Astragalus breweri
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Astragalus clevelandii
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Lupinus milobakeri
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Lupinus sericatusi
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Calochortus uniflorus
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Erythronium helenae
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Fritillaria pluriflora
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Fritillaria purdyi
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Hesperolinon adenophyllum
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Hesperolinon bicarpellatum
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Sidalcea oregana ssp. hydophila
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Toxicoscordion fontanum
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Aphyllon validum ssp. howellii
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Castilleja rubicundula var.
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Cordylanthus tenuis ssp.
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Erythranthe nudata
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Gratiola heterosepala
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Calamagrostis ophitidis
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Imperata brevifolia
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Collomia diversifolia
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Orcuttia tenuis
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Eriastrum tracyi
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Leptosiphon grandiflorus
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Leptosiphon jepsonii
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Leptosiphon latisectus
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Hesperolinon drymarioides
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Hesperolinon sharsmithiae
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Malacothamnus helleri
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Sidalcea keckii
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Eriogonum nervulosum
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Eriogonum tripodum
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Potamogeton zosteriformis
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Delphinium uliginosum
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Arctostaphylos manzanita
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Calystegia purpurata ssp. purpurata
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Burke’s goldfields (Lasthenia burkei) - E
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Few-flowered Navarretia (Navarretia leucocephala ssp. pauciflora) - E
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Slender Orcutt Grass (Orcuttia tenuis) - T
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Burke's Goldfields Lasthenia burkei
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Few-flowered Navarretia Navarretia leucocephala ssp. pauciflora (=N.
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment_36th Avenue Bioloigcal Report.PDF:Slender Orcutt Grass Orcuttia tenuis
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CEQA 36th Avenue Road Rehabilitation Packet  dated June 12 2025.PDF:Streptanthus brachiatus ssp.
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CEQA 36th Avenue Road Rehabilitation Packet  dated June 12 2025.PDF:Carex praticola
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CEQA 36th Avenue Road Rehabilitation Packet  dated June 12 2025.PDF:Lupinus sericatusi
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CEQA 36th Avenue Road Rehabilitation Packet  dated June 12 2025.PDF:Malacothamnus helleri
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CEQA 36th Avenue Road Rehabilitation Packet  dated June 12 2025.PDF:Toxicoscordion fontanum
zips/2025060810/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CEQA 36th Avenue Road Rehabilitation Packet  dated June 12 2025.PDF:Cordylanthus tenuis ssp.
zips/2025060857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SBC Biological Report_8881 Calvine Chevron_Nov 2023.PDF:Juncus leiospermus var. ahartii
zips/2025060857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SBC Biological Report_8881 Calvine Chevron_Nov 2023.PDF:Lasthenia chrysantha
zips/2025060857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SBC Biological Report_8881 Calvine Chevron_Nov 2023.PDF:Cicuta maculata var. bolanderi
zips/2025060857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SBC Biological Report_8881 Calvine Chevron_Nov 2023.PDF:Carex comosa
zips/2025060857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SBC Biological Report_8881 Calvine Chevron_Nov 2023.PDF:Lathyrus jepsonii var. jepsonii
zips/2025060857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SBC Biological Report_8881 Calvine Chevron_Nov 2023.PDF:Downingia pusilla
zips/2025060857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SBC Biological Report_8881 Calvine Chevron_Nov 2023.PDF:Lepidium latipes var. heckardii
zips/2025060857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SBC Biological Report_8881 Calvine Chevron_Nov 2023.PDF:Scutellaria galericulata
zips/2025060857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SBC Biological Report_8881 Calvine Chevron_Nov 2023.PDF:Cuscuta obtusiflora var. glandulosa
zips/2025060857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SBC Biological Report_8881 Calvine Chevron_Nov 2023.PDF:Orcuttia viscida
zips/2025060857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SBC Biological Report_8881 Calvine Chevron_Nov 2023.PDF:Trifolium hydrophilum
zips/2025060857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SBC Biological Report_8881 Calvine Chevron_Nov 2023.PDF:Sagittaria sanfordii
zips/2025060857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SBC Biological Report_8881 Calvine Chevron_Nov 2023.PDF:Scutellaria lateriflora
zips/2025060857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SBC Biological Report_8881 Calvine Chevron_Nov 2023.PDF:Orcuttia tenuis
zips/2025060857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SBC Biological Report_8881 Calvine Chevron_Nov 2023.PDF:Brasenia schreberi
zips/2025060857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SBC Biological Report_8881 Calvine Chevron_Nov 2023.PDF:Hibiscus lasiocarpos var. occidentalis
zips/2025060857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SBC Biological Report_8881 Calvine Chevron_Nov 2023.PDF:Brodiaea rosea ssri vallicola
zips/2025060857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SBC Biological Report_8881 Calvine Chevron_Nov 2023.PDF:Fritillaria agrestis
zips/2025060857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SBC Biological Report_8881 Calvine Chevron_Nov 2023.PDF:Orcuttia tenuis
zips/2025060857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SBC Biological Report_8881 Calvine Chevron_Nov 2023.PDF:Orcuttia viscida
zips/2025060857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SBC Biological Report_8881 Calvine Chevron_Nov 2023.PDF:Sacramento Orcutt Grass Orcuttia viscida
zips/2025060857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SBC Biological Report_8881 Calvine Chevron_Nov 2023.PDF:Slender Orcutt Grass Orcuttia tenuis
zips/2025060857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SBC Biological Report_8881 Calvine Chevron_Nov 2023.PDF:Brasenia schreberi
zips/2025060857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SBC Biological Report_8881 Calvine Chevron_Nov 2023.PDF:Carex comosa
zips/2025060857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SBC Biological Report_8881 Calvine Chevron_Nov 2023.PDF:Downingia pusilla
zips/2025060857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SBC Biological Report_8881 Calvine Chevron_Nov 2023.PDF:Lathyrus jepsonii var.
zips/2025060857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SBC Biological Report_8881 Calvine Chevron_Nov 2023.PDF:Lasthenia chrysantha
zips/2025060857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SBC Biological Report_8881 Calvine Chevron_Nov 2023.PDF:Limosella australis
zips/2025060857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SBC Biological Report_8881 Calvine Chevron_Nov 2023.PDF:Navarretia myersii ssp.
zips/2025060857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SBC Biological Report_8881 Calvine Chevron_Nov 2023.PDF:Orcuttia tenuis
zips/2025060857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SBC Biological Report_8881 Calvine Chevron_Nov 2023.PDF:Orcuttia viscida
zips/2025060857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B SBC Biological Report_8881 Calvine Chevron_Nov 2023.PDF:Sagittaria sanfordii
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Agrostis hendersonii
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Allium peninsulare var. franciscanum
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Astragalus tener var. tener
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Balsamorhiza macrolepis
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Brodiaea leptandra
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Carex lyngbyei
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Castilleja affinis var. neglecta
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Ceanothus purpureus
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Centromadia parryi ssp. parryi
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Chloropyron molle ssp. molle
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Downingia pusilla
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Erigeron greenei
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Eryngium jepsonii
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Extriplex joaquinana
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Hesperolinon breweri
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Isocoma arguta
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Lasthenia conjugens
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Lathyrus jepsonii var. jepsonii
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Leptosiphon jepsonii
zips/2025060897/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P24-00134 Exhibit A - Biology Study_OCR.PDF:Polygonum marinense
