zips/2025080301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/The Towers, LLC (UP25-0002) IS-MND.PDF:Delphinium recurvatum
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:project site: bristly sedge (Carex comosa), woolly rose-mallow (Hibiscus lasiocarpos var. occidentalis),
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:Delta tule pea (Lathyrus jepsonii var. jepsonii), Mason’s lilaeopsis (Lilaeopsis masonii), Delta mudwort
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:(Limosella australis), side-flowering skullcap (Scutellaria lateriflora), and Suisun Marsh aster
zips/2025080302/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS MND.PDF:(Symphyotrichum lentum). These species are discussed in more detail below. The remaining specialstatus plants identified in the query occur in vernal pools or other aquatic resources that do not occur in
zips/2025080303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - A General Biological Resources Assessment 7.PDF:(Chorizanthe parryi var. parryi)
zips/2025080303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - A General Biological Resources Assessment 7.PDF:(Dodecahema leptoceras)
zips/2025080303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - A General Biological Resources Assessment 7.PDF:(Malacothamnus parishii)
zips/2025080303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - A General Biological Resources Assessment 7.PDF:(Ambrosia monogyra)
zips/2025080318/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:Grass (Orcuttia tenuis), Shasta snow-wreath (Neviusia cliftonii), Lassics Lupine (Lupinus constancei), and five (5) listed wildlife
zips/2025080318/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:S1: Critically Imperiled), Shasta snow-wreath (Neviusia cliftonii, State Threatened and State
zips/2025080318/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS.PDF:Eagle (Haliaeetus leucocephalus, Endangered), Shasta snow-wreath (Neviusia cliftonii,
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Ecology’s 2019 analysis identified Sanford’s arrowhead (Sagittaria sanfordii) as the only special
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Agrostis hendersonii
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Allium peninsulare var.
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Amorpha californica var.
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Arabis modesta
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Arctostaphylos bakerii
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Astragalus claranus
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Astragalus clevelandii
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Astragalus tener var. tener
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Balsamorhiza macrolepis
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Brodiaea leptandra
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Carex lyngbyei
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Castilleja affinis var.
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Calochortus pulchellus
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Calycadenia micrantha
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Castilleja ambigua var.
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Castilleja ambigua var.
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Ceanothus confusus
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Ceanothus divergens
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Ceanothus purpureus
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Ceanothus sonomensis
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Centromadia parryi spp.
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Centromadia parryi ssp.
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Chloropyron molle spp.
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Chorizanthe valida
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Clarkia breweri
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Clarkia gracilis ssp. tracy
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Collomia diversifolia
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Downingia pusilla
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Eleocharis parvula
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Erigeron greenei
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Eryngium jepsonii
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Erythronium helenae
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Gilia capitata ssp.
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Harmonia nutans
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Helianthella castanea
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Hemizonia congesta ssp.
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Hesperolinon breweri
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Hesperolinon sharsmithiae
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Horkelia tenuiloba
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Iris longipetala
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Isocoma arguta
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Lasthenia conjugens
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Lathyrus jepsonii var.
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Leptosiphon jepsonii
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Leptosiphon latisectus
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Lessingia hololeuca
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Lilium rubescens
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Limnanthes vinculans
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Lomatium repostum
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Lupinus sericatus
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Micropus amphibolus
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Monardella viridis
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Navarretia leucocephala
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Penstemon newberryi var.
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Polygonum marinense
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Ranunculus lobbii
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Rhynchospora californica
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Sagittaria sanfordii
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Sidalcea hickmanii ssp.
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Sidalcea hickmanii ssp.
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Sidalcea keckii
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Streptanthus hesperidis
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Trichostema ruygtii
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Trifolium amoenum
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Trifolium hydrophilum
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Triteleia lugens
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Viburnum ellipticum
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Agrostis hendersonii
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Allium peninsulare var. franciscanum
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Amorpha californica var. napensis
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Amsinckia lunaris
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Arctostaphylos stanfordiana ssp. decumbens
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Astragalus claranus
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Astragalus tener var. tener
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Balsamorhiza macrolepis
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Blennosperma bakeri
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Chloropyron molle ssp. molle
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Centromadia parryi ssp. parryi
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Ceanothus sonomensis
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Ceanothus purpureus
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Ceanothus divergens
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Ceanothus confusus
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Castilleja ambigua var. meadii
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Castilleja affinis var. neglecta
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Carex lyngbyei
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Brodiaea leptandra
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Horkelia tenuiloba
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Hesperolinon sharsmithiae
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Hesperolinon breweri
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Hemizonia congesta ssp. congesta
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Extriplex joaquinana
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Eryngium jepsonii
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Erigeron greenei
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Downingia pusilla
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Isocoma arguta
zips/2025080319/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED.PDF:Polygonum marinense
