zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Packera bolanderi var.
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Carex leptalea
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Plants - Carex leptalea
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Carex scabriuscula
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:4.3 Plants - Carex scabriuscula
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Carex serpenticola
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Plants - Carex serpenticola
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Carex viridula ssp. viridula green yellow sedge
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Plants -Carex viridula ssp. viridula
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Rhynchospora alba
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Plants - Rhynchospora alba
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Arctostaphylos hispidula Howells manzanita
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:4.2 Plants - Arctostaphylos hispidula
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Arctostaphylos nortensis Del Norte manzanita
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:4.3 Plants - Arctostaphylos nortensis
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Vaccinium scoparium
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Plants -Vaccinium scoparium
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Lathyrus delnorticus
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:4.3 Plants - Lathyrus delnorticus
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Dicentra formosa ssp. ore Oregon bleeding heart
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:4.2 Plants -Dicentra formosa ssp. oregana
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Plants - Gentiana setigera
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Iris bracteata
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:3.3 Plants - Iris bracteata
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Iris innominata
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:4.3 Plants - Iris innominata
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Pinguicula macroceras
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Erythronium citrinum var. lemon-colored fawn lily None
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Erythronium howellii
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Erythronium oregonum giant fawn lily
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Erythronium revolutum coast fawn lily
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Lilium bolanderi
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Lilium kelloggii
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Lilium pardalinum ssp. vol Vollmers lily
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Prosartes parvifolia
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Sidalcea elegans
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Lewisia oppositifolia
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Epilobium rigidum
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Cypripedium californicum California ladys-slipper
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Castilleja brevilobata
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Castilleja elata
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Poa rhizomata
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Gilia capitata ssp. pacifica Pacific gilia
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Eriogonum pendulum
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Coptis laciniata
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Horkelia sericata
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Rosa gymnocarpa var. ser Gasquet rose
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Sanguisorba officinalis
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Salix delnortensis
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Darlingtonia californica California pitcherplant
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Micranthes marshallii
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Viola primulifolia ssp. occ western white bog violet None
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Plants -Pinguicula macroceras
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:4.3 Plants -Erythronium citrinum var. citrinum
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Plants - Erythronium howellii
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Plants -Erythronium oregonum
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Plants -Erythronium revolutum
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:4.2 Plants -Lilium bolanderi
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:4.3 Plants Lilium kelloggii
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:4.3 Plants - Lilium pardalinum ssp. vollmeri
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Plants - Prosartes parvifolia
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:3.3 Plants - Sidalcea elegans
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Plants - Lewisia oppositifolia
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:4.2 Plants - Cypripedium californicum
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:4.2 Plants - Castilleja brevilobata
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Plants - Castilleja elata
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:4.3 Plants -Poa rhizomata
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Plants - Gilia capitata ssp. pacifica
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Plants - Eriogonum pendulum
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:4.2 Plants - Coptis laciniata
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:4.3 Plants - Horkelia sericata
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Plants -Rosa gymnocarpa var. serpentina
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Plants - Sanguisorba officinalis
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:4.3 Plants - Salix delnortensis
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:4.2 Plants -Darlingtonia californica
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:4.3 Plants - Micranthes howellii
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:4.3 Plants - Micranthes marshallii
zips/2026041107/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MacMaster Initial Study-Draft Neg Dec-Complete.PDF:Plants - Viola primulifolia ssp. occidentalis
zips/2026041108/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Michelle_Appendix A_Bio Report.PDF:Centromadia pungens ssp. pungens
zips/2026041108/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Michelle_Appendix A_Bio Report.PDF:Abronia villosa
zips/2026041108/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Michelle_Appendix A_Bio Report.PDF:Juncus acutus
zips/2026041108/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Michelle_Appendix A_Bio Report.PDF:Lycium parishii
zips/2026041108/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Michelle_Appendix A_Bio Report.PDF:Malperia tenuis
zips/2026041108/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Michelle_Appendix A_Bio Report.PDF:Nama stenocarpa
zips/2026041108/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Michelle_Appendix A_Bio Report.PDF:Pholisma sonorae
zips/2026041108/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Michelle_Appendix A_Bio Report.PDF:Pilostyles thurberi
zips/2026041109/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D-1_Marine Biological Resources Study.PDF:Agrostis hooveri
zips/2026041109/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D-1_Marine Biological Resources Study.PDF:Arctostaphylos morroensis
zips/2026041109/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D-1_Marine Biological Resources Study.PDF:Arctostaphylos osoensis
zips/2026041109/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D-1_Marine Biological Resources Study.PDF:Castilleja densiflora var.
zips/2026041109/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D-1_Marine Biological Resources Study.PDF:Chenopodium littoreum
zips/2026041109/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D-1_Marine Biological Resources Study.PDF:Delphinium parryi ssp.
zips/2026041109/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D-1_Marine Biological Resources Study.PDF:Dithyrea maritima
zips/2026041109/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D-1_Marine Biological Resources Study.PDF:Eriodictyon altissimum
zips/2026041109/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D-1_Marine Biological Resources Study.PDF:Poa diaboli
zips/2026041109/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D-1_Marine Biological Resources Study.PDF:Abronia umbellata var. breviflora
zips/2026041109/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D-1_Marine Biological Resources Study.PDF:Agrostis blasdalei
zips/2026041109/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D-1_Marine Biological Resources Study.PDF:Carex californica
zips/2026041109/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D-1_Marine Biological Resources Study.PDF:Calystegia purpurata ssp. saxicola
zips/2026041109/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D-1_Marine Biological Resources Study.PDF:Carex lyngbyei
zips/2026041109/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D-1_Marine Biological Resources Study.PDF:Castilleja ambigua var. humboldtiensis
zips/2026041109/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D-1_Marine Biological Resources Study.PDF:Erigeron supplex
zips/2026041109/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D-1_Marine Biological Resources Study.PDF:Castilleja mendocinensis
zips/2026041109/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D-1_Marine Biological Resources Study.PDF:Cuscuta pacifica var. papillata
zips/2026041109/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D-1_Marine Biological Resources Study.PDF:Gilia capitata ssp. pacifica
zips/2026041109/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D-1_Marine Biological Resources Study.PDF:Glyceria grandis
zips/2026041109/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D-1_Marine Biological Resources Study.PDF:Lasthenia conjugens
