zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/North Coast Highway Solar ISMND (7-30-24) sans appendices.PDF:(Clarkia amoena), California poppy (Eschscholzia californica), riverbank lupine (Lupinus rivularis),
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/North Coast Highway Solar ISMND (7-30-24) sans appendices.PDF:plant species including coast fawn lily (Erythronium revolutum), western lily (Lilium occidentale),
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/North Coast Highway Solar ISMND (7-30-24) sans appendices.PDF:seacoast ragwort (Packera bolanderi var. bolanderi), Oregon polemonium (Polemonium carneum),
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/North Coast Highway Solar ISMND (7-30-24) sans appendices.PDF:maple-leaved checkerbloom (Sidalcea malachroides), Siskiyou checkerbloom (Sidalcea malviflora
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/North Coast Highway Solar ISMND (7-30-24) sans appendices.PDF:ssp. Patula), and coast checkerbloom (Sidalcea oregana ssp. Eximia) were determined to have a low
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/North Coast Highway Solar ISMND (7-30-24) sans appendices.PDF:potential options include yarrow (Achillea millefolium), farewell to spring (Clarkia amoena), California
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/North Coast Highway Solar ISMND (7-30-24) sans appendices.PDF:potential options include yarrow (Achillea millefolium), farewell to spring (Clarkia amoena), California
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E Special Plant Species Survey Report.PDF:Abronia umbellata var.
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E Special Plant Species Survey Report.PDF:Erythronium revolutum
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E Special Plant Species Survey Report.PDF:Fissidens pauperculus
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E Special Plant Species Survey Report.PDF:Gilia capitata ssp. paciﬁca
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E Special Plant Species Survey Report.PDF:Gilia millefoliata
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E Special Plant Species Survey Report.PDF:Lathyrus japonicus
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E Special Plant Species Survey Report.PDF:Lathyrus palustris
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E Special Plant Species Survey Report.PDF:Layia carnosa
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E Special Plant Species Survey Report.PDF:Lilium occidentale
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E Special Plant Species Survey Report.PDF:Lycopodium clavatum
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E Special Plant Species Survey Report.PDF:Mitellastra caulescens
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E Special Plant Species Survey Report.PDF:Montia howellii
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E Special Plant Species Survey Report.PDF:Navarretia leucocephala ssp.
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E Special Plant Species Survey Report.PDF:Noccaea fendleri ssp.
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E Special Plant Species Survey Report.PDF:Packera bolanderi var.
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E Special Plant Species Survey Report.PDF:Platismatia lacunosa
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E Special Plant Species Survey Report.PDF:Polemonium carneum
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E Special Plant Species Survey Report.PDF:Sidalcea malachroides
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E Special Plant Species Survey Report.PDF:Sidalcea oregana ssp. eximia
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E Special Plant Species Survey Report.PDF:Spergularia canadensis var.
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E Special Plant Species Survey Report.PDF:Usnea longissima
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E Special Plant Species Survey Report.PDF:dwarf spikerush (Eleocharis parvula),
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E Special Plant Species Survey Report.PDF:checkerbloom (Sidalcea malviflora ssp. patula) and Western lily (Lilium occidentale). The Siskiyou
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E Special Plant Species Survey Report.PDF:(Psilocarphus brevissimus) located in more disturbed areas. Adjacent irrigation likely keeps the historic
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E Special Plant Species Survey Report.PDF:Castilleja rubicundula ssp.
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E Special Plant Species Survey Report.PDF:Ceanothus thyrsiflorus
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E Special Plant Species Survey Report.PDF:Psilocarphus brevissimus
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Abronia umbellata var.
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Cardamine angulata
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Carex arcta
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Carex leptalea
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Carex lyngbyei
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Castilleja ambigua var.
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Castilleja litoralis
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Chloropyron maritimum
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Clarkia amoena ssp.
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Coptis laciniata
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Erysimum menziesii
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Erythronium oregonum
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Erythronium revolutum
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Fissidens pauperculus
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Gilia capitata ssp. pacifica
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Gilia millefoliata
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Hesperevax sparsiflora var.
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Lathyrus japonicus
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Lathyrus palustris
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Layia carnosa
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Lycopodium clavatum
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Mitellastra caulescens
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Montia howellii
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Noccaea fendleri ssp.
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Packera bolanderi var.
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Polemonium carneum
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Sidalcea malachroides
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Sidalcea malviflora ssp.
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Sidalcea oregana ssp.
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Spergularia canadensis var.
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Usnea longissima
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:dwarf spikerush (Eleocharis parvula),
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Potamogeton epihydrus
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Carex arcta
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Carex arcta
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Carex arcta
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Carex leptalea
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Carex lyngbyei
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Gilia capitata
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Gilia capitata
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Gilia capitata
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Gilia capitata
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Gilia capitata
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Gilia capitata
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Gilia capitata
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Gilia capitata
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Gilia capitata
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Gilia capitata
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Gilia capitata
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Gilia capitata
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Gilia capitata
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Gilia capitata
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Gilia capitata
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Gilia capitata
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Gilia capitata
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Gilia capitata
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Gilia capitata
zips/2024071264/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Habitat Assessment.PDF:Layia carnosa
zips/2024071258/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ENV-2023-5533-MND.PDF:southern California black walnut (Juglans californica); western sycamore (Platanus racemosa); and
zips/2024071246/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MND_N-SUB2022-00025.PDF:Hoover’s bent grass (Agrostis hooveri), CRPR 1B.2
zips/2024071246/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MND_N-SUB2022-00025.PDF:Santa Margarita manzanita (Arctostaphylos pilosula), CRPR 1B.2
zips/2024071246/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MND_N-SUB2022-00025.PDF:Pismo clarkia (Clarkia speciosa ssp. immaculata), CRPR 1B.1
zips/2024071246/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MND_N-SUB2022-00025.PDF:San Luis Obispo County lupine (Lupinus ludovicianus), CRPR 1B.2
zips/2024071246/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MND_N-SUB2022-00025.PDF:Southern curly-leaved monardella (Monardella sinuata ssp. sinuata), CRPR 1B.2
zips/2024071246/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MND_N-SUB2022-00025.PDF:Santa Margarita manzanita (Arctostaphylos pilosula), CRPR 1B.2
zips/2024071246/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MND_N-SUB2022-00025.PDF:Pismo clarkia (Clarkia speciosa ssp. immaculata), CRPR 1B.1
zips/2024071224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ACFD Draft ISMND.PDF:Astragalus tener
zips/2024071224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ACFD Draft ISMND.PDF:Fritillaria liliacea
zips/2024071224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ACFD Draft ISMND.PDF:Hoita strobilina
