zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Miller_P22-00153-ECP.PDF:as the Cobb Mountain Lupine (Lupinus sericatus), might not have been present prior to the fire but their rather long-lived seedbank may
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Miller_P22-00153-ECP.PDF:on-site before plant succession eventually shaded out the original population. Species such as Napa false-indigo (Amorpha californica var.
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Navarretia myersii ssp.
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Navarretia paradoxinota
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Navarretia cotulifolia**
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Monardella viridis**
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Microseris paludosa
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Lomatium repostum**
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Limnanthes vinculans
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Micropus amphibolus**
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Limnanthes floccosa ssp.
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Navarretia rosulata
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Penstemon newberryi var.
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Plagiobothrys strictus****
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Poa napensis****
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Puccinellia simplex
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Ranunculus lobbii**
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Sidalcea oregana ssp. valida
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Spergularia macrotheca
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Sidalcea oregana ssp.
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Sidalcea hickmanii ssp.
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Streptanthus brachiatus ssp.
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Trifolium buckwestiorum
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Trifolium amoenum
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Triquetrella californica
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Trichostema ruygtii
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Toxicoscordion fontanum**
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Trifolium hydrophilum
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Stuckenia filiformis ssp.
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Streptanthus morrisonii ssp.
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Streptanthus vernalis
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Streptanthus morrisonii ssp.
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Streptanthus brachiatus ssp.
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Streptanthus hesperidis
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Viburnum ellipticum
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Eriophyllum lanatum var.
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Nemophila parviflora var.
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Juglans californica
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Galium andrewsii
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Umbellularia californica - Quercus durata - Rhamnus spp. Mesic Serpentine
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Quercus durata/Arctostaphylos viscida Alliance
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Quercus durata -Umbellularia californica/Rhamnus spp. mesic serpentine
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Arctostaphylos manzanita -Quercus wislizeni-Umbellularia
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Burke's Goldfields Lasthenia burkei
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Calistoga Allocarya Plagiobothrys strictus
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Loch Lomond Coyote Thistle Eryngium constancei
zips/2024080411/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exhibit B - Biological Resource Assessment.PDF:Napa Bluegrass Poa napensis
