zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F - Botanical Resources Report.PDF:Balsamorhiza macrolepis
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F - Botanical Resources Report.PDF:Navarretia leucocephala ssp.
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F - Botanical Resources Report.PDF:Ceanothus confusus
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F - Botanical Resources Report.PDF:Gratiola heterosepala
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F - Botanical Resources Report.PDF:Potamogeton zosteriformis
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F - Botanical Resources Report.PDF:Rosa gymnocarpa
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment B - Biological Resources Report.PDF:Rosa gymnocarpa
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment B - Biological Resources Report.PDF:Burke's Goldfields (Lasthenia burkei) Endangered
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment B - Biological Resources Report.PDF:Balsamorhiza macrolepis
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment B - Biological Resources Report.PDF:Calycadenia micrantha
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment B - Biological Resources Report.PDF:Erigeron greenei
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment B - Biological Resources Report.PDF:Lasthenia burkei
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment B - Biological Resources Report.PDF:Layia septentrionalis
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment B - Biological Resources Report.PDF:Tracyina rostrata
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment B - Biological Resources Report.PDF:Amsinckia lunaris
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment B - Biological Resources Report.PDF:Plagiobothrys lithocaryus
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment B - Biological Resources Report.PDF:Brasenia schreberi
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment B - Biological Resources Report.PDF:Arctostaphylos manzanita ssp.
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment B - Biological Resources Report.PDF:Lupinus antoninus
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment B - Biological Resources Report.PDF:Trichostema ruygtii
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment B - Biological Resources Report.PDF:Limnanthes floccosa ssp. floccosa
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment B - Biological Resources Report.PDF:Hesperolinon adenophyllum
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment B - Biological Resources Report.PDF:Hesperolinon bicarpellatum
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment B - Biological Resources Report.PDF:Sidalcea oregana ssp. hydrophila
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment B - Biological Resources Report.PDF:Eriastrum tracyi
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment B - Biological Resources Report.PDF:Navarretia leucocephala ssp.
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment B - Biological Resources Report.PDF:Ceanothus confusus
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment B - Biological Resources Report.PDF:Gratiola heterosepala
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment B - Biological Resources Report.PDF:Potamogeton zosteriformis
zips/2024091171/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment B - Biological Resources Report.PDF:Burke's Goldfields Lasthenia burkei
zips/2024091161/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/B_BREMWC_Bio_2023_05_23.PDF:Rattlesnake Fern (Botrypus virginianus) (2B.2)
zips/2024091161/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/B_BREMWC_Bio_2023_05_23.PDF:Coast fawn lily (Erythronium revolutum) (2B.2)
zips/2024091161/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/B_BREMWC_Bio_2023_05_23.PDF:Regel’s rush (Juncus regelii) (1B.3)
zips/2024091161/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/B_BREMWC_Bio_2023_05_23.PDF:Heckner’s lewisia (Lewisia cotyledon var. heckneri) (1B.2)
zips/2024091161/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/B_BREMWC_Bio_2023_05_23.PDF:Howell’s montia (Montia howellii) (2B.2)
zips/2024091161/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/B_BREMWC_Bio_2023_05_23.PDF:White‐flowered rein orchid (Erythronium revolutum) (1B.2)
zips/2024091161/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/B_BREMWC_Bio_2023_05_23.PDF:Trinity River jewelflower (Streptanthus oblanceolatus) (1B.2)
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:the time of the surveys, including Santa Clara Valley dudleya (Dudleya abramsii ssp. setchellii), big-scale balsamroot
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:(Balsamorhiza macrolepis), Monterey ceanothus (Ceanothus rigidus), and Satan’s goldenbush (Isocoma menziesii var.
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:(Amsinckia lunaris)
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:(Erysimum franciscanum)
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:(Leptosiphon grandiflorus)
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Acanthomintha lanceolata
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Amsinckia lunaris
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Androsace elongata ssp. acuta
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Astragalus tener var. tener
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Atriplex depressa
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Atriplex minuscula
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Balsamorhiza macrolepis
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Calandrinia breweri
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Calochortus umbellatus
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Calyptridium parryi var. hesseae
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Calystegia collina ssp. venusta
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Castilleja affinis var. neglecta
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Castilleja rubicundula var.
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Ceanothus ferrisiae
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Centromadia parryi ssp. congdonii
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Chlorogalum pomeridianum var.
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Chloropyron maritimum ssp. palustre
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Chorizanthe douglasii
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Chorizanthe robusta var. robusta
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Cirsium fontinale var. campylon
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Clarkia breweri
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Clarkia lewisii
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Collinsia multicolor
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Convolvulus simulans
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Dirca occidentalis
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Dudleya abramsii ssp. setchellii
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Eleocharis parvula
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Eriogonum argillosum
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Eriogonum umbellatum var.
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Eriophyllum jepsonii
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Eryngium aristulatum var. hooveri
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Erysimum franciscanum
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Extriplex joaquinana
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Fritillaria liliacea
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Galium andrewsii ssp. gatense
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Grindelia hirsutula var. maritima
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Hoita strobilina
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Iris longipetala
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Isocoma menziesii var. diabolica
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Lasthenia conjugens
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Leptosiphon ambiguus
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Leptosiphon grandiflorus
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Leptosyne hamiltonii
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Lessingia hololeuca
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Clarkia concinna ssp. automixa
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Lessingia micradenia var. glabrata
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Lessingia tenuis
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Lomatium observatorium
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Lomatium parvifolium
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Malacothamnus arcuatus var.
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Malacothamnus hallii
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Mielichhoferia elongata
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Monolopia gracilens
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Navarretia prostrata
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Penstemon rattanii var. kleei
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Phacelia phacelioides
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Plagiobothrys chorisianus var.
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Plagiobothrys glaber
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Puccinellia simplex
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Ravenella exigua
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Sagittaria sanfordii
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Sanicula saxatilis
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Senecio aphanactis
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Sidalcea malachroides
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Suaeda californica
zips/2024091149/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PWTP Appendices Compiled.PDF:Trifolium hydrophilum
