zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:yellow flower tarweed (Holocarpha virgata), great brome (Bromus diandrus), camphorweed (Heterotheca
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:(Opuntia basilaris var.
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:(Monardella linoides
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:(Allium shevockii)
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:(Monardella linoides
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:yellow flower tarweed (Holocarpha virgata), great brome (Bromus diandrus), camphorweed (Heterotheca
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:(Opuntia basilaris var.
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:(Diplacus pictus)
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:(Lasthenia glabrata
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:(Viola pinetorum ssp.
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:(Eriogonum kennedyi
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:(Saltugilia latimeri)
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:(Allium howellii var.
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:(Layia heterotricha )
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:(Calochortus palmeri
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:(Navarretia setiloba )
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:(Triteleia piutensis)
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:(Loeflingia squarrosa
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:(Monardella linoides
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:(Allium shevockii)
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:(Monardella linoides
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:(Opuntia basilaris var. treleasei)
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:(Pseudobahia peirsonii)
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:Navarretia peninsularis
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:Opuntia basilaris var. treleasei
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:Diplacus pictus
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:Lasthenia glabrata ssp. coulteri
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:Viola pinetorum ssp. grisea
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:Eriogonum kennedyi var. pinicola
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:Saltugilia latimeri
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:Leptosiphon serrulatus
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:Allium howellii var. clokeyi
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:Layia heterotricha
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:Calochortus palmeri var. palmeri
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:Streptanthus cordatus var. piutensis
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:Navarretia setiloba
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:Triteleia piutensis
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:Loeflingia squarrosa var. artemisiarum
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:Pseudobahia peirsonii
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:Monardella linoides ssp. anemonoides
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:Allium shevockii
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:Monardella linoides ssp. oblonga
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:Eschscholzia lemmonii ssp. kernensis
zips/2025080814/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GHCSD Nature Park Master Plan Draft IS-MND.PDF:Eriastrum tracyi
zips/2025080817/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Westhaven II IS-MND_v3 ocr.PDF:centered on the Project site. Four of these species, Hoover’s spurge (Euphorbia hooveri), San
zips/2025080817/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Westhaven II IS-MND_v3 ocr.PDF:Joaquin Valley Orcutt grass (Orcuttia inaequalis), San Joaquin adobe sunburst (Pseudobahia
zips/2025080817/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Westhaven II IS-MND_v3 ocr.PDF:peirsonii), and Greene’s tuctoria (Tuctoria greenei) are federally and State listed. None of
zips/2025080817/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Westhaven II IS-MND_v3 ocr.PDF:Carex comosa
zips/2025080817/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Westhaven II IS-MND_v3 ocr.PDF:Tuctoria greenei
zips/2025080818/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDP_2023-0009 Initial Study.PDF:Pinus muricata - Pinus radiata Forest and
zips/2025080818/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDP_2023-0009 Initial Study.PDF:Pinus contorta ssp contorta Forest and
