zips/2026010776/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft ISMND COSCA IPMP_ocr.PDF:Braunton's milk-vetch (Astragalus brauntonii) - Federally Endangered
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D_Biological Resources Assessment.PDF:(Juncus leiospermus
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D_Biological Resources Assessment.PDF:(Orcuttia viscida)
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D_Biological Resources Assessment.PDF:(Sagittaria sanfordii)
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D_Biological Resources Assessment.PDF:Balsamorhiza macrolepis
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D_Biological Resources Assessment.PDF:Symphyotrichum lentum
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D_Biological Resources Assessment.PDF:Downingia pusilla
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D_Biological Resources Assessment.PDF:Astragalus tener var. ferrisiae
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D_Biological Resources Assessment.PDF:Hibiscus lasiocarpos var. occidentalis
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D_Biological Resources Assessment.PDF:Chloropyron molle ssp. hispidum
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D_Biological Resources Assessment.PDF:Gratiola heterosepala
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D_Biological Resources Assessment.PDF:Sagittaria sanfordii
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D_Biological Resources Assessment.PDF:Juncus leiospermus var. ahartii
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D_Biological Resources Assessment.PDF:Juncus leiospermus var. leiospermus
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D_Biological Resources Assessment.PDF:Fritillaria agrestis
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D_Biological Resources Assessment.PDF:Orcuttia viscida
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D_Biological Resources Assessment.PDF:Astragalus tener var.
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D_Biological Resources Assessment.PDF:Brodiaea rosea ssp.
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D_Biological Resources Assessment.PDF:Centromadia parryi
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D_Biological Resources Assessment.PDF:Chloropyron molle
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D_Biological Resources Assessment.PDF:Downingia pusilla
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D_Biological Resources Assessment.PDF:Fritillaria agrestis
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D_Biological Resources Assessment.PDF:Gratiola heterosepala
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D_Biological Resources Assessment.PDF:Hibiscus lasiocarpos
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D_Biological Resources Assessment.PDF:Juncus leiospermus
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D_Biological Resources Assessment.PDF:Juncus leiospermus
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D_Biological Resources Assessment.PDF:Orcuttia viscida
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D_Biological Resources Assessment.PDF:Sagittaria sanfordii
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D_Biological Resources Assessment.PDF:Northern California black walnut (Juglans californica var. hindsii)
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D_Biological Resources Assessment.PDF:Holocarpha virgata ssp. virgata
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix D_Biological Resources Assessment.PDF:Psilocarphus brevissimus var. brevissimus
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E_Arborist Survey Report.PDF:Northern California black walnut (Juglans californica var. hindsii)
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix F_Aquatic Resources Delineation.PDF:vernal pool and dominant plant species identified included slender popcorn-flower (FACW), short woollymarbles (Psilocarphus brevissimus; FACW), and interwoven navarretia (Navarretia intertexta; FACW)
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix F_Aquatic Resources Delineation.PDF:5. Holocarpha virgata
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix F_Aquatic Resources Delineation.PDF:3. Holocarpha virgata
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix F_Aquatic Resources Delineation.PDF:Holocarpha virgata ssp. virgata
zips/2026010777/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix F_Aquatic Resources Delineation.PDF:Psilocarphus brevissimus var. brevissimus
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Astragalus tener
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Atriplex cordulata
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Atriplex depressa
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Brasenia schreberi
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Carex comosa
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Centromadia parryi
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Chloropyron molle
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Cicuta maculata
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Downingia pusilla
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Eriogonum nudum
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Eryngium jepsonii
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Fritillaria liliacea
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Isocoma arguta
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Lathyrus jepsonii
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Limosella australis
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Madia radiata
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Sagittaria sanfordii
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Sidalcea keckii
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:naked buckwheat (Eriogonum nudum var. psychicola)
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:gum (Eucalyptus spp.), Monterey pine (Pinus radiata), or
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:and potentially in the project impact area include: watershield (Brasenia schreberi), bristly sedge
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:(Carex comosa), soft bird’s beak (Chloropyron molle ssp. molle), Bolander’s water-hemlock
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:(Cicuta maculata var. bolanderi), San Joaquin spearscale (Hibiscus lasiocarpos var. occidentalis),
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:woolly rose-mallow (Hibiscus lasiocarpos var. occidentalis), Delta tule pea (Lathyrus jepsonii var.
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:jepsonii), Mason’s lilaeopsis (Lilaeopsis masonii), Delta mudwort (Limosella australis), eel-grass
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:pondweed (Sagittaria sanfordii), Sanford’s arrowhead (Sagittaria sanfordii), marsh skullcap
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:(Scutellaria galericulata), side-flowering skullcap (Scutellaria lateriflora), broadleaf pondweed
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:(Symphyotrichum lentum), and Suisun Marsh aster (Symphyotrichum lentum). Soft bird’s beak is
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Amsinckia grandiflora
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Anomobryum julaceum
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Arctostaphylos auriculata
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Astragalus tener var. tener
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Atriplex cordulata var. cordulata
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Atriplex depressa
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Blepharizonia plumosa
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Brasenia schreberi
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Calochortus pulchellus
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Carex comosa
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Centromadia parryi ssp. parryi
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Chloropyron molle ssp. molle
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Cicuta maculata var. bolanderi
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Cryptantha hooveri
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Downingia pusilla
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Eriogonum nudum var. psychicola
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Eriogonum truncatum
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Eryngium jepsonii
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Eryngium racemosum
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Erysimum capitatum var. angustatum
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Eschscholzia rhombipetala
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Extriplex joaquinana
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Fritillaria agrestis
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Fritillaria liliacea
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Helianthella castanea
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Hesperolinon breweri
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Hibiscus lasiocarpos var. occidentalis
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Isocoma arguta
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Lasthenia conjugens
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Lathyrus jepsonii var. jepsonii
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Limosella australis
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Madia radiata
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Malacothamnus hallii
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Navarretia leucocephala ssp. bakeri
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Navarretia nigelliformis ssp. radians
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Oenothera deltoides ssp. howellii
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Plagiobothrys hystriculus
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Potamogeton zosteriformis
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Sagittaria sanfordii
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Scutellaria galericulata
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Scutellaria lateriflora
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Senecio aphanactis
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Sidalcea keckii
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Symphyotrichum lentum
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Tropidocarpum capparideum
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Viburnum ellipticum
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Amsinckia grandiflora
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Anomobryum julaceum
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Arctostaphylos auriculata
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Astragalus tener var. tener
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Atriplex cordulata var.
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Atriplex coronata var.
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Atriplex depressa
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Blepharizonia plumosa
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Brasenia schreberi
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Calandrinia breweri
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Calochortus pulchellus
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Carex comosa
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Centromadia parryi ssp.
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Centromadia parryi ssp.
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Chloropyron molle ssp.
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Cicuta maculata var.
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Convolvulus simulans
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Cryptantha hooveri
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Downingia pusilla
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Eleocharis parvula
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Eriogonum nudum var.
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Eriogonum truncatum
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Eriophyllum jepsonii
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Eryngium jepsonii
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Eryngium racemosum
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Erysimum capitatum var.
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Eschscholzia rhombipetala
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Extriplex joaquinana
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Fritillaria agrestis
zips/2026010778/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS-MND_RD 799.PDF:Fritillaria liliacea
