zips/2024101280/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Riverford Roundabouts_Natural Environment Study.PDF:(Juncus acutus ssp. leopoldii)
zips/2024101280/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Riverford Roundabouts_Natural Environment Study.PDF:San Diego ambrosia (Ambrosia pumila)
zips/2024101280/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Riverford Roundabouts_Natural Environment Study.PDF:San Diego button-celery (Eryngium aristulatum var. parishii)
zips/2024101280/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Riverford Roundabouts_Natural Environment Study.PDF:San Diego mesa-mint (Pogogyne abramsii)
zips/2024101280/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Riverford Roundabouts_Natural Environment Study.PDF:San Diego thornmint (Acanthomintha ilicifolia)
zips/2024101280/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Riverford Roundabouts_Natural Environment Study.PDF:Thread-leaved brodiaea (Brodiaea filifolia)
zips/2024101280/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Riverford Roundabouts_Natural Environment Study.PDF:Willowy monardella (Monardella viminea)
zips/2024101280/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Riverford Roundabouts_Natural Environment Study.PDF:(Juncus acutus)
zips/2024101280/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Riverford Roundabouts_Natural Environment Study.PDF:(Juncus acutus)
zips/2024101280/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Riverford Roundabouts_Natural Environment Study.PDF:San Diego Ambrosia Ambrosia pumila
zips/2024101280/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Riverford Roundabouts_Natural Environment Study.PDF:San Diego Button-celery Eryngium aristulatum var. parishii
zips/2024101280/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Riverford Roundabouts_Natural Environment Study.PDF:San Diego Mesa-mint Pogogyne abramsii
zips/2024101280/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Riverford Roundabouts_Natural Environment Study.PDF:San Diego Thornmint Acanthomintha ilicifolia
zips/2024101280/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Riverford Roundabouts_Natural Environment Study.PDF:Thread-leaved Brodiaea Brodiaea filifolia
zips/2024101280/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Riverford Roundabouts_Natural Environment Study.PDF:Willowy Monardella Monardella viminea
zips/2024101280/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Riverford Roundabouts_Natural Environment Study.PDF:no effects would occur to the federally endangered San Deigo ambrosia (Ambrosia pumila);
zips/2024101280/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Riverford Roundabouts_Natural Environment Study.PDF:San Diego button celery (Eryngium aristulatum var. parishii); San Diego mesa mint (Pogogyne
zips/2024101280/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Riverford Roundabouts_Natural Environment Study.PDF:abramsii); willowy monardella (Monardella viminea); Quino checkerspot butterfly (Euphydryas
zips/2024101280/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Riverford Roundabouts_Natural Environment Study.PDF:threatened San Diego thornmint (Acanthomintha ilicifolia); thread-leaved brodiaea (Brodiaea
zips/2024101280/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Riverford Roundabouts_Natural Environment Study.PDF:Corethrogyne filaginifolia var. filaginifolia / California sand-aster
zips/2024101280/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Riverford Roundabouts_Natural Environment Study.PDF:Isocoma menziesii / coastal goldenbush
zips/2024101280/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Riverford Roundabouts_Natural Environment Study.PDF:Calystegia macrostegia / morning-glory
zips/2024101280/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Riverford Roundabouts_Natural Environment Study.PDF:Cuscuta californica / chaparral dodder
zips/2024101280/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Riverford Roundabouts_Natural Environment Study.PDF:Galium angustifolium ssp. angustifolium / narrow-leaf bedstraw
zips/2024101279/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Priviere Villas - EA24-0001 PDP24-0001 - ISMND October 2024.PDF:canescens), and Emory’s dalea (Chylismia claviformis), Spanish needle (Palafoxia arida),
zips/2024101279/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Priviere Villas - EA24-0001 PDP24-0001 - ISMND October 2024.PDF:brown-eyed primrose (Chylismia claviformis), Spanish needle (Palafoxia arida), and bugseed
zips/2024101279/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Priviere Villas - EA24-0001 PDP24-0001 - ISMND October 2024.PDF:platysperma), Coachella Valley milk vetch (Astragalus lentiginosus coachellae), and Salton
zips/2024101279/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Priviere Villas - EA24-0001 PDP24-0001 - ISMND October 2024.PDF:5. The Salton milkvetch (Astragalus crotalariae) is a perennial herb found in the Sonoran Desert
zips/2024101279/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Priviere Villas - EA24-0001 PDP24-0001 - ISMND October 2024.PDF:Palafoxia arida - Spanish Needle
zips/2024101279/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Priviere Villas - EA24-0001 PDP24-0001 - ISMND October 2024.PDF:Astragalus lentiginosus coachellae - Coachella Valley milk vetch ?
zips/2024101279/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Priviere Villas - EA24-0001 PDP24-0001 - ISMND October 2024.PDF:Abronia villosa - Hairy Sand-Verbena
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/D1 - Cultural Resources Assessment.PDF:dumosa, Quercus engelmannii, and Quercus wislizenii). Seeds, particularly of grasses, flowering
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Phacelia stellaris
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Carex buxbaumii
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Orcuttia californica
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Tortula californica
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Senecio aphanactis
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Abronia villosa var. aurita
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Lasthenia glabrata ssp. coulteri State: None
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Romneya coulteri
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Atriplex serenana var.
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Quercus engelmannii
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Monardella macrantha ssp.
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Lepechinia cardiophylla
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Calochortus weedii var.
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Monardella hypoleuca
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Myosurus minimus ssp. apus
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Chorizanthe polygonoides var. State: None
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Dudleya multicaulis
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Arenaria paludicola
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Horkelia cuneata var. puberula State: None
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Allium munzii
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Berberis nevinii
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Lilium humboldtii ssp.
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Harpagonella palmeri
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Erythranthe diffusa
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Deinandra paniculata
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Atriplex parishii
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Chorizanthe parryi var. parryi State: None
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Caulanthus simulans
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Chorizanthe leptotheca
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Calochortus plummerae
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Lepidium virginicum var.
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Chloropyron maritimum ssp.
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Symphyotrichum defoliatum
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Ambrosia pumila
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Artemisia palmeri
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Atriplex coronata var. notatior State: None
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Clinopodium chandleri
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Eriastrum densifolium ssp.
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Phacelia keckii
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Dodecahema leptoceras
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Microseris douglasii ssp.
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Convolvulus simulans
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Centromadia pungens ssp.
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Juglans californica
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Navarretia fossalis
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Dudleya viscida
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Brodiaea filifolia
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Hordeum intercedens
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Asplenium vespertinum
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Chorizanthe xanti var.
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Texosporium sancti-jacobi
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Trichocoronis wrightii var.
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C2 - Supplemental Biological Study.PDF:Allium marvinii
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:vugaris), goldfields (Lasthenia californica), London rocket (Sisymbrium irio), Russian thistle
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Phacelia stellaris
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Carex buxbaumii
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Orcuttia californica
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Tortula californica
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Senecio aphanactis
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Abronia villosa var. aurita
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Lasthenia glabrata ssp. coulteri State: None
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Romneya coulteri
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Atriplex serenana var.
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Quercus engelmannii
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Monardella macrantha ssp.
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Lepechinia cardiophylla
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Calochortus weedii var.
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Monardella hypoleuca
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Myosurus minimus ssp. apus
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Chorizanthe polygonoides var. State: None
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Dudleya multicaulis
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Arenaria paludicola
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Horkelia cuneata var. puberula State: None
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Allium munzii
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Berberis nevinii
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Lilium humboldtii ssp.
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Harpagonella palmeri
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Erythranthe diffusa
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Deinandra paniculata
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Atriplex parishii
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Chorizanthe parryi var. parryi State: None
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Caulanthus simulans
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Chorizanthe leptotheca
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Calochortus plummerae
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Lepidium virginicum var.
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Chloropyron maritimum ssp. State: SE
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Symphyotrichum defoliatum
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Ambrosia pumila
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Artemisia palmeri
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Atriplex coronata var. notatior State: None
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Clinopodium chandleri
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Eriastrum densifolium ssp.
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Phacelia keckii
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Dodecahema leptoceras
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Microseris douglasii ssp.
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Convolvulus simulans
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Centromadia pungens ssp.
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Juglans californica
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Navarretia fossalis
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Dudleya viscida
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Brodiaea filifolia
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Hordeum intercedens
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Asplenium vespertinum
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Texosporium sancti-jacobi
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Trichocoronis wrightii var.
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Allium marvinii
zips/2024101276/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/C1 - Biological Technical Report.PDF:Lasthenia californica
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:or Coast Live Oak (Quercus agrifolia), Coastal Sage Scrub Oak (Quercus dumosa), Engelmann Oak
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:(Quercus engelmannii), Scrub Oak (Quercus berberidifolia), and the Valley Oak (Quercus lobata).
zips/2024101272/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix 3_Bio report_OPT.PDF:One special-status plant species, Engelmann oak (Quercus engelmannii), was observed within the Project
