zips/2025110036/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SLWD LBCRR Project Draft ISMND_Oct 2025.PDF:(Streptanthus insignis
zips/2025110036/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SLWD LBCRR Project Draft ISMND_Oct 2025.PDF:(Streptanthus insignis
zips/2025110036/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SLWD LBCRR Project Draft ISMND_Oct 2025.PDF:(Astragalus tener var.
zips/2025110036/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SLWD LBCRR Project Draft ISMND_Oct 2025.PDF:(Puccinellia simplex)
zips/2025110036/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SLWD LBCRR Project Draft ISMND_Oct 2025.PDF:(Senecio aphanactis)
zips/2025110036/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SLWD LBCRR Project Draft ISMND_Oct 2025.PDF:(Lasthenia glabrata
zips/2025110036/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SLWD LBCRR Project Draft ISMND_Oct 2025.PDF:(Atriplex cordulata
zips/2025110036/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SLWD LBCRR Project Draft ISMND_Oct 2025.PDF:(Chloropyron molle
zips/2025110036/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SLWD LBCRR Project Draft ISMND_Oct 2025.PDF:(Atriplex minuscula)
zips/2025110036/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SLWD LBCRR Project Draft ISMND_Oct 2025.PDF:(Atriplex coronata var.
zips/2025110036/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SLWD LBCRR Project Draft ISMND_Oct 2025.PDF:(Navarretia prostrata)
zips/2025110036/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SLWD LBCRR Project Draft ISMND_Oct 2025.PDF:(Sagittaria sanfordii)
zips/2025110036/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SLWD LBCRR Project Draft ISMND_Oct 2025.PDF:(Atriplex persistens)
zips/2025110036/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SLWD LBCRR Project Draft ISMND_Oct 2025.PDF:(Trichocoronis wrightii
zips/2025110036/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SLWD LBCRR Project Draft ISMND_Oct 2025.PDF:Astragalus tener var. tener
zips/2025110036/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SLWD LBCRR Project Draft ISMND_Oct 2025.PDF:Lasthenia chrysantha
zips/2025110036/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SLWD LBCRR Project Draft ISMND_Oct 2025.PDF:Streptanthus insignis ssp. lyonii
zips/2025110036/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SLWD LBCRR Project Draft ISMND_Oct 2025.PDF:Puccinellia simplex
zips/2025110036/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SLWD LBCRR Project Draft ISMND_Oct 2025.PDF:Senecio aphanactis
zips/2025110036/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SLWD LBCRR Project Draft ISMND_Oct 2025.PDF:Lasthenia glabrata ssp. coulteri
zips/2025110036/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SLWD LBCRR Project Draft ISMND_Oct 2025.PDF:Eryngium racemosum
zips/2025110036/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SLWD LBCRR Project Draft ISMND_Oct 2025.PDF:Malacothamnus hallii
zips/2025110036/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SLWD LBCRR Project Draft ISMND_Oct 2025.PDF:Atriplex cordulata var. cordulata
zips/2025110036/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SLWD LBCRR Project Draft ISMND_Oct 2025.PDF:Chloropyron molle ssp. hispidum
zips/2025110036/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SLWD LBCRR Project Draft ISMND_Oct 2025.PDF:Caulanthus lemmonii
zips/2025110036/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SLWD LBCRR Project Draft ISMND_Oct 2025.PDF:Atriplex minuscula
zips/2025110036/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SLWD LBCRR Project Draft ISMND_Oct 2025.PDF:Atriplex coronata var. vallicola
zips/2025110036/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SLWD LBCRR Project Draft ISMND_Oct 2025.PDF:Stuckenia filiformis ssp. alpina
zips/2025110036/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SLWD LBCRR Project Draft ISMND_Oct 2025.PDF:Navarretia prostrata
zips/2025110036/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SLWD LBCRR Project Draft ISMND_Oct 2025.PDF:Delphinium recurvatum
zips/2025110036/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SLWD LBCRR Project Draft ISMND_Oct 2025.PDF:Sagittaria sanfordii
zips/2025110036/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SLWD LBCRR Project Draft ISMND_Oct 2025.PDF:Navarretia nigelliformis ssp. radians
zips/2025110036/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SLWD LBCRR Project Draft ISMND_Oct 2025.PDF:Eryngium spinosepalum
zips/2025110036/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SLWD LBCRR Project Draft ISMND_Oct 2025.PDF:Atriplex persistens
zips/2025110036/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SLWD LBCRR Project Draft ISMND_Oct 2025.PDF:Trichocoronis wrightii var. wrightii
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:and emergent trees such as Southern California black walnut (Juglans californica).
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:(Isocoma menziesii) occur at lower percentage cover in the shrub layer with patches of remnant
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:California walnut groves (Juglans californica Forest and Woodland Alliance, Juglans californicaQuercus agrifolia Association) occurs in the northern portion of the BSA. This vegetation
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Southern California black walnut (Juglans californica) - Within Project Site
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Southern California black walnut (Juglans californica) - Outside Project Site
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:California black walnut (Juglans californica) are present sporadically.
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:California Walnut Groves (Juglans Californica Forest and Woodland Alliance, Juglans californica – Quercus agrifolia
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:or coyote brush, and emergent trees such as southern California black walnut (Juglans californica) present
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica – Quercus agrifolia Association) were located in the northern portion of the study area.
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:such as coastal goldenbush (Isocoma menziesii) were present at lower cover in the shrub layer, with
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:elongata ssp. acuta), slender mariposa-lily (Calochortus clavatus var. gracilis), Plummer’s mariposa lily
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:(Calochortus plummerae), many-stemmed dudleya (Dudleya multicaulis), Robinson’s pepper-grass
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:(Lepidium virginicum var. robinsonii), ocellated Humboldt lily (Lilium humboldtii ssp. ocellatum) Brand’s
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:star phacelia (Phacelia stellaris), and chaparral ragwort (Senecio aphanactis). Although these species have
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:(Juglans californica)
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Abronia villosa var.
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Androsace elongata
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Aphyllon validum
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Atriplex coulteri
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Atriplex parishii
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Berberis nevinii
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Brodiaea filifolia
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Calochortus clavatus
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Calochortus clavatus
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Calochortus weedii
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Calystegia felix
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Castilleja gleasoni
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Centromadia parryi
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Chorizanthe parryi
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Dudleya cymosa ssp.
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Dudleya densiflora
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Dudleya multicaulis
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Galium grande
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Galium jepsonii
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Heuchera caespitosa
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Horkelia cuneata
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Imperata brevifolia
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juncus acutus ssp.
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Lasthenia glabrata
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Lathyrus splendens
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Lepechinia fragrans
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Lepidium virginicum
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Lilium humboldtii
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Lilium parryi
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Linanthus concinnus
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Microseris douglasii
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Monardella australis
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Monardella breweri
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Monardella saxicola
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Monardella viridis
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Muhlenbergia utilis
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Navarretia prostrata
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Oreonana vestita
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Phacelia hubbyi
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Phacelia stellaris
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Quercus durata var.
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Romneya coulteri
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Sagittaria sanfordii
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Senecio aphanactis
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Senecio astephanus
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Corethrogyne filaginifolia - sand-aster
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Eriophyllum confertiflorum - golden-yarrow
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Isocoma menziesii - Menzies’s golden bush
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Malacothrix saxatilis - cliff desert dandelion
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Cuscuta californica - chaparral dodder
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica - Southern California black walnut
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:Juglans californica
zips/2025110050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appdx B_Bio Report.PDF:activities. In addition, Southern California black walnut (Juglans californica) is considered a special-status
