zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:leaf raspberry (Rubus glaucifolius), feathery false lily of the valley (Maianthemum racemosum), western
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Josephine silt loam soils are sometimes associated with known occurrences of Pleasant valley mariposalily (Calochortus clavatus ssp. avius), a California Rare Plant Rank (CRPR) 1B.2 species. Soils in the
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:(Calochortus clavatus var. avius), could potentially occur on the project site. There is potentially limited
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Allium tribracteatum
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Botrychium paradoxum (paradox moonwort)
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Botrychium pedunculosum (stalked moonwort)
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Bruchia bolanderi (Bolander's bruchia)
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Calochortus clavatus var. avius (Pleasant Valley mariposa-lily)
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Cypripedium montanum (mountain lady's-slipper)
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Draba asterophora var. asterophora (Tahoe draba)
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Draba asterophora var. macrocarpa (Cup Lake draba)
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Eriogonum luteolum var. saltuarium (Jack's wild buckwheat)
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Eriogonum tripodum (tripod buckwheat)
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Helodium blandowii (Blandow's bog moss)
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Horkelia parryi (Parry's horkelia)
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Lewisia kelloggii ssp. hutchisonii (Hutchison's lewisia)
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Lewisia kelloggii ssp. kelloggii (Kellogg's lewisia)
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Lewisia longipetala (long-petaled lewisia)
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Meesia uliginosa (broad-nerved hump-moss)
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Monardella linoides ssp. oblonga (Tehachapi monardella)
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Navarretia prolifera ssp. lutea (yellow bur navarretia)
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Ophioglossum pusillum (northern adder's tongue)
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Peltigera gowardii (veined water lichen)
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Phacelia stebbinsii (Stebbins' phacelia)
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Poa sierrae (Sierra blue grass)
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Eriophyllum lanatum
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Erysimum capitatum
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Claytonia parviflora
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Gilia capitata ssp. mediomontana
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Rubus glaucifolius
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:arching sedge (Carex cyrtostachya), which is in Group 1 and 4.
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:Group 11, so it is not the special-status target species, Sierra arching sedge (Carex cyrtostachya), which is in Group
zips/2024120943/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Flume 48 NOP_Initial Study.PDF:willow (Salix lasiolepis) and alumroot (Heuchera rubescens). Additionally, there was no evidence of
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Arctostaphylos pilosula
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Aristocapsa insignis
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Atriplex flavida
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Calochortus palmeri var. palmeri
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Calochortus simulans
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Calycadenia villosa
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Caulanthus californicus
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Caulanthus lemmonii
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Chorizanthe rectispina
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Delphinium parryi ssp. eastwoodiae
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Delphinium recurvatum
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Delphinium umbraculorum
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Eremalche parryi ssp. kernensis
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Eriastrum hooveri
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Eryngium spinosepalum
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Eschscholzia rhombipetala
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Lasthenia glabrata ssp. coulteri
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Layia heterotricha
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Layia munzii
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Lepidium jaredii ssp. jaredii
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Madia radiata
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Malacothamnus gracilis
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Monolopia congdonii
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Navarretia nigelliformis ssp. radians
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Sidalcea hickmanii ssp. parishii
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Arctostaphylos pilosula
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Arenaria paludicola
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Aristocapsa insignis
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Atriplex flavida
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Calochortus palmeri var.
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Calochortus simulans
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Calycadenia villosa
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Caulanthus californicus
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Caulanthus lemmonii
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Chorizanthe rectispina
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Delphinium parryi ssp.
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Delphinium recurvatum
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Delphinium umbraculorum
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Eremalche parryi ssp. Kernensis
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Eryngium spinosepalum
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Eschscholzia rhombipetala
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Lagophylla diabolensis
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Lasthenia glabrata ssp. Coulteri
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Layia heterotricha
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Layia munzii
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Lepidium jaredii ssp. Jaredii
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Madia radiata
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Malacothamnus gracilis
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Monolopia congdonii
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Navarretia nigelliformis ssp.
zips/2024120933/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Carrisa Plains School Public Review Draft IS 12-12-2024.PDF:Sidalcea hickmanii ssp. parishii
zips/2024120925/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Beyond Trumble Initial Study Nov.PDF:incana), sandmat (Euphorbia sp.), common sandaster (Corethrogyne filaginifolia),
zips/2024120925/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Beyond Trumble Initial Study Nov.PDF:spreading navarretia (Navarretia fossalis) and thread-leaved brodiea (Brodiaea filifolia)
zips/2024120925/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-Biological Report.PDF:mustard (Hirschfeldia incana), sandmat (Euphorbia sp.), common sandaster (Corethrogyne filaginifolia),
zips/2024120925/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-Biological Report.PDF:the site for spreading navarretia (Navarretia fossalis) and thread-leaved brodiea (Brodiaea filifolia) along
zips/2024120925/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-Biological Report.PDF:Allium munzii
zips/2024120925/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-Biological Report.PDF:Brodiaea filifolia
zips/2024120925/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-Biological Report.PDF:Caulanthus simulans
zips/2024120925/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-Biological Report.PDF:Centromadia pungens ssp.
zips/2024120925/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-Biological Report.PDF:Chorizanthe leptotheca
zips/2024120925/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-Biological Report.PDF:Chorizanthe parryi var. parryi
zips/2024120925/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-Biological Report.PDF:Chorizanthe polygonoides var.
zips/2024120925/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-Biological Report.PDF:Convolvulus simulans
zips/2024120925/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-Biological Report.PDF:Deinandra paniculata
zips/2024120925/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-Biological Report.PDF:Harpagonella palmeri
zips/2024120925/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-Biological Report.PDF:Juglans californica
zips/2024120925/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-Biological Report.PDF:Lasthenia glabrata ssp. coulteri
zips/2024120925/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-Biological Report.PDF:Lepidium virginicum var.
zips/2024120925/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-Biological Report.PDF:Microseris douglasii ssp.
zips/2024120925/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-Biological Report.PDF:Myosurus minimus ssp. apus
zips/2024120925/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-Biological Report.PDF:Navarretia fossalis
zips/2024120925/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-Biological Report.PDF:Orcuttia californica
zips/2024120891/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Review Draft ISMND_Waterford Subdivision.PDF:(Tuctoria greenei) and Colusa grass (Neostapfia colusana).
zips/2024120891/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Review Draft ISMND_Waterford Subdivision.PDF:Colusa Grass Neostapfia colusana
zips/2024120891/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Review Draft ISMND_Waterford Subdivision.PDF:Greene's Tuctoria Tuctoria greenei
zips/2024120891/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Review Draft ISMND_Waterford Subdivision.PDF:San Joaquin Valley Orcutt Grass Orcuttia inaequalis
zips/2024120891/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Review Draft ISMND_Waterford Subdivision.PDF:Clarkia rostrata
zips/2024120891/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Review Draft ISMND_Waterford Subdivision.PDF:Neostapfia colusana
zips/2024120891/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Review Draft ISMND_Waterford Subdivision.PDF:Orcuttia inaequalis
zips/2024120891/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Review Draft ISMND_Waterford Subdivision.PDF:Tuctoria greenei
