zips/2009042033/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PubRev_Draft_OCR.PDF:Astragalus austiniae
zips/2009042033/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PubRev_Draft_OCR.PDF:Draba asterophora var. macrocarpa
zips/2009042033/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PubRev_Draft_OCR.PDF:Epilobium howellii
zips/2009042033/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PubRev_Draft_OCR.PDF:Epilobium palustre
zips/2009042033/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PubRev_Draft_OCR.PDF:Erigeron miser
zips/2009042033/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PubRev_Draft_OCR.PDF:Eriogonum luteolum var. saltuarium
zips/2009042033/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PubRev_Draft_OCR.PDF:Erythranthe carsonensis
zips/2009042033/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PubRev_Draft_OCR.PDF:Glyceria grandis
zips/2009042033/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PubRev_Draft_OCR.PDF:Lewisia longipetala
zips/2009042033/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PubRev_Draft_OCR.PDF:Meesia triquetra
zips/2009042033/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PubRev_Draft_OCR.PDF:Meesia uliginosa
zips/2009042033/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PubRev_Draft_OCR.PDF:Oreocarya crymophila
zips/2009042033/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PubRev_Draft_OCR.PDF:Peltigera gowardii
zips/2009042033/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PubRev_Draft_OCR.PDF:Phacelia stebbinsii
zips/2009042033/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PubRev_Draft_OCR.PDF:Potamogeton robbinsii
zips/2009042033/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PubRev_Draft_OCR.PDF:Rorippa subumbellata
zips/2009042033/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PubRev_Draft_OCR.PDF:Schoenoplectus subterminalis
zips/2009042033/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PubRev_Draft_OCR.PDF:Scutellaria galericulata
zips/2009042033/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PubRev_Draft_OCR.PDF:Stuckenia filiformis ssp. alpina
zips/2009042033/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PubRev_Draft_OCR.PDF:Viola purpurea ssp. aurea
zips/2026031232/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SWCA_Pine Mtn Club Admin Draft ISMND_021826 (1).PDF:(Artemisia californica). Mixed conifer pine forests are primarily composed of pinyon pine (Pinus edulis),
zips/2026031232/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SWCA_Pine Mtn Club Admin Draft ISMND_021826 (1).PDF:Abram’s oxytheca (Acanthoscyphus parishii var. abramsii; California Rare Plant Rank [CRPR] 1B.2) is
zips/2026031232/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SWCA_Pine Mtn Club Admin Draft ISMND_021826 (1).PDF:Mount Pinos onion (Allium howellii var. clokeyi; CRPR 1B.3) is a perennial herb that is known to occur
zips/2026031232/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SWCA_Pine Mtn Club Admin Draft ISMND_021826 (1).PDF:Palmer’s mariposa lily (Calochortus palmeri var. palmeri; CRPR 1B.2) is a perennial herb that is known
zips/2026031232/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SWCA_Pine Mtn Club Admin Draft ISMND_021826 (1).PDF:Southern alpine buckwheat (Eriogonum kennedyi var. alpigenum; CRPR 1B.3) is a perennial herb that is
zips/2026031232/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SWCA_Pine Mtn Club Admin Draft ISMND_021826 (1).PDF:Pale-yellow layia (Layia heterotricha; CRPR 1B.1) is an annual herb that is known to occur in the
zips/2026031232/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SWCA_Pine Mtn Club Admin Draft ISMND_021826 (1).PDF:Southwestern mountain monardella (Monardella australis ssp. occidentalis; CRPR 1B.1) is a perennial
zips/2026031232/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SWCA_Pine Mtn Club Admin Draft ISMND_021826 (1).PDF:Tehachapi monardella (Monardella linoides ssp. oblonga; CRPR 1B.3) is a perennial rhizomatous herb
zips/2026031232/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SWCA_Pine Mtn Club Admin Draft ISMND_021826 (1).PDF:Baja navarretia (Navarretia peninsularis; CRPR 1B.2) is an annual herb species that is known to occur
zips/2026031232/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SWCA_Pine Mtn Club Admin Draft ISMND_021826 (1).PDF:Piute Mountains navarretia (Navarretia setiloba; CRPR 1B.1) is an annual herb that is endemic to
zips/2026031232/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SWCA_Pine Mtn Club Admin Draft ISMND_021826 (1).PDF:San Bernardino aster (Symphyotrichum defoliatum; CRPR 1B.2) is a perennial rhizomatous herb that is
zips/2026031232/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SWCA_Pine Mtn Club Admin Draft ISMND_021826 (1).PDF:Grey-leaved violet (Viola pinetorum ssp. grisea; CRPR 1B.2) is a perennial herb that is native to
zips/2026031232/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SWCA_Pine Mtn Club Admin Draft ISMND_021826 (1).PDF:Short-bracted bird’s-beak (Cordylanthus rigidus ssp. brevibracteatus; CRPR 4.3) is a hemiparasitic
zips/2026031232/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SWCA_Pine Mtn Club Admin Draft ISMND_021826 (1).PDF:Unexpected larkspur (Delphinium inopinum; CRPR 4.3) is a perennial herb that is endemic to California.
zips/2026031232/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SWCA_Pine Mtn Club Admin Draft ISMND_021826 (1).PDF:Mount Pinos larkspur (Delphinium parryi ssp. purpureum; CRPR 4.3) is a perennial herb that is endemic
zips/2026031232/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SWCA_Pine Mtn Club Admin Draft ISMND_021826 (1).PDF:Johnston’s monkeyflower (Diplacus johnstonii; CRPR 4.3) is an annual herb that is endemic to
zips/2026031232/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SWCA_Pine Mtn Club Admin Draft ISMND_021826 (1).PDF:Pine green-gentian (Frasera neglecta; CRPR 4.3) is a perennial herb that is endemic to California. This
zips/2026031232/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SWCA_Pine Mtn Club Admin Draft ISMND_021826 (1).PDF:Pine fritillary (Fritillaria pinetorum; CRPR 4.3) is a perennial herb that is native to California. This
zips/2026031232/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SWCA_Pine Mtn Club Admin Draft ISMND_021826 (1).PDF:Inland gilia (Gilia interior; CRPR 4.3) is an annual herb that is endemic to California. This species occurs
zips/2026031232/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SWCA_Pine Mtn Club Admin Draft ISMND_021826 (1).PDF:Cuyama gilia (Gilia latiflora ssp. cuyamensis; CRPR 4.3) is an annual herb that is endemic to California.
zips/2026031232/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SWCA_Pine Mtn Club Admin Draft ISMND_021826 (1).PDF:Pine gilia (Gilia leptantha ssp. pinetorum; CRPR 4.3) is an annual herb that is endemic to California. This
zips/2026031232/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SWCA_Pine Mtn Club Admin Draft ISMND_021826 (1).PDF:Urn-flowered alumroot (Heuchera caespitosa; CRPR 4.3) is a perennial herb endemic to California. This
zips/2026031232/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SWCA_Pine Mtn Club Admin Draft ISMND_021826 (1).PDF:Spring lessingia (Lessingia tenuis; CRPR 4.3) is an annual herb that is endemic to California. This species
zips/2026031232/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SWCA_Pine Mtn Club Admin Draft ISMND_021826 (1).PDF:Ocellated Humboldt lily (Lilium humboldtii ssp. ocellatum; CRPR 4.2) is a perennial herb that is endemic
zips/2026031232/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SWCA_Pine Mtn Club Admin Draft ISMND_021826 (1).PDF:Silky lupine (Lupinus elatus; CRPR 4.3) is a perennial herb that is endemic to California. This species is
zips/2026031232/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SWCA_Pine Mtn Club Admin Draft ISMND_021826 (1).PDF:Adobe yampah (Perideridia pringlei; CRPR 4.3) is a perennial herb endemic to California. This species
zips/2026031232/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SWCA_Pine Mtn Club Admin Draft ISMND_021826 (1).PDF:Transverse Range phacelia (Phacelia exilis; CRPR 4.3) is an annual herb that is endemic to California.
zips/2026031232/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SWCA_Pine Mtn Club Admin Draft ISMND_021826 (1).PDF:Mojave phacelia (Phacelia mohavensis; CRPR 4.3) is an annual herb that is endemic to California. This
zips/2026031232/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SWCA_Pine Mtn Club Admin Draft ISMND_021826 (1).PDF:Chickweed oxytheca (Sidotheca caryophylloides; CRPR 4.3) is an annual herb that is endemic to
zips/2026031253/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bridge 85_ISMND_Draft_OCR.PDF:Pointed dodder (Cuscuta californica var. apiculata) — low potential to occur
zips/2026031253/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bridge 85_ISMND_Draft_OCR.PDF:Small-flowered androstephium (Androstephium breviflorum) — low potential to occur
zips/2026031253/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bridge 85_ISMND_Draft_OCR.PDF:Small-flowered androstephium (Androstephium breviflorum) is a perennial bulbiferous herb in the
zips/2026031253/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bridge 85_ISMND_Draft_OCR.PDF:Pointed dodder (Cuscuta californica var. apiculata) is an annual herb or vine that parasitizes herbs
zips/2026031253/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bridge 85_ISMND_Draft_OCR.PDF:(Gopherus agassizzii), pointed dodder (Cuscuta californica var. apiculate), and small-ﬂowered
zips/2026031253/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bridge 85_ISMND_Draft_OCR.PDF:Pointed dodder (Cuscuta californica var. apiculata) — low potential to occur
zips/2026031253/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bridge 85_ISMND_Draft_OCR.PDF:Cryptantha clokeyi
zips/2026031253/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bridge 85_ISMND_Draft_OCR.PDF:Ditaxis claryana
zips/2026031253/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bridge 85_ISMND_Draft_OCR.PDF:Castela emoryi
zips/2026031253/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bridge 85_ISMND_Draft_OCR.PDF:Monardella mojavensis
zips/2026031253/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bridge 85_ISMND_Draft_OCR.PDF:Eriastrum harwoodii
zips/2026031253/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bridge 85_ISMND_Draft_OCR.PDF:Saltugilia latimeri
zips/2026031253/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bridge 85_ISMND_Draft_OCR.PDF:Euphorbia jaegeri
zips/2026031253/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bridge 85_ISMND_Draft_OCR.PDF:Cuscuta californica var.
zips/2026031253/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bridge 85_ISMND_Draft_OCR.PDF:Pellaea truncata
zips/2026031253/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bridge 85_ISMND_Draft_OCR.PDF:Penstemon stephensii
zips/2026031253/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bridge 85_ISMND_Draft_OCR.PDF:Pointed dodder (Cuscuta californica var. apiculata) is an annual herb or vine that parasitizes
zips/2026031253/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bridge 85_ISMND_Draft_OCR.PDF:Cryptantha clokeyi
zips/2026031253/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bridge 85_ISMND_Draft_OCR.PDF:Penstemon pseudospectabilis ssp. pseudospectabilis
zips/2026031253/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bridge 85_ISMND_Draft_OCR.PDF:Castela emoryi
zips/2026031253/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bridge 85_ISMND_Draft_OCR.PDF:Ditaxis claryana
zips/2026031253/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bridge 85_ISMND_Draft_OCR.PDF:Monardella mojavensis
zips/2026031253/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bridge 85_ISMND_Draft_OCR.PDF:Eriastrum harwoodii
zips/2026031253/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bridge 85_ISMND_Draft_OCR.PDF:Saltugilia latimeri
zips/2026031253/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bridge 85_ISMND_Draft_OCR.PDF:Euphorbia jaegeri
zips/2026031253/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bridge 85_ISMND_Draft_OCR.PDF:Androstephium breviflorum
zips/2026031253/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bridge 85_ISMND_Draft_OCR.PDF:Penstemon stephensii
zips/2026031253/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bridge 85_ISMND_Draft_OCR.PDF:Penstemon albomarginatus
zips/2026031253/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bridge 85_ISMND_Draft_OCR.PDF:Castela emoryi
zips/2026031253/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bridge 85_ISMND_Draft_OCR.PDF:Ditaxis claryana
zips/2026031253/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bridge 85_ISMND_Draft_OCR.PDF:Euphorbia jaegeri Orocopia
zips/2026031253/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bridge 85_ISMND_Draft_OCR.PDF:Saltugilia latimeri Latimer's
