zips/2025041056/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C1 - Biological Assessment 1 - Flattened CEQAnet.PDF:Chaparral sand-verbena (Abronia villosa var. aurita) is ranked 1B.1 in the CNPS Rare Plant
zips/2025041056/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lynx Cat Mtn Quarry Expansion Final IS-MND  4-10-2025 Final_.PDF:Chaparral sand-verbena (Abronia villosa var. aurita) is ranked 1B.1 in the CNPS
zips/2025041056/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lynx Cat Mtn Quarry Expansion Final IS-MND  4-10-2025 Final_.PDF:Lane Mountain milk-vetch (Astragalus jaegerianus) is a federally listed Endangered
zips/2025041056/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lynx Cat Mtn Quarry Expansion Final IS-MND  4-10-2025 Final_.PDF:Parish’s phacelia (Phacelia parishii) is ranked 1B.1 in the CNPS Rare Plant
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Thick-leaved yerba santa scrub (Lotus scoparius – Lupinus albifrons – Eriodictyon spp. Shrubland
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:but not limited to branching phacelia (Phacelia ramosissima), white horehound (Marrubium vulgare),
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:dominated by mediterranean grass (Schismus barbatus) with giant eriastrum (Eriastrum densifolium),
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Cylindropuntia californica
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Eriastrum densifolium
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Heterotheca sessiliflora
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Phacelia ramosissima
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Berberis nevinii
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Calochortus catalinae
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Calochortus clavatus var.
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Calochortus clavatus var. gracilis
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Calochortus palmeri var. palmeri
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Calochortus plummerae
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Calystegia peirsonii
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Canbya candida
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Centromadia parryi ssp. australis
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Cercocarpus betuloides var.
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Chorizanthe parryi var.
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Chorizanthe parryi var. parryi
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Deinandra minthornii
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Deinandra paniculata
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Delphinium parryi ssp.
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Diplacus johnstonii
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Dodecahema leptoceras
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Harpagonella palmeri
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Helianthus inexpectatus
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Heuchera caespitosa
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Hordeum intercedens
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Horkelia cuneata var. puberula
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Hulsea vestita ssp. gabrielensis
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Juglans californica
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Juncus acutus ssp. leopoldii
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Lepechinia fragrans
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Lepechinia rossii
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Lepidium virginicum var.
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Lilium humboldtii ssp. ocellatum
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Lupinus paynei
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Malacothamnus davidsonii
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Monardella exilis
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Mucronea californica
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Navarretia fossalis
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Navarretia setiloba
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Opuntia basilaris var.
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Orcuttia californica
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Phacelia mohavensis
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Quercus durata var. gabrielensis
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Senecio aphanactis
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Streptanthus campestris
zips/2025041248/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Lost Canyon 2A-Sand Canyon GW Treatment Public Review Draft IS-MND_reduced.PDF:Symphyotrichum greatae
