zips/2025120652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study MND - Parkville.PDF:by valley oak (Quercus lobata). The shrub layer consists of fragrant sumac (Rhus aromatica),
zips/2025120652/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Initial Study MND - Parkville.PDF:Baker’s navarretia (Navarretia leucocephala ssp. bakeri)—CNPS rank 1B.1
zips/2025120701/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P25-01774 P25-01778 Granite Park PACE Facility ISMND_OCR.PDF:(Imperata brevifolia)
zips/2025120701/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P25-01774 P25-01778 Granite Park PACE Facility ISMND_OCR.PDF:(Orcuttia inaequalis)
zips/2025120701/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P25-01774 P25-01778 Granite Park PACE Facility ISMND_OCR.PDF:(Sagittaria sanfordii)
zips/2025120701/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P25-01774 P25-01778 Granite Park PACE Facility ISMND_OCR.PDF:(Castilleja campestris
zips/2025120701/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P25-01774 P25-01778 Granite Park PACE Facility ISMND_OCR.PDF:Caulanthus californicus
zips/2025120701/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P25-01774 P25-01778 Granite Park PACE Facility ISMND_OCR.PDF:Imperata brevifolia
zips/2025120701/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P25-01774 P25-01778 Granite Park PACE Facility ISMND_OCR.PDF:Tuctoria greenei
zips/2025120701/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P25-01774 P25-01778 Granite Park PACE Facility ISMND_OCR.PDF:Leptosiphon serrulatus
zips/2025120701/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P25-01774 P25-01778 Granite Park PACE Facility ISMND_OCR.PDF:Orcuttia inaequalis
zips/2025120701/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P25-01774 P25-01778 Granite Park PACE Facility ISMND_OCR.PDF:Sagittaria sanfordii
zips/2025120701/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P25-01774 P25-01778 Granite Park PACE Facility ISMND_OCR.PDF:Castilleja campestris var. succulenta
zips/2025120701/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P25-01774 P25-01778 Granite Park PACE Facility ISMND_OCR.PDF:Fleshy Owl's-clover Castilleja campestris ssp. succulenta
zips/2025120701/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/P25-01774 P25-01778 Granite Park PACE Facility ISMND_OCR.PDF:San Joaquin Valley Orcutt Grass Orcuttia inaequalis
zips/2025120702/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ontario Utilities MP Initial Study.PDF:many-stemmed dudleya (Dudleya multicaulis; CRPR 1B.2)
zips/2025120702/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ontario Utilities MP Initial Study.PDF:ocellated Humboldt lily (Lilium humboldtii ssp. ocellatum; CRPR 4.2)
zips/2025120702/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ontario Utilities MP Initial Study.PDF:intermediate mariposa lily (Calochortus weedii var. intermedius; CRPR 1B.2)
zips/2025120702/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ontario Utilities MP Initial Study.PDF:Many-stemmed dudleya (Dudleya multicaulis) is a CNPS Rank 1B.2 species that typically occurs on
zips/2025120702/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ontario Utilities MP Initial Study.PDF:Ocellated Humboldt lily (Lilium humboldtii ssp. ocellatum) is a CNPS Rank 4.2 species typically found
zips/2025120702/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ontario Utilities MP Initial Study.PDF:Intermediate mariposa lily (Calochortus weedii var. intermedius) is a CNPS Rank 1B.2 species typically
zips/2025120702/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ontario Utilities MP Initial Study-Appendices.PDF:Ambrosia pumila
zips/2025120702/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ontario Utilities MP Initial Study-Appendices.PDF:Berberis nevinii
zips/2025120702/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ontario Utilities MP Initial Study-Appendices.PDF:Brodiaea filifolia
zips/2025120702/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ontario Utilities MP Initial Study-Appendices.PDF:Abronia villosa
zips/2025120702/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ontario Utilities MP Initial Study-Appendices.PDF:Allium marvinii
zips/2025120702/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ontario Utilities MP Initial Study-Appendices.PDF:Aphyllon validum
zips/2025120702/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ontario Utilities MP Initial Study-Appendices.PDF:Atriplex coulteri
zips/2025120702/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ontario Utilities MP Initial Study-Appendices.PDF:Calystegia felix
zips/2025120702/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ontario Utilities MP Initial Study-Appendices.PDF:Chorizanthe xanti
zips/2025120702/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ontario Utilities MP Initial Study-Appendices.PDF:Galium jepsonii
zips/2025120702/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ontario Utilities MP Initial Study-Appendices.PDF:Galium johnstonii
zips/2025120702/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ontario Utilities MP Initial Study-Appendices.PDF:Horkelia cuneata
zips/2025120702/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ontario Utilities MP Initial Study-Appendices.PDF:Juncus acutus ssp.
zips/2025120702/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ontario Utilities MP Initial Study-Appendices.PDF:(=Juncus acutus
zips/2025120702/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ontario Utilities MP Initial Study-Appendices.PDF:Juncus duranii
zips/2025120702/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ontario Utilities MP Initial Study-Appendices.PDF:Lilium humboldtii
zips/2025120702/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ontario Utilities MP Initial Study-Appendices.PDF:Lilium parryi
zips/2025120702/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ontario Utilities MP Initial Study-Appendices.PDF:(=Lilium parryi
zips/2025120702/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ontario Utilities MP Initial Study-Appendices.PDF:Lycium parishii
zips/2025120702/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ontario Utilities MP Initial Study-Appendices.PDF:Opuntia basilaris
zips/2025120702/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ontario Utilities MP Initial Study-Appendices.PDF:Oreonana vestita
zips/2025120702/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ontario Utilities MP Initial Study-Appendices.PDF:Phacelia stellaris
zips/2025120702/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ontario Utilities MP Initial Study-Appendices.PDF:Quercus durata
zips/2025120702/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ontario Utilities MP Initial Study-Appendices.PDF:Romneya coulteri
zips/2025120702/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ontario Utilities MP Initial Study-Appendices.PDF:Viola pinetorum
