zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:yumanensis); and eleven plants: Sierra arching sedge (Carex cyrtostachya), Stebbin's phacelia (Phace/ia
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:stebbinsii), Sierra blue grass (Poa sierrae), Oval-leaved viburnum (Viburnum ellipticum), True's
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:manzanita (Arctostaphylos mewukka ssp. truei), Brandegee's clarkia (C/arkia biloba ssp. brandegeeae),
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Sierra clarkia (Clarkia virgata), Northern Sierra daisy (Erigeron petrophilus var. sierrensis), Humboldt's
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:lily (Lilium humboldtii ssp. humbo/dtii), Sierra sweet bay (Myrica hartwegii), and Long-fruited
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:jewelflower (Streptanthus longisiliquus). See pages 21-27 for more details .
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Streptanthus longisiliquus
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Stebbin's phacelia (Phacelia stebbinsii)
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Sierra blue grass (Poa sierrae)
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Oval-leaved viburnum (Viburnum ellipticum)
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Brandegee's clarkia (Clarkia biloba ssp. brandageeae)
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Sierra clarkia ( Clarkia virgata)
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Northern Sierra daisy (Erigeron petrophilus var. sierrensis)
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Humboldt's lily (Lilium humboldtii ssp. humboldti,)
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Long-fruited jewelflower (Streptanthus longisiliquus)
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Arctostaphylos nissenana
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Calochortus clavatus var. avius
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Carex cyrtostachya
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Calystegia vanzuukiae
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Chlorogalum grandiflorum
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:■ Clarkia biloba ssp. brandegeeae
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:■ Poa sierrae
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Rhynchospora capitellata
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:■ Horkelia parryi
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Arctostaphylos nissenana
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Clarkia biloba~brandegeeae
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Clarkia virgata
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Phacelia stebbinsii
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Arctostaphylos mewukka ssp. truei
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Clarkia biloba ssp. brandegeeae
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Clarkia virgata
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Claytonia parviflora ssp. grandiflora
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Delphinium hansenii ssp. ewanianum
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Erigeron petrophilus var. sierrensis
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Eriogonum tripodum
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Githopsis pulchella ssp. serpentinicola
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Horkelia parryi
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Jensia yosemitana
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Juncus digitatus
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Lilium humboldtii ssp. humboldtii
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Myrica hartwegii
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Navarretia prolifera ssp. lutea
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Peltigera gowardii
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Phacelia stebbinsii
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Poa sierrae
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Rhynchospora capitellata
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Streptanthus longisiliquus
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Viburnum ellipticum
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Hosackia oblongifolia Bcnth. var. oblongifolia,
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Iris hartwegii Baker subsp. hartwegii Sierra iris
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Chlorogalum pomeridianum (DC.) Kunth var.
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Hosackia oblongifolia Benth. var. oblo11gifolia,
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Iris hartwegii Baker subsp. hartwegii Sierra iris
zips/2024090764/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT Mitigated Negative Declaration and Initial Study Z21-0010 WAC21-0003.PDF:Chlorogalum pomeridianum (DC.) Kunth
