zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:(Ceanothus cuneatus). These woodlands play a crucial role in erosion control, water
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Fritillaria eastwoodiae
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Calystegia stebbinsii
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:(Ceanothus cuneatus). These woodlands play a crucial role in erosion control, water
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:(Ceanothus roderickii)
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:(Calystegia stebbinsii)
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Pine Hill Ceanothus Ceanothus roderickii
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Stebbins' Morning-glory Calystegia stebbinsii
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Balsamorhiza macrolepis
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Crocanthemum suffrutescens
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Clarkia biloba ssp. brandegeeae
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Rhynchospora capitellata
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Fritillaria eastwoodiae
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Carex xerophila
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Galium californicum ssp. sierrae
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Allium jepsonii
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Packera layneae
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Arctostaphylos nissenana
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Viburnum ellipticum
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Horkelia parryi
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Ceanothus roderickii
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Fremontodendron decumbens
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Chlorogalum grandiflorum
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Sagittaria sanfordii
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Carex cyrtostachya
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Poa sierrae
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Calystegia stebbinsii
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Calystegia vanzuukiae
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Brandegee's Clarkia biloba ssp. Onagraceae
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Carex xerophila
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Iris longipetala
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Allium sanbornii
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Lilium humboldtii
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Allium jepsonii
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Packera layneae
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Horkelia parryi
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Allium sanbornii
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Sagittaria sanfordii Alismataceae
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Githopsis pulchella Campanulaceae annual herb
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Carex cyrtostachya Cyperaceae
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Poa sierrae
zips/2025021136/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/3242_El_Dorado_Henningsen_Trail_ISMND_Draft_2025_0220.PDF:Sierra clarkia Clarkia virgata
zips/2025021131/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ukiah Municipal Well Project - Public Draft IS-MND.PDF:Grimmia torenii
zips/2025021131/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ukiah Municipal Well Project - Public Draft IS-MND.PDF:Limnanthes bakeri
zips/2025021131/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ukiah Municipal Well Project - Public Draft IS-MND.PDF:Lasthenia burkei
zips/2025021131/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ukiah Municipal Well Project - Public Draft IS-MND.PDF:Lasthenia burkei
zips/2025021131/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ukiah Municipal Well Project - Public Draft IS-MND.PDF:Lupinus constancei
zips/2025021131/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ukiah Municipal Well Project - Public Draft IS-MND.PDF:Malacothamnus hallii
zips/2025021131/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ukiah Municipal Well Project - Public Draft IS-MND.PDF:Navarretia leucocephala
zips/2025021131/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ukiah Municipal Well Project - Public Draft IS-MND.PDF:Pleuropogon hooverianus
zips/2025021131/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ukiah Municipal Well Project - Public Draft IS-MND.PDF:Trifolium amoenum
zips/2025021131/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ukiah Municipal Well Project - Public Draft IS-MND.PDF:Arctostaphylos stanfordiana ssp. raichei
zips/2025021131/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ukiah Municipal Well Project - Public Draft IS-MND.PDF:Grimmia torenii
zips/2025021131/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ukiah Municipal Well Project - Public Draft IS-MND.PDF:Lasthenia burkei
zips/2025021131/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ukiah Municipal Well Project - Public Draft IS-MND.PDF:Limnanthes bakeri
zips/2025021131/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ukiah Municipal Well Project - Public Draft IS-MND.PDF:Malacothamnus mendocinensis
zips/2025021131/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ukiah Municipal Well Project - Public Draft IS-MND.PDF:Navarretia leucocephala ssp. bakeri
zips/2025021131/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ukiah Municipal Well Project - Public Draft IS-MND.PDF:Pleuropogon hooverianus
zips/2025021131/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ukiah Municipal Well Project - Public Draft IS-MND.PDF:Burke's Goldfields Lasthenia burkei
zips/2025021131/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ukiah Municipal Well Project - Public Draft IS-MND.PDF:Contra Costa Goldfields Lasthenia conjugens
zips/2025021131/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ukiah Municipal Well Project - Public Draft IS-MND.PDF:Lassics Lupine Lupinus constancei
zips/2025021131/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ukiah Municipal Well Project - Public Draft IS-MND.PDF:Showy Indian Clover Trifolium amoenum
zips/2025021130/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CAWP Transmission Main Improvements and Tank D Replacement_Draft.PDF:Sanborn’s onion (Allium sanbornii var. sanbornii) is not listed pursuant to either the federal or California
zips/2025021130/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CAWP Transmission Main Improvements and Tank D Replacement_Draft.PDF:Three-bracted onion (Allium tribracteatum) is not listed pursuant to either the federal or California ESAs,
zips/2025021130/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CAWP Transmission Main Improvements and Tank D Replacement_Draft.PDF:Pleasant Valley mariposa-lily (Calochortus clavatus var. avius) is not listed pursuant to either the federal or
zips/2025021130/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CAWP Transmission Main Improvements and Tank D Replacement_Draft.PDF:Fresno ceanothus (Ceanothus fresnensis) is not listed pursuant to either the federal or California ESAs, but
zips/2025021130/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CAWP Transmission Main Improvements and Tank D Replacement_Draft.PDF:Red Hills soaproot (Chlorogalum grandiflorum) is not listed pursuant to either the federal or California
zips/2025021130/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CAWP Transmission Main Improvements and Tank D Replacement_Draft.PDF:Brandegee’s clarkia (Clarkia biloba ssp. brandegeeae) is not listed pursuant to either the federal or
zips/2025021130/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CAWP Transmission Main Improvements and Tank D Replacement_Draft.PDF:Sierra clarkia (Clarkia virgata) is not listed pursuant to either the federal or California ESAs, but is
zips/2025021130/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CAWP Transmission Main Improvements and Tank D Replacement_Draft.PDF:Tansy-flowered woolly sunflower (Eriophyllum confertiflorum var. tanacetiflorum) is not listed pursuant to
zips/2025021130/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CAWP Transmission Main Improvements and Tank D Replacement_Draft.PDF:Humboldt lily (Lilium humboldtii ssp. humboldtii) is not listed pursuant to either the federal or California
zips/2025021083/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Creston Rd over QuailCreek Bridge Replacement ISMND and NOI.PDF:prefer. Additionally, only one of these species, Lemmon's jewelflower (Caulanthus lemmonii) has a CNDDB
zips/2025021081/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ione Reliability Capacity and Piping Project_Draft.PDF:(Pinus sabiniana), common manzanita (Arctostaphylos manzanita), and valley oak (Quercus lobata) present
zips/2025021081/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ione Reliability Capacity and Piping Project_Draft.PDF:The interior live oak woodland most resembles the Quercus wislizeni – Quercus parvula (tree) Forest &
zips/2025021081/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ione Reliability Capacity and Piping Project_Draft.PDF:The disturbed interior live oak woodland most resembles the Quercus wislizeni – Quercus parvula (tree)
zips/2025021081/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ione Reliability Capacity and Piping Project_Draft.PDF:Brassy bryum (Bryum chryseum) is not listed pursuant to either the federal or California ESAs, but is
zips/2025021081/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ione Reliability Capacity and Piping Project_Draft.PDF:Stanislaus monkeyflower (Erythranthe marmorata) is not listed pursuant to either the federal or California
zips/2025021081/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ione Reliability Capacity and Piping Project_Draft.PDF:Sanford’s arrowhead (Sagittaria sanfordii) is not listed pursuant to the federal or California ESAs, but is
zips/2025021045/Final Document(s) [Approved_Certified draft environmental documents]/Appendix B - Biological Report - OCR.PDF:(Opuntia basilaris var.
zips/2025021045/Final Document(s) [Approved_Certified draft environmental documents]/Appendix B - Biological Report - OCR.PDF:(Eremothera boothii ssp.
zips/2025021045/Final Document(s) [Approved_Certified draft environmental documents]/Appendix B - Biological Report - OCR.PDF:(Canbya candida)
zips/2022100515/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Revised Initial Study with Attachments - PLN2022-00068 - Peter's Creek Bridge_fcm.PDF:Arctostaphylos glutinosa
zips/2022100515/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Revised Initial Study with Attachments - PLN2022-00068 - Peter's Creek Bridge_fcm.PDF:Arctostaphylos ohloneana
zips/2022100515/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Revised Initial Study with Attachments - PLN2022-00068 - Peter's Creek Bridge_fcm.PDF:Arctostaphylos regismontana
zips/2022100515/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Revised Initial Study with Attachments - PLN2022-00068 - Peter's Creek Bridge_fcm.PDF:Arctostaphylos andersonii
zips/2022100515/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Revised Initial Study with Attachments - PLN2022-00068 - Peter's Creek Bridge_fcm.PDF:Anomobryum julaceum
zips/2022100515/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Revised Initial Study with Attachments - PLN2022-00068 - Peter's Creek Bridge_fcm.PDF:Calyptridium parryi var. hesseae
zips/2022100515/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Revised Initial Study with Attachments - PLN2022-00068 - Peter's Creek Bridge_fcm.PDF:Astragalus pycnostachyus var.
zips/2022100515/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Revised Initial Study with Attachments - PLN2022-00068 - Peter's Creek Bridge_fcm.PDF:Arctostaphylos silvicola
zips/2022100515/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Revised Initial Study with Attachments - PLN2022-00068 - Peter's Creek Bridge_fcm.PDF:Dirca occidentalis
zips/2022100515/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Revised Initial Study with Attachments - PLN2022-00068 - Peter's Creek Bridge_fcm.PDF:Clarkia concinna ssp. automixa
zips/2022100515/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Revised Initial Study with Attachments - PLN2022-00068 - Peter's Creek Bridge_fcm.PDF:Cirsium andrewsii
zips/2022100515/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Revised Initial Study with Attachments - PLN2022-00068 - Peter's Creek Bridge_fcm.PDF:Chorizanthe pungens var. hartwegiana
zips/2022100515/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Revised Initial Study with Attachments - PLN2022-00068 - Peter's Creek Bridge_fcm.PDF:Hesperevax sparsiflora var. brevifolia
zips/2022100515/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Revised Initial Study with Attachments - PLN2022-00068 - Peter's Creek Bridge_fcm.PDF:Grimmia vaginulata
zips/2022100515/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Revised Initial Study with Attachments - PLN2022-00068 - Peter's Creek Bridge_fcm.PDF:Grimmia torenii
zips/2022100515/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Revised Initial Study with Attachments - PLN2022-00068 - Peter's Creek Bridge_fcm.PDF:Fritillaria liliacea
zips/2022100515/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Revised Initial Study with Attachments - PLN2022-00068 - Peter's Creek Bridge_fcm.PDF:Fissidens pauperculus
zips/2022100515/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Revised Initial Study with Attachments - PLN2022-00068 - Peter's Creek Bridge_fcm.PDF:Erysimum ammophilum
zips/2022100515/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Revised Initial Study with Attachments - PLN2022-00068 - Peter's Creek Bridge_fcm.PDF:Eriophyllum latilobum
zips/2022100515/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Revised Initial Study with Attachments - PLN2022-00068 - Peter's Creek Bridge_fcm.PDF:Monolopia gracilens
zips/2022100515/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Revised Initial Study with Attachments - PLN2022-00068 - Peter's Creek Bridge_fcm.PDF:Malacothamnus arcuatus
zips/2022100515/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Revised Initial Study with Attachments - PLN2022-00068 - Peter's Creek Bridge_fcm.PDF:Limnanthes douglasii ssp. sulphurea
zips/2022100515/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Revised Initial Study with Attachments - PLN2022-00068 - Peter's Creek Bridge_fcm.PDF:Pinus radiata
zips/2022100515/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Revised Initial Study with Attachments - PLN2022-00068 - Peter's Creek Bridge_fcm.PDF:Pentachaeta bellidiflora
zips/2022100515/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Revised Initial Study with Attachments - PLN2022-00068 - Peter's Creek Bridge_fcm.PDF:Penstemon rattanii var. kleei
zips/2022100515/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Revised Initial Study with Attachments - PLN2022-00068 - Peter's Creek Bridge_fcm.PDF:Pedicularis dudleyi
zips/2022100515/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Revised Initial Study with Attachments - PLN2022-00068 - Peter's Creek Bridge_fcm.PDF:Orthotrichum kellmanii
zips/2022100515/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Revised Initial Study with Attachments - PLN2022-00068 - Peter's Creek Bridge_fcm.PDF:Silene scouleri ssp. scouleri
zips/2022100515/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Revised Initial Study with Attachments - PLN2022-00068 - Peter's Creek Bridge_fcm.PDF:Senecio aphanactis
zips/2022100515/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Revised Initial Study with Attachments - PLN2022-00068 - Peter's Creek Bridge_fcm.PDF:Plagiobothrys chorisianus var. chorisianus
zips/2022100515/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Revised Initial Study with Attachments - PLN2022-00068 - Peter's Creek Bridge_fcm.PDF:Usnea longissima
zips/2022100515/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Revised Initial Study with Attachments - PLN2022-00068 - Peter's Creek Bridge_fcm.PDF:Trifolium polyodon
zips/2022100515/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Revised Initial Study with Attachments - PLN2022-00068 - Peter's Creek Bridge_fcm.PDF:Trifolium buckwestiorum
zips/2022100515/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Revised Initial Study with Attachments - PLN2022-00068 - Peter's Creek Bridge_fcm.PDF:Stebbinsoseris decipiens
zips/2022100515/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Revised Initial Study with Attachments - PLN2022-00068 - Peter's Creek Bridge_fcm.PDF:Stuckenia filiformis ssp. alpina
zips/2022100515/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Revised Initial Study with Attachments - PLN2022-00068 - Peter's Creek Bridge_fcm.PDF:Dudley’s lousewort (Pedicularis dudleyi), and white-flowered rein orchid (Piperia candida) - in
zips/2022100515/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Revised Initial Study with Attachments - PLN2022-00068 - Peter's Creek Bridge_fcm.PDF:Nemophila parviflora
zips/2022100515/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Revised Initial Study with Attachments - PLN2022-00068 - Peter's Creek Bridge_fcm.PDF:Rosa gymnocarpa
