zips/2026010903/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Ellis Lake Enhancement Project.PDF:Astragalus tener var. ferrisiae
zips/2026010903/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Ellis Lake Enhancement Project.PDF:Delphinium recurvatum
zips/2026010903/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Ellis Lake Enhancement Project.PDF:Monardella venosa
zips/2026010903/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Ellis Lake Enhancement Project.PDF:Pseudobahia bahiifolia
zips/2026010903/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Ellis Lake Enhancement Project.PDF:Hartweg's Golden Sunburst Pseudobahia bahiifolia
zips/2026010903/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Ellis Lake Enhancement Project.PDF:Pinus radiata
zips/2026010903/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Ellis Lake Enhancement Project.PDF:Astragalus tener var.
zips/2026010903/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Ellis Lake Enhancement Project.PDF:Delphinium recurvatum
zips/2026010903/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Ellis Lake Enhancement Project.PDF:Monardella venosa
zips/2026010903/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND_Ellis Lake Enhancement Project.PDF:Pseudobahia bahiifolia
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Castilleja densiflora var. obispoensis
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Caulanthus lemmonii
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Chorizanthe pungens var. pungens
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Chorizanthe rectispina
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Clarkia jolonensis
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Collinsia antonina
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Collinsia multicolor
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Delphinium umbraculorum
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Entosthodon kochii
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Eriastrum luteum
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Eriogonum temblorense
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Erythranthe hardhamiae
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Horkelia cuneata var. sericea
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Juncus luciensis
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Lagophylla diabolensis
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Layia heterotricha
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Malacothamnus abbottii
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Malacothamnus aboriginum
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Malacothamnus davidsonii
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Navarretia nigelliformis ssp. radians
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Navarretia prostrata
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Nemacladus secundiflorus var. robbinsii
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Plagiobothrys uncinatus
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Stebbinsoseris decipiens
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Stylocline masonii
