zips/2025060727/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/App B_3CRA120300_Lynwood Park_Tree Rpt_090624.PDF:chrysolepis), Engelmann oak (Quercus engelmannii), California walnut (Juglans
zips/2025060728/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT MND Initial Study CDLP22-02069.PDF:to occur within or near the project site, including San Joaquin Spearscale (Extriplex joaquinana),
zips/2025060728/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT MND Initial Study CDLP22-02069.PDF:Wooly rose-mallow (Hibiscus lasiocarpos var. occidentalis), Large-flowered fiddleneck
zips/2025060728/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT MND Initial Study CDLP22-02069.PDF:(Amsinckia grandiflora), Delta tule pea (Lathyrus jepsonii var. jepsonii), Manson’s lilaepsis
zips/2025060728/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT MND Initial Study CDLP22-02069.PDF:(Lilaepsis masonii), Delta mudwort (Limosella australis), Suisun Marsh Aster (Symphotrichum
zips/2025060728/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT MND Initial Study CDLP22-02069.PDF:Large-flowered Fiddleneck Amsinckia grandiflora
zips/2025060728/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT MND Initial Study CDLP22-02069.PDF:Extriplex joaquinana
zips/2025060728/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT MND Initial Study CDLP22-02069.PDF:Fritillaria agrestis
zips/2025060728/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT MND Initial Study CDLP22-02069.PDF:Symphyotrichum lentum
zips/2025060728/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DRAFT MND Initial Study CDLP22-02069.PDF:Hibiscus lasiocarpos var. occidentalis
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:layia (Layia septentrionalis) observed in
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Amsinckia lunaris)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Brasenia schreberi)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Sidalcea oregana
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Fritillaria pluriflora)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Astragalus tener var. tener)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Lupinus antoninus)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Arctostaphylos bakeri ssp. bakeri)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Limnanthes bakeri)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Navarretia leucocephala ssp.
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Tracyina rostrata)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Amsinckia lunaris)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Balsamorhiza macrolepis)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Gratiola heterosepala)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Horkelia bolanderi)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Carex comosa)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Rhynchospora capitellata)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Lasthenia burkei)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Puccinellia simplex)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Rhynchospora californica)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Imperata brevifolia)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Ceanothus divergens)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Astragalus claranus)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Lupinus sericatus)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Layia septentrionalis)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Hemizonia congesta ssp.
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Hesperolinon drymarioides)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Downingia pusilla)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Chlorogalum pomeridianum
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Potamogeton zosteriformis)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Navarretia leucocephala ssp.
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Allium peninsulare
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Streptanthus brachiatus ssp. hoffmanii)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Hesperolinon adenophyllum)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Alisma gramineum)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Streptanthus hesperidis)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Erigeron greenei)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Harmonia hallii)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Streptanthus glandulosus
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Ceanothus purpureus)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Delphinium californicum
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Eryngium jepsonii)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Leptosiphon jepsonii)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Astragalus rattanii var. jepsonianus)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Sidalcea oregana ssp. valida)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Arctostaphylos manzanita ssp. elegans)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Streptanthus morrisonii ssp.
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Eryngium constancei)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Navarretia leucocephala spp. plieantha)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Sidalcea oregana
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Plagiobothrys lithocaryus)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Lupinus milo-bakeri)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Streptanthus morrisonii ssp. morrisonii)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Calystegia collina ssp. oxyphylla)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Trichostema ruygtii)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Sidalcea hickmanii ssp. napensis)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Amorpha californica var. napensis)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Brodiaea leptandra)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Pleuropogon hooverianus)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Carex praticola)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Potamogeton epihydrus)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Viburnum ellipticum)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Centromadia parryi
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Cordylanthus tenuis
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Cuscuta obtusiflora var.
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Castilleja rubicundula var. rubicundula)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Navarretia paradoxinota)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Arctostaphylos stanfordiana ssp.
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Ceanothus confusus)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Arctostaphylos stanfordiana
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Trifolium hydrophilum)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Extriplex joaquinana)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Horkelia tenuiloba)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Limnanthes vinculans)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Erigeron serpentinus)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Hesperolinon sharsmithiae)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Orcuttia tenuis)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Calycadenia micrantha)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Kopsiopsis hookeri)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Eriogonum nervulosum)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Streptanthus brachiatus ssp. brachiatus)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Penstemon newberryi var. sonomensis)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Ceanothus sonomensis)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Horkelia tenuiloba)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Calystegia collina ssp. tridactylosa)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Hesperolinon bicarpellatum)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Ceanothus foliosus var.
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Arctostaphylos densiflora)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Brasenia schreberi)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Rhynchospora alba)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Limnanthes floccosa ssp.
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Ramalina thrausta)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Triquetrella californica)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Mielichhoferia elongata)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Anomobryum julaceum)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:(Grimmia torenii)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 1 - PMP.PDF:Clarkia concinna
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Layia septentrionalis)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Amsinckia lunaris)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Brasenia schreberi)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Sidalcea oregana
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Fritillaria pluriflora)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Astragalus tener var. tener)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Lupinus antoninus)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Arctostaphylos bakeri ssp. bakeri)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Limnanthes bakeri)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Navarretia leucocephala ssp.
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Tracyina rostrata)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Amsinckia lunaris)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Balsamorhiza macrolepis)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Gratiola heterosepala)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Horkelia bolanderi)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Carex comosa)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Rhynchospora capitellata)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Lasthenia burkei)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Puccinellia simplex')
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Rhynchospora californica)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Imperata brevifolia)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Ceanothus divergens)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Astragalus claranus)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Lupinus sericatus)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Layia septentrionalis)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Hemizonia congesta ssp.
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Cryptantha excavata)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Hesperolinon drymarioides)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Chlorogalum pomeridianum
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Potamogeton zosteriformis)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Navarretia leucocephala ssp.
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Allium peninsulare
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Streptanthus brachiatus ssp. hoffmanii)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Hesperolinon adenophyllum)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Alisma gramineum)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Streptanthus hesperidis)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Erigeron greenei)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Harmonia hallii)
zips/2025060729/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 2 - Bio Assessment.PDF:(Streptanthus glandulosus spp.
