zips/2025040583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/00_NORSD WRRF Project_ISMND.PDF:A total of 3 plant species, Kern mallow (Eremalche parryi ssp. kernensis), Hoover’s eriastrum
zips/2025040583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/00_NORSD WRRF Project_ISMND.PDF:(Eriastrum hooveri), and Mexican mosquito fern (Azolla microphylla), and 12 wildlife species,
zips/2025040583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/00_NORSD WRRF Project_ISMND.PDF:Astragalus hornii var. hornii
zips/2025040583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/00_NORSD WRRF Project_ISMND.PDF:Lasthenia chrysantha
zips/2025040583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/00_NORSD WRRF Project_ISMND.PDF:Monolopia congdonii
zips/2025040583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/00_NORSD WRRF Project_ISMND.PDF:Stylocline citroleum
zips/2025040583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/00_NORSD WRRF Project_ISMND.PDF:Stylocline masonii
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:(Arctostaphylos manzanita ssp. manzanita and A. manzanita ssp. glaucescens). Understory herbaceous
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:(Anisocarpus madioides), milk maids (Cardamine californica), miner’s lettuce (Claytonia parviflora, C.
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:California man-root (Marah fabaceus), yarrow, yellow mariposa lily, clarkias (Clarkia amoena, C. affinis),
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Franciscan onion (Allium peninsulare var. franciscanum)
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Narrow-anthered brodiaea (Brodiaea leptandra)
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Hayfield Tarplant (Hemizonia congesta ssp. congesta)
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Broad-lobed leptosiphon (Leptosiphon latisectus)
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Jepson’s leptosiphon (Leptosiphon jepsonii)
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Green Monardella (Monardella viridis)
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Two-Fork Clover (Trifolium amoenum)
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Allium peninsulare var.
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Amorpha californica var.
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Arctostaphylos bakeri ssp.
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Amsinckia lunaris
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Arctostaphylos stanfordiana
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Astragalus claranus
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Astragalus clevelandii
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Astragalus tener var. tener
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Blennosperma bakeri
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Brodiaea leptandra
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Calandrinia breweri
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Ceanothus confusus
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Ceanothus divergens
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Calycadenia micrantha
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Castilleja ambigua var.
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Castilleja ambigua var.
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Ceanothus purpureus
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Ceanothus sonomensis
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Chorizanthe valida
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Clarkia breweri
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Clarkia gracilis ssp. tracyi
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Downingia pusilla
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Erigeron biolettii
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Erigeron greenei
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Eryngium jepsonii
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Harmonia nutans
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Hemizonia congesta ssp.
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Hesperolinon bicarpellatum
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Hesperolinon sharsmithiae
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Horkelia tenuiloba
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Lasthenia conjugens
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Lathyrus jepsonii var.
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Leptosiphon jepsonii
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Leptosiphon latisectus
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Lilium rubescens
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Limnanthes vinculans
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Lomatium repostum
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Lupinus sericatus
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Micropus amphibolus
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Monardella viridis
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Navarretia leucocephala ssp.
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Penstemon newberryi var.
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Ranunculus lobbii
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Sagittaria sanfordii
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Streptanthus hesperidis
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Symphyotrichum lentum
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Trifolium amoenum
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Trifolium hydrophilum
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Triteleia lugens
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Viburnum ellipticum
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Arctostaphylos manzanita ssp. glaucescens
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Arctostaphylos manzanita ssp. manzanita
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Ceanothus cuneatus
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Clarkia amoena
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Ribes divaricatum
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-1 - Habitat Assessment for Trust Vineyard Partners.PDF:Trillium ovatum
zips/2025040601/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND Exhibit B-2 - Arborist Survey-Inventory 11152018.PDF:(Umbellularia californica), and manzanita (Arctostaphylos manzanita); orchard
zips/2025040602/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - 40475 Vista Murrieta Rd_HA-MSHCP Report 04032025.PDF:Abronia villosa var. aurita
zips/2025040602/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - 40475 Vista Murrieta Rd_HA-MSHCP Report 04032025.PDF:Almutaster pauciflorus
zips/2025040602/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - 40475 Vista Murrieta Rd_HA-MSHCP Report 04032025.PDF:Amsinckia douglasiana
zips/2025040602/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - 40475 Vista Murrieta Rd_HA-MSHCP Report 04032025.PDF:Arctostaphylos rainbowensis
zips/2025040602/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - 40475 Vista Murrieta Rd_HA-MSHCP Report 04032025.PDF:Atriplex parishii
zips/2025040602/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - 40475 Vista Murrieta Rd_HA-MSHCP Report 04032025.PDF:Brodiaea santarosae
zips/2025040602/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - 40475 Vista Murrieta Rd_HA-MSHCP Report 04032025.PDF:Calochortus catalinae
zips/2025040602/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - 40475 Vista Murrieta Rd_HA-MSHCP Report 04032025.PDF:Calochortus weedii var.
zips/2025040602/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - 40475 Vista Murrieta Rd_HA-MSHCP Report 04032025.PDF:Centromadia pungens ssp.
zips/2025040602/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - 40475 Vista Murrieta Rd_HA-MSHCP Report 04032025.PDF:Chorizanthe parryi var. parryi
zips/2025040602/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - 40475 Vista Murrieta Rd_HA-MSHCP Report 04032025.PDF:Chorizanthe polygonoides var.
zips/2025040602/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - 40475 Vista Murrieta Rd_HA-MSHCP Report 04032025.PDF:Clinopodium chandleri
zips/2025040602/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - 40475 Vista Murrieta Rd_HA-MSHCP Report 04032025.PDF:Convolvulus simulans
zips/2025040602/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - 40475 Vista Murrieta Rd_HA-MSHCP Report 04032025.PDF:Deinandra paniculata
zips/2025040602/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - 40475 Vista Murrieta Rd_HA-MSHCP Report 04032025.PDF:Eryngium aristulatum var.
zips/2025040602/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - 40475 Vista Murrieta Rd_HA-MSHCP Report 04032025.PDF:Erythranthe diffusa
zips/2025040602/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - 40475 Vista Murrieta Rd_HA-MSHCP Report 04032025.PDF:Harpagonella palmeri
zips/2025040602/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - 40475 Vista Murrieta Rd_HA-MSHCP Report 04032025.PDF:Holocarpha virgata ssp.
zips/2025040602/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - 40475 Vista Murrieta Rd_HA-MSHCP Report 04032025.PDF:Hordeum intercedens
zips/2025040602/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - 40475 Vista Murrieta Rd_HA-MSHCP Report 04032025.PDF:Juglans californica
zips/2025040602/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - 40475 Vista Murrieta Rd_HA-MSHCP Report 04032025.PDF:Juncus acutus ssp. leopoldii
zips/2025040602/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - 40475 Vista Murrieta Rd_HA-MSHCP Report 04032025.PDF:Juncus luciensis
zips/2025040602/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - 40475 Vista Murrieta Rd_HA-MSHCP Report 04032025.PDF:Lasthenia glabrata ssp. coulteri
zips/2025040602/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - 40475 Vista Murrieta Rd_HA-MSHCP Report 04032025.PDF:Lathyrus splendens
zips/2025040602/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - 40475 Vista Murrieta Rd_HA-MSHCP Report 04032025.PDF:Lepidium virginicum var.
zips/2025040602/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - 40475 Vista Murrieta Rd_HA-MSHCP Report 04032025.PDF:Microseris douglasii ssp.
zips/2025040602/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - 40475 Vista Murrieta Rd_HA-MSHCP Report 04032025.PDF:Myosurus minimus ssp. apus
zips/2025040602/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - 40475 Vista Murrieta Rd_HA-MSHCP Report 04032025.PDF:Navarretia fossalis
zips/2025040602/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - 40475 Vista Murrieta Rd_HA-MSHCP Report 04032025.PDF:Navarretia prostrata
zips/2025040602/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - 40475 Vista Murrieta Rd_HA-MSHCP Report 04032025.PDF:Orcuttia californica
zips/2025040602/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - 40475 Vista Murrieta Rd_HA-MSHCP Report 04032025.PDF:Quercus engelmannii
zips/2025040602/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - 40475 Vista Murrieta Rd_HA-MSHCP Report 04032025.PDF:Symphyotrichum defoliatum
zips/2025040602/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Viscar Arborist Report-Revised 04-02-2024.PDF:Juglans californica
