zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-1_Species Compendium.PDF:Hosackia crassifolia – big deervetch
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Brodiaea filifolia
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Canbya candida
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Carex comosa
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Castilleja cinerea
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Chorizanthe xanti
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Cuscuta obtusiflora
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Dudleya abramsii
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Eremogone ursina
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Chorizanthe parryi
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Eremothera boothii
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Erigeron parishii
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Erythranthe exigua
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Frasera neglecta
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Fritillaria pinetorum
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Galium johnstonii
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Helianthus nuttallii
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Heuchera abramsii
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Heuchera parishii
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Horkelia cuneata
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Imperata brevifolia
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Ivesia argyrocoma
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Juglans californica
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Lilium humboldtii
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Lilium parryi
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Lupinus elatus
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Hulsea vestita ssp.
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Juncus duranii
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Monardella exilis
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Monardella pringlei
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Muilla coronata
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Lycium parishii
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Opuntia basilaris
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Packera bernardina
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Packera ionophylla
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Pentachaeta aurea
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Perideridia parishii
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Phlox dolichantha
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Ribes divaricatum
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Rupertia rigida
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Saltugilia latimeri
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Phacelia exilis
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Schoenus nigricans
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Selaginella asprella
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Senecio aphanactis
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Sidalcea hickmanii
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Sidalcea malviflora
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-2_PTO Tables.PDF:Sidalcea pedata
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B-4_ARDR.PDF:lodgepole pine (Pinus contorta, FAC), Coulter pine (Pinus coulteri, NL), Jeffery pine (Pinus jeffreyi, NL), sugar pine
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Two-Mile Groundwater Wells Project Public Review Draft MND.PDF:Astragalus leucolobus
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Two-Mile Groundwater Wells Project Public Review Draft MND.PDF:Calochortus palmeri var. palmeri
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Two-Mile Groundwater Wells Project Public Review Draft MND.PDF:Castilleja lasiorhyncha
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Two-Mile Groundwater Wells Project Public Review Draft MND.PDF:Lilium parryi
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Two-Mile Groundwater Wells Project Public Review Draft MND.PDF:Monardella macrantha ssp. hallii
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Two-Mile Groundwater Wells Project Public Review Draft MND.PDF:Navarretia peninsularis
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Two-Mile Groundwater Wells Project Public Review Draft MND.PDF:Perideridia parishii ssp. parishii
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Two-Mile Groundwater Wells Project Public Review Draft MND.PDF:Scutellaria bolanderi ssp.
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Two-Mile Groundwater Wells Project Public Review Draft MND.PDF:Sidalcea hickmanii ssp. parishii
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Two-Mile Groundwater Wells Project Public Review Draft MND.PDF:Sidalcea malviflora ssp. dolosa
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Two-Mile Groundwater Wells Project Public Review Draft MND.PDF:Sphenopholis obtusata
zips/2026021040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Two-Mile Groundwater Wells Project Public Review Draft MND.PDF:Symphyotrichum defoliatum
zips/2026021042/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IID_RHB_BACM Initial Study.PDF:are known to occur in the region surrounding the Project site (within 10 miles): Harwood’s milkvetch (Astragalus insularis var. harwoodii), gravel milk-vetch (Astragalus sabulonum), and mud
zips/2026021042/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IID_RHB_BACM Initial Study.PDF:nama (Nama stenocarpa). All three plants are California Rare Plant Rank 2B.2 - plants presumed
