zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Abronia maritima
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Horkelia cuneata var.
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Isocoma menziesii var.
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Juglans californica
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Lasthenia glabrata ssp.
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Lepidium virginicum var.
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Lycium californicum
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Malacothrix saxatilis var.
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Nama stenocarpa
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Nasturtium gambelii
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Navarretia prostrata
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Nemacaulis denudata var.
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Pentachaeta aurea ssp.
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Phacelia ramosissima var.
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Phacelia stellaris
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Quercus dumosa
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Senecio aphanactis
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Sidalcea neomexicana
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Suaeda esteroa
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Suaeda taxifolia
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Symphyotrichum defoliatum
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Verbesina dissita
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Selaginella cinerascens
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Calochortus catalinae
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Calochortus weedii var.
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Eleocharis parvula
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Hordeum intercedens
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Juncus acutus ssp. leopoldii
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Lilium humboldtii ssp.
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Nolina cismontana
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Orcuttia californica
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Supporting Information COMBINED (1).PDF:Sagittaria sanfordii
zips/2025050135/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Costa Mesa Bear Street Residential Project ISMND.PDF:including Cupressus macrocarpa, Pinus radiata, Pinus muricata, Pinus remorata, and Quercus
zips/2025050138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND-EA Barona Pipelines - Volume 1.PDF:(Acanthomintha ilicifolia)
zips/2025050138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND-EA Barona Pipelines - Volume 1.PDF:Engelmann oak (Quercus engelmannii)
zips/2025050138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND-EA Barona Pipelines - Volume 1.PDF:Felt-leaved monardella (Monardella hypoleuca ssp. lanata)
zips/2025050138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND-EA Barona Pipelines - Volume 1.PDF:Gander’s ragwort (Packera ganderi)
zips/2025050138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND-EA Barona Pipelines - Volume 1.PDF:Lakeside ceanothus (Ceanothus cyaneus)
zips/2025050138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND-EA Barona Pipelines - Volume 1.PDF:Long-spined spineflower (Chorizanthe polygonoides var. longispina)
zips/2025050138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND-EA Barona Pipelines - Volume 1.PDF:Mission Canyon bluecup (Githopsis diffusa ssp. filicaulis)
zips/2025050138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND-EA Barona Pipelines - Volume 1.PDF:Moreno currant (Ribes canthariforme)
zips/2025050138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND-EA Barona Pipelines - Volume 1.PDF:Orcutt’s brodiaea (Brodiaea orcuttii)
zips/2025050138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND-EA Barona Pipelines - Volume 1.PDF:Parry’s tetracoccus (Tetracoccus dioicus)
zips/2025050138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND-EA Barona Pipelines - Volume 1.PDF:Ramona horkelia (Horkelia truncata)
zips/2025050138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND-EA Barona Pipelines - Volume 1.PDF:San Diego milk-vetch (Astragalus oocarpus)
zips/2025050138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND-EA Barona Pipelines - Volume 1.PDF:San Diego sagewort (Artemisia palmeri)
zips/2025050138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND-EA Barona Pipelines - Volume 1.PDF:San Diego thorn-mint (Acanthomintha ilicifolia)
zips/2025050138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND-EA Barona Pipelines - Volume 1.PDF:San Miguel savory (Clinopodium chandleri)
zips/2025050138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND-EA Barona Pipelines - Volume 1.PDF:Yucaipa onion (Allium marvinii)
zips/2025050138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND-EA Barona Pipelines - Volume 1.PDF:Engelmann Oak (Quercus engelmannii): Thirty-three Engelmann oaks were observed
zips/2025050138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND-EA Barona Pipelines - Volume 1.PDF:Parry’s Tetracoccus (Tetracoccus dioicus): Parry’s tetracoccus is a perennial shrub that
zips/2025050138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND-EA Barona Pipelines - Volume 1.PDF:San Diego Sagewort (Artemisia palmeri): Was not observed, but suitable habitat is
zips/2025050138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND-EA Barona Pipelines - Volume 1.PDF:San Miguel Savory (Clinopodium chandleri): Was not observed, but suitable habitat is
zips/2025050138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND-EA Barona Pipelines - Volume 2A Appendices.PDF:listed below. The only federal-listed species is San Diego thorn-mint (Acanthomintha ilicifolia).
zips/2025050138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND-EA Barona Pipelines - Volume 2A Appendices.PDF:Engelmann oak (Quercus engelmannii)
zips/2025050138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND-EA Barona Pipelines - Volume 2A Appendices.PDF:Felt-leaved monardella (Monardella hypoleuca ssp. lanata)
zips/2025050138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND-EA Barona Pipelines - Volume 2A Appendices.PDF:Gander’s ragwort (Packera ganderi)
zips/2025050138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND-EA Barona Pipelines - Volume 2A Appendices.PDF:Lakeside ceanothus (Ceanothus cyaneus)
zips/2025050138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND-EA Barona Pipelines - Volume 2A Appendices.PDF:Long-spined spineflower (Chorizanthe polygonoides var. longispina)
zips/2025050138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND-EA Barona Pipelines - Volume 2A Appendices.PDF:Mission Canyon bluecup (Githopsis diffusa ssp. filicaulis)
zips/2025050138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND-EA Barona Pipelines - Volume 2A Appendices.PDF:Moreno currant (Ribes canthariforme)
zips/2025050138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND-EA Barona Pipelines - Volume 2A Appendices.PDF:Orcutt’s brodiaea (Brodiaea orcuttii)
zips/2025050138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND-EA Barona Pipelines - Volume 2A Appendices.PDF:Parry’s tetracoccus (Tetracoccus dioicus)
zips/2025050138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND-EA Barona Pipelines - Volume 2A Appendices.PDF:Ramona horkelia (Horkelia truncata)
zips/2025050138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND-EA Barona Pipelines - Volume 2A Appendices.PDF:San Diego milk-vetch (Astragalus oocarpus)
zips/2025050138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND-EA Barona Pipelines - Volume 2A Appendices.PDF:San Diego sagewort (Artemisia palmeri)
zips/2025050138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND-EA Barona Pipelines - Volume 2A Appendices.PDF:San Diego thorn-mint (Acanthomintha ilicifolia)
zips/2025050138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND-EA Barona Pipelines - Volume 2A Appendices.PDF:San Miguel savory (Clinopodium chandleri)
zips/2025050138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND-EA Barona Pipelines - Volume 2A Appendices.PDF:Yucaipa onion (Allium marvinii)
zips/2025050138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND-EA Barona Pipelines - Volume 2A Appendices.PDF:Engelmann Oak (Quercus engelmannii)
zips/2025050138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND-EA Barona Pipelines - Volume 2A Appendices.PDF:Parry’s Tetracoccus (Tetracoccus dioicus)
zips/2025050138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND-EA Barona Pipelines - Volume 2A Appendices.PDF:San Diego Sagewort (Artemisia palmeri)
zips/2025050138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS-MND-EA Barona Pipelines - Volume 2A Appendices.PDF:San Miguel Savory (Clinopodium chandleri)
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:and soap plant (Chlorogalum pomeridianum).
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:manzanita (Arctostaphylos manzanita ssp. manzanita), western poison oak (Toxicodendron
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:(Trichostema ruygtii), has a blooming period of June through October. If special-status plants are
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Contra Costa Goldfields Lasthenia conjugens
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Agrostis hendersonii
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Allium peninsulare var. franciscanum
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Amorpha californica var. napensis
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Amsinckia lunaris
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Arctostaphylos stanfordiana ssp. decumbens
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Astragalus claranus
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Astragalus tener var. tener
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Balsamorhiza macrolepis
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Blennosperma bakeri
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Brodiaea leptandra
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Castilleja ambigua var. meadii
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Ceanothus confusus
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Ceanothus divergens
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Ceanothus purpureus
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Ceanothus sonomensis
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Downingia pusilla
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Erigeron greenei
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Eryngium jepsonii
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Extriplex joaquinana
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Hemizonia congesta ssp. congesta
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Hesperolinon breweri
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Hesperolinon sharsmithiae
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Horkelia tenuiloba
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Lasthenia conjugens
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Lathyrus jepsonii var. jepsonii
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Layia septentrionalis
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Leptosiphon jepsonii
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Limnanthes vinculans
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Lupinus sericatus
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Navarretia leucocephala ssp. bakeri
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Navarretia leucocephala ssp. pauciflora
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Navarretia rosulata
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Penstemon newberryi var. sonomensis
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Rhynchospora californica
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Sagittaria sanfordii
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Sidalcea hickmanii ssp. napensis
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Sidalcea keckii
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Sidalcea oregana ssp. hydrophila
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Streptanthus hesperidis
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Symphyotrichum lentum
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Trichostema ruygtii
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Trifolium amoenum
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Trifolium hydrophilum
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Viburnum ellipticum
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Chlorogalum pomeridianum var.
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Arctostaphylos manzanita ssp. manzanita
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Romneya coulteri
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Allium peninsulare
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Amorpha californica
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Amsinckia lunaris
zips/2025050139/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Report.PDF:Astragalus claranus
