zips/2025040993/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Mini Storage CUP 24-0008, SPR 24-0038 Draft ISMND.PDF:Joshua trees (Yucca brevifolia), desert cymopterus (Cymopterus deserticola),
zips/2025040994/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public_Draft_ISMND_April2025-SCH.PDF:California goldfields (Lasthenia californica), and bird’s-foot trefoil (Lotus corniculatus). Many common
zips/2025040994/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public_Draft_ISMND_April2025-SCH.PDF:Astragalus tener alkali milk-
zips/2025040994/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public_Draft_ISMND_April2025-SCH.PDF:Caulanthus lemmonii
zips/2025040994/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public_Draft_ISMND_April2025-SCH.PDF:Tropidocarpum capparideum
zips/2025040994/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public_Draft_ISMND_April2025-SCH.PDF:Ravenella exigua
zips/2025040994/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public_Draft_ISMND_April2025-SCH.PDF:Spergularia macrotheca var. longistyla
zips/2025040994/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public_Draft_ISMND_April2025-SCH.PDF:Atriplex cordulata var. cordulata
zips/2025040994/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public_Draft_ISMND_April2025-SCH.PDF:Extriplex joaquinana
zips/2025040994/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public_Draft_ISMND_April2025-SCH.PDF:Atriplex depressa
zips/2025040994/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public_Draft_ISMND_April2025-SCH.PDF:Atriplex minuscula
zips/2025040994/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public_Draft_ISMND_April2025-SCH.PDF:Arctostaphylos manzanita ssp. laevigata
zips/2025040994/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public_Draft_ISMND_April2025-SCH.PDF:Astragalus tener var. tener
zips/2025040994/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public_Draft_ISMND_April2025-SCH.PDF:Lathyrus jepsonii var. jepsonii
zips/2025040994/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public_Draft_ISMND_April2025-SCH.PDF:Trifolium hydrophilum
zips/2025040994/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public_Draft_ISMND_April2025-SCH.PDF:Scutellaria galericulata
zips/2025040994/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public_Draft_ISMND_April2025-SCH.PDF:Hesperolinon breweri
zips/2025040994/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public_Draft_ISMND_April2025-SCH.PDF:Hibiscus lasiocarpos var. occidentalis
zips/2025040994/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public_Draft_ISMND_April2025-SCH.PDF:Oenothera deltoides ssp. howellii
zips/2025040994/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public_Draft_ISMND_April2025-SCH.PDF:Eschscholzia rhombipetala
zips/2025040994/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public_Draft_ISMND_April2025-SCH.PDF:Navarretia nigelliformis ssp. radians
zips/2025040994/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public_Draft_ISMND_April2025-SCH.PDF:Delphinium californicum ssp. interius
zips/2025040994/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public_Draft_ISMND_April2025-SCH.PDF:Delphinium recurvatum
zips/2025040994/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public_Draft_ISMND_April2025-SCH.PDF:Chloropyron molle ssp. hispidum
zips/2025040994/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public_Draft_ISMND_April2025-SCH.PDF:Chloropyron palmatum
zips/2025040994/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public_Draft_ISMND_April2025-SCH.PDF:Limosella australis
zips/2025040994/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public_Draft_ISMND_April2025-SCH.PDF:Carex comosa
zips/2025040994/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public_Draft_ISMND_April2025-SCH.PDF:Calochortus pulchellus
zips/2025040994/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public_Draft_ISMND_April2025-SCH.PDF:Fritillaria agrestis
zips/2025040994/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public_Draft_ISMND_April2025-SCH.PDF:Puccinellia simplex
zips/2025040994/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public_Draft_ISMND_April2025-SCH.PDF:Large-flowered Fiddleneck Amsinckia grandiflora
zips/2025040996/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Trinadad_YIHA_IS_04-15-25_Final.PDF:Gilia capitata
zips/2025040996/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Trinadad_YIHA_IS_04-15-25_Final.PDF:Layia carnosa
zips/2025040996/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Trinadad_YIHA_IS_04-15-25_Final.PDF:Oenothera wolfii
zips/2025040996/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Trinadad_YIHA_IS_04-15-25_Final.PDF:Carex leptalea
