zips/2025030159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Biological Resources Assessment.PDF:Aphanisma blitoides
zips/2025030159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Biological Resources Assessment.PDF:Lycium californicum
zips/2025030159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Biological Resources Assessment.PDF:Nama stenocarpa
zips/2025030159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Biological Resources Assessment.PDF:Navarretia prostrata
zips/2025030159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Biological Resources Assessment.PDF:Pentachaeta lyonii
zips/2025030159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Biological Resources Assessment.PDF:Phacelia stellaris
zips/2025030159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Biological Resources Assessment.PDF:Suaeda esteroa
zips/2025030159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Biological Resources Assessment.PDF:Suaeda taxifolia
zips/2025030159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Biological Resources Assessment.PDF:Symphyotrichum defoliatum
zips/2025030160/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ruddy Creek ISMND signed flattened OCR.PDF:(Paronychia ahartii), Butte County Gold Clover (Trifolium jokerstii), Red Bluff Dwarf Rush
zips/2025030160/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ruddy Creek ISMND signed flattened OCR.PDF:(Juncus leiospermus var. leiospermus), Butte County Meadowfoam (Limnanthes floccosa spp.
zips/2025030160/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ruddy Creek ISMND signed flattened OCR.PDF:californica), Woolly Rose - Mallow (Hibiscus lasiocarpos var. occidentalis), and Pink Creamsacs
zips/2025030160/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ruddy Creek ISMND signed flattened OCR.PDF:(Castilleja rubicundula var. rubicundula). None of these species were identified during the field
