zips/2024061333/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Report.PDF:(Opuntia basilaris var.
zips/2024061316/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Heather Farm Aquatic and CC Draft IS_Appendices_red.PDF:Fritillaria liliacea
zips/2024061316/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Heather Farm Aquatic and CC Draft IS_Appendices_red.PDF:Helianthella castanea
zips/2024061316/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Heather Farm Aquatic and CC Draft IS_Appendices_red.PDF:Hesperolinon breweri
zips/2024061316/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Heather Farm Aquatic and CC Draft IS_Appendices_red.PDF:Isocoma arguta
zips/2024061316/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Heather Farm Aquatic and CC Draft IS_Appendices_red.PDF:Lasthenia conjugens
zips/2024061316/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Heather Farm Aquatic and CC Draft IS_Appendices_red.PDF:Malacothamnus hallii
zips/2024061316/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Heather Farm Aquatic and CC Draft IS_Appendices_red.PDF:Monolopia gracilens
zips/2024061316/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Heather Farm Aquatic and CC Draft IS_Appendices_red.PDF:Navarretia gowenii
zips/2024061316/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Heather Farm Aquatic and CC Draft IS_Appendices_red.PDF:Oenothera deltoides ssp.
zips/2024061316/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Heather Farm Aquatic and CC Draft IS_Appendices_red.PDF:Streptanthus glandulosus
zips/2024061316/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Heather Farm Aquatic and CC Draft IS_Appendices_red.PDF:Stuckenia filiformis subsp.
zips/2024061316/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Heather Farm Aquatic and CC Draft IS_Appendices_red.PDF:Streptanthus hispidus
zips/2024061316/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Heather Farm Aquatic and CC Draft IS_Appendices_red.PDF:Viburnum ellipticum
zips/2024061316/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Heather Farm Aquatic and CC Draft IS_Appendices_red.PDF:slender-leaved pondweed (Stuckenia filiformis ssp. alpina) for the New Aquatic and Community
zips/2024061316/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Heather Farm Aquatic and CC Draft IS_Appendices_red.PDF:Pinus radiata
zips/2024061316/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Heather Farm Aquatic and CC Draft IS_Appendices_red.PDF:Pinus radiata
zips/2024061316/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Heather Farm Aquatic and CC Draft IS.PDF:including a focused search for Congdon’s tarplant (Centromadia parryi ssp. congdonii) was
zips/2024061316/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Heather Farm Aquatic and CC Draft IS.PDF:Congdon’s tarplant (Centromadia parryi ssp. Congdonii) was identified in a prior study as the only
zips/2024061316/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Heather Farm Aquatic and CC Draft IS.PDF:One special-status plant species—slender-leaved pondweed (Stuckenia filiformis subsp. alpina)—
zips/2024030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CEQA IS UP-23;12-1 Chipotle Martell.PDF:plexippus) (Candidate), and Ione Manzanita (Arctostaphylos myrtifolia) (Threatened). There is no critical
