zips/2025100247/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Assessment.PDF:(Opuntia basilaris var.
zips/2025100303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Bio and MSHCP Report.PDF:Orcuttia californica
zips/2025100303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Bio and MSHCP Report.PDF:Pseudognaphalium leucocephalum
zips/2025100303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Bio and MSHCP Report.PDF:Scutellaria bolanderi ssp. austromontana
zips/2025100303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Bio and MSHCP Report.PDF:Sibaropsis hammittii
zips/2025100303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Bio and MSHCP Report.PDF:Sidalcea neomexicana
zips/2025100303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Bio and MSHCP Report.PDF:Sphaerocarpos drewiae
zips/2025100303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Bio and MSHCP Report.PDF:Symphyotrichum defoliatum
zips/2025100303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Bio and MSHCP Report.PDF:Lasthenia glabrata ssp. coulteri
zips/2025100303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Bio and MSHCP Report.PDF:Lilium parryi
zips/2025100303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Bio and MSHCP Report.PDF:Tortula californica
zips/2025100303/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Bio and MSHCP Report.PDF:Trichocoronis wrightii var. wrightii
