zips/2023080591/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Apx L_Biological Resources Assessment.PDF:Cuscuta obtusiflora var.
zips/2025030380/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_JPR 24_02_21_01_Findings_24.PDF:(Ambrosia pumila), Brand’s phacelia (Phacelia stellaris), and San Miguel savory (Clinopodium
zips/2025030380/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MA20269_Storage-IS-MND_9-2-2025-REVISED.PDF:(Phacelia stellaris). None of the species were found during on-stie surveys and the General
zips/2025030380/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MA20269_Storage-IS-MND_9-2-2025-REVISED.PDF:San Diego ambrosia (Ambrosia pumila), Brand’s phacelia (Phacelia stellaris), and San Miguel
zips/2025030380/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MA20269_Storage-IS-MND_9-2-2025-REVISED.PDF:savory (Clinopodium chandleri); therefore, a habitat assessment was conducted for these
zips/2025090159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft ISMND_Permanent Sealing of Orphan Well in Orange County.PDF:(Calochortus weedii var. intermedius, CRPR 1B.2). Moderately suitable habitat for
zips/2025090173/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Bio Galvez GBA (Complete 04-22).PDF:Chaparral sand-verbena (Abronia villosa var. aurita) is ranked 1B.1 in the CNPS Rare Plant
zips/2025090173/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Bio Galvez GBA (Complete 04-22).PDF:Munz’s onion (Allium munzii) is a federally Endangered, state Threatened, and CNPS 1B.1 listed
zips/2025090173/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Bio Galvez GBA (Complete 04-22).PDF:San Diego ambrosia (Ambrosia pumila) is listed as federally Endangered and ranked 1B.1 in the
zips/2025090173/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Bio Galvez GBA (Complete 04-22).PDF:Rainbow Manzanita (Arctostaphylos rainbowensis) is ranked 1B.1 in the CNPS Rare Plant
zips/2025090173/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Bio Galvez GBA (Complete 04-22).PDF:San Jacinto Valley crownscale (Atriplex coronata var. notatior) is a federally listed Endangered
zips/2025090173/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Bio Galvez GBA (Complete 04-22).PDF:The Parish’s brittlescale (Atriplex parishii) is ranked 1B.1 in the CNPS Rare Plant Inventory. Its
zips/2025090173/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Bio Galvez GBA (Complete 04-22).PDF:with such as, California goldfields (Lasthenia californica), or Atriplex spp. were found on site.
zips/2025090173/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Bio Galvez GBA (Complete 04-22).PDF:Parry’s spineflower (Chorizanthe parryi var. parryi) is ranked 1B.1 in the CNPS Rare Plant
zips/2025090173/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Bio Galvez GBA (Complete 04-22).PDF:Slender - horned spineflower (Dodecahema leptoceras) is a federally and state listed Endangered
zips/2025090173/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Bio Galvez GBA (Complete 04-22).PDF:The San Diego button celery (Eryngium aristulatum ver. parishii) is a federal and state
zips/2025090173/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Bio Galvez GBA (Complete 04-22).PDF:Cambell’s liverwort (Geothallus tuberosus) is a rank 1B.1 species in the CNPS Rare Plant
zips/2025090173/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Bio Galvez GBA (Complete 04-22).PDF:Coulter’s goldfields (Lasthenia glabrata ssp.coulteri) is ranked 1B.1 in the CNPS Rare Plant
zips/2025090173/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Bio Galvez GBA (Complete 04-22).PDF:Spreading navarretia (Navarretia fossalis) is a federally listed Threatened species and is ranked
zips/2025090173/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Bio Galvez GBA (Complete 04-22).PDF:California Orcutt grass (Orcuttia californica) is a federal and state Endangered species. It is
zips/2025090173/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Bio Galvez GBA (Complete 04-22).PDF:Orcuttia californica
zips/2025090173/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Bio Galvez GBA (Complete 04-22).PDF:Sibaropsis hammittii
zips/2025090173/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Bio Galvez GBA (Complete 04-22).PDF:Dudleya multicaulis
zips/2025090173/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Bio Galvez GBA (Complete 04-22).PDF:Allium munzii
zips/2025090173/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Bio Galvez GBA (Complete 04-22).PDF:Ambrosia pumila
zips/2025090173/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Bio Galvez GBA (Complete 04-22).PDF:Navarretia fossalis
zips/2025090173/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Bio Galvez GBA (Complete 04-22).PDF:Atriplex parishii
zips/2025090173/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Bio Galvez GBA (Complete 04-22).PDF:Atriplex serenana
zips/2025090173/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Bio Galvez GBA (Complete 04-22).PDF:Myosurus minimus
zips/2025090173/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Bio Galvez GBA (Complete 04-22).PDF:Atriplex coronata
zips/2025090173/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Bio Galvez GBA (Complete 04-22).PDF:Brodiaea filifolia
zips/2025090173/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Bio Galvez GBA (Complete 04-22).PDF:Abronia villosa chaparral sandvar. aurita
zips/2025090173/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Bio Galvez GBA (Complete 04-22).PDF:Allium marvinii Yucaipa onion
zips/2025090173/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Bio Galvez GBA (Complete 04-22).PDF:Allium munzii
zips/2025090173/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Bio Galvez GBA (Complete 04-22).PDF:Atriplex parishii
zips/2025090173/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Bio Galvez GBA (Complete 04-22).PDF:Dudleya viscida sticky dudleya
zips/2025090173/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Bio Galvez GBA (Complete 04-22).PDF:Juncus luciensis
zips/2025090173/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B Bio Galvez GBA (Complete 04-22).PDF:Lilium parryi
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:(Lupinus arboreus), mock heather (Ericameria
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Agrostis lacuna-vernalis
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Allium hickmanii
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Aphyllon robbinsii
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Arctostaphylos hookeri ssp.
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Arctostaphylos montereyensis
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Arctostaphylos pajaroensis
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Arctostaphylos pumila
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Arenaria paludicola
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Astragalus tener var. tener
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Astragalus tener var. titi
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Castilleja ambigua var. insalutata
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Centromadia parryi ssp. congdonii
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Chorizanthe minutiflora
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Chorizanthe pungens var. pungens
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Chorizanthe robusta var. robusta
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Clarkia jolonensis
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Collinsia multicolor
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Cordylanthus rigidus ssp. littoralis
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Delphinium californicum ssp.
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Delphinium hutchinsoniae
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Delphinium umbraculorum
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Ericameria fasciculata
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Eriogonum nortonii
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Eryngium montereyense
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Erysimum ammophilum
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Erysimum menziesii
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Fritillaria liliacea
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Gilia tenuiflora ssp. arenaria
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Holocarpha macradenia
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Horkelia cuneata ssp. sericea
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Horkelia marinensis
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Lasthenia conjugens
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Layia carnosa
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Lupinus tidestromii
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Malacothrix saxatilis var.
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Meconella oregana
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Microseris paludosa
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Monardella sinuata ssp.
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Monolopia gracilens
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Pinus radiata
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Plagiobothrys chorisianus var.
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Potentilla hickmanii
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Ramalina thrausta
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Rosa pinetorum
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Stebbinsoseris decipiens
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Sulcaria spiralifera
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Trifolium buckwestiorum
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Trifolium hydrophilum
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Trifolium polyodon
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:Trifolium trichocalyx
zips/2025090175/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MCWD Tate Lift Station Public Review Draft IS 09-03-2025.PDF:sitchensis, Pinus contorta var. contorta, Pseudotsuga
