zips/2024110191/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ISMND FOR SPR 22-014.PDF:Alkali mariposa lily (Calochortus striatus) has been recorded ten times in the CNDDB
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Dudleya cymosa ssp. ovatifolia
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Dudleya multicaulis
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Dudleya parva
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Eriogonum crocatum
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Harpagonella palmeri
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Horkelia cuneata var. puberula
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Isocoma menziesii var. decumbens
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Lasthenia glabrata ssp. coulteri
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Lupinus paynei
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Monardella hypoleuca ssp. hypoleuca
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Navarretia ojaiensis
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Nolina cismontana
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Orcuttia californica
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Pelazoneuron puberulum var. sonorense
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Pentachaeta lyonii
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Quercus dumosa
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Senecio aphanactis
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Sidalcea neomexicana
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Tortula californica
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Astragalus tener coastal dunes Fabaceae
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Atriplex coulteri Coulter's
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Atriplex parishii Parish's
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Atriplex pacifica south coast Chenopodiaceae annual herb
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Dudleya cymosa Agoura Hills Crassulaceae
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Dudleya cymosa marcescent Crassulaceae
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Dudleya cymosa Santa Monica Crassulaceae
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Dudleya parva Conejo
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Horkelia cuneata mesa horkelia Rosaceae
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Juncus acutus southwestern Juncaceae
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Lilium humboldtii Humboldt lily Liliaceae
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Lilium humboldtii ocellated
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Lupinus paynei Payne's bush Fabaceae
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Quercus dumosa Nuttall's scrub Fagaceae
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Corethrogyne filaginifolia
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Eriophyllum confertiflorum
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Malacothrix saxatilis
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Cryptantha clevelandii
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Calystegia macrostegia
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Juglans californica
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:Malacothamnus fasciculatus
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:(Astragalus brauntonii)
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:(Astragalus pycnostachyus
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:(Astragalus tener var. titi)
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:(Chloropyron maritimum
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:(Chorizanthe parryi var.
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:(Deinandra minthornii)
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:(Dithyrea maritima)
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:(Dudleya cymosa ssp.
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:(Dudleya cymosa ssp.
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:(Dodecahema leptoceras)
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:(Dudleya cymosa ssp.
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:(Eriogonum crocatum)
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:(Pentachaeta lyonii)
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:(Orcuttia californica)
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:(Tortula californica)
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:(Atriplex coulteri)
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:(Atriplex pacifica)
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:(Atriplex parishii)
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:(Atriplex serenana var.
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:(Baccharis malibuensis)
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:(Camissoniopsis lewisii)
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:(Delphinium parryi ssp.
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:(Dudleya blochmaniae ssp.
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:(Dudleya multicaulis)
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:(Horkelia cuneata var.
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:(Isocoma menziesii var.
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:(Juglans californica)
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:(Lasthenia glabrata ssp.
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:(Lupinus paynei)
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:(Monardella hypoleuca
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:(Navarretia ojaiensis)
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:(Nolina cismontana)
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:(Quercus dumosa)
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:(Senecio aphanactis)
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:considered Navarretia ojaiensis in
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:(Sidalcea neomexicana)
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:(Calochortus clavatus var.
zips/2024110189/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppC_BioAssessment.PDF:(Calochortus fimbriatus)
zips/2024110156/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tom Bates IS-MND_2024-10-22_Final Draft-signed.PDF:Amsinckia lunaris
zips/2024110156/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tom Bates IS-MND_2024-10-22_Final Draft-signed.PDF:Arctostaphylos pallida
zips/2024110156/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tom Bates IS-MND_2024-10-22_Final Draft-signed.PDF:Astragalus tener var.
zips/2024110156/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tom Bates IS-MND_2024-10-22_Final Draft-signed.PDF:Calystegia purpurata
zips/2024110156/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tom Bates IS-MND_2024-10-22_Final Draft-signed.PDF:Carex comosa
zips/2024110156/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tom Bates IS-MND_2024-10-22_Final Draft-signed.PDF:Chloropyron maritimum
zips/2024110156/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tom Bates IS-MND_2024-10-22_Final Draft-signed.PDF:Chorizanthe cuspidata
zips/2024110156/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tom Bates IS-MND_2024-10-22_Final Draft-signed.PDF:Chorizanthe robusta
zips/2024110156/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tom Bates IS-MND_2024-10-22_Final Draft-signed.PDF:Dirca occidentalis
zips/2024110156/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tom Bates IS-MND_2024-10-22_Final Draft-signed.PDF:Extriplex joaquinana
zips/2024110156/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tom Bates IS-MND_2024-10-22_Final Draft-signed.PDF:Fritillaria liliacea
zips/2024110156/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tom Bates IS-MND_2024-10-22_Final Draft-signed.PDF:Gilia capitata ssp.
zips/2024110156/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tom Bates IS-MND_2024-10-22_Final Draft-signed.PDF:Gilia millefoliata
zips/2024110156/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tom Bates IS-MND_2024-10-22_Final Draft-signed.PDF:Helianthella castanea
zips/2024110156/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tom Bates IS-MND_2024-10-22_Final Draft-signed.PDF:Hemizonia congesta
zips/2024110156/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tom Bates IS-MND_2024-10-22_Final Draft-signed.PDF:Heteranthera dubia
zips/2024110156/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tom Bates IS-MND_2024-10-22_Final Draft-signed.PDF:Hoita strobilina
zips/2024110156/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tom Bates IS-MND_2024-10-22_Final Draft-signed.PDF:Holocarpha macradenia 1B.1
zips/2024110156/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tom Bates IS-MND_2024-10-22_Final Draft-signed.PDF:Horkelia cuneata var.
zips/2024110156/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tom Bates IS-MND_2024-10-22_Final Draft-signed.PDF:Layia carnosa
zips/2024110156/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tom Bates IS-MND_2024-10-22_Final Draft-signed.PDF:Leptosiphon rosaceus
zips/2024110156/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tom Bates IS-MND_2024-10-22_Final Draft-signed.PDF:Polygonum marinense
zips/2024110156/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tom Bates IS-MND_2024-10-22_Final Draft-signed.PDF:Sanicula maritima
zips/2024110156/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tom Bates IS-MND_2024-10-22_Final Draft-signed.PDF:Spergularia macrotheca
zips/2024110156/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tom Bates IS-MND_2024-10-22_Final Draft-signed.PDF:Suaeda californica
zips/2024110156/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tom Bates IS-MND_2024-10-22_Final Draft-signed.PDF:Trifolium hydrophilum
zips/2024110156/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tom Bates IS-MND_2024-10-22_Final Draft-signed.PDF:Viburnum ellipticum
zips/2024110144/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Review Draft ISMND_Ellis Fairview Residential Subdivision - Signed.PDF:Project site for Greene’s tuctoria (Tuctoria greenei).
zips/2024110144/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Review Draft ISMND_Ellis Fairview Residential Subdivision - Signed.PDF:Layia munzii
zips/2024110144/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Review Draft ISMND_Ellis Fairview Residential Subdivision - Signed.PDF:Leptosiphon serrulatus
zips/2024110144/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Review Draft ISMND_Ellis Fairview Residential Subdivision - Signed.PDF:Orcuttia pilosa
zips/2024110144/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Review Draft ISMND_Ellis Fairview Residential Subdivision - Signed.PDF:Orcuttia pilosa
