zips/2025100945/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/North Marin Line_Supplemental IS-MND_Oct2025_OCR.PDF:local occurrences of rare plants. Additionally, western leatherwood [(Dirca occidentalis), CNPS
zips/2025100945/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/North Marin Line_Supplemental IS-MND_Oct2025_OCR.PDF:chaparral). Additionally, western leatherwood [(Dirca occidentalis), CNPS Rare Plant Rank
zips/2025100946/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pure Water AV Appendix B1_BRTR.PDF:Lasthenia californica
zips/2025100946/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pure Water AV_Initial Study.PDF:determined to have a moderate potential to occur. Sagebrush loeflingia (Loeflingia squarrosa
zips/2025100946/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pure Water AV_Initial Study.PDF:var. artemisiarum) a CRPR 2B.2 species and Short-joint beavertail (Opuntia basilaris var.
zips/2025100949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS MND Calas Park.PDF:Abronia maritima
zips/2025100949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS MND Calas Park.PDF:Aphanisma blitoides
zips/2025100949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS MND Calas Park.PDF:Astragalus hornii var.
zips/2025100949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS MND Calas Park.PDF:Astragalus tener var.
zips/2025100949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS MND Calas Park.PDF:Atriplex coulteri
zips/2025100949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS MND Calas Park.PDF:Atriplex pacifica
zips/2025100949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS MND Calas Park.PDF:Atriplex parishii
zips/2025100949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS MND Calas Park.PDF:Atriplex serenana
zips/2025100949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS MND Calas Park.PDF:Calochortus catalinae
zips/2025100949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS MND Calas Park.PDF:Calystegia peirsonii
zips/2025100949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS MND Calas Park.PDF:Centromadia parryi
zips/2025100949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS MND Calas Park.PDF:Chorizanthe parryi
zips/2025100949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS MND Calas Park.PDF:Cistanthe maritima
zips/2025100949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS MND Calas Park.PDF:Convolvulus simulans
zips/2025100949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS MND Calas Park.PDF:Deinandra paniculata
zips/2025100949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS MND Calas Park.PDF:Dithyrea maritima
zips/2025100949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS MND Calas Park.PDF:Dudleya virens ssp.
zips/2025100949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS MND Calas Park.PDF:Eryngium aristulatum
zips/2025100949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS MND Calas Park.PDF:Hordeum intercedens
zips/2025100949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS MND Calas Park.PDF:Horkelia cuneata var.
zips/2025100949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS MND Calas Park.PDF:Isocoma menziesii
zips/2025100949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS MND Calas Park.PDF:Juglans californica
zips/2025100949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS MND Calas Park.PDF:Juncus acutus ssp.
zips/2025100949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS MND Calas Park.PDF:Lasthenia glabrata
zips/2025100949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS MND Calas Park.PDF:Lycium brevipes var.
zips/2025100949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS MND Calas Park.PDF:Lycium californicum
zips/2025100949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS MND Calas Park.PDF:Mucronea californica
zips/2025100949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS MND Calas Park.PDF:Nama stenocarpa
zips/2025100949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS MND Calas Park.PDF:Navarretia fossalis
zips/2025100949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS MND Calas Park.PDF:Navarretia prostrata
zips/2025100949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS MND Calas Park.PDF:Orcuttia californica
zips/2025100949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS MND Calas Park.PDF:Pentachaeta lyonii
zips/2025100949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS MND Calas Park.PDF:Phacelia stellaris
zips/2025100949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS MND Calas Park.PDF:Potentilla multijuga
zips/2025100949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS MND Calas Park.PDF:Suaeda esteroa
zips/2025100949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft IS MND Calas Park.PDF:Suaeda taxifolia
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Technical Report.PDF:Chaparral Sand-Verbena (Abronia villosa var. aurita)
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Technical Report.PDF:Beaver Dam Breadroot (Pediomelum castoreum)
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Technical Report.PDF:Mojave Monkeyflower (Diplacus mohavensis)
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Technical Report.PDF:snakehead (Atriplex coulteri). This Allscale Scrub habitat varies from moderately high quality south and
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Technical Report.PDF:These are Beaver Dam breadroot (Pediomelum castoreum), chaparral sand-verbena (Abronia villosa var.
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Technical Report.PDF:aurita), and Mojave monkeyflower (Diplacus mohavensis).
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Technical Report.PDF:Abronia villosa var.
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Technical Report.PDF:Mentzelia tricuspis
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Technical Report.PDF:Phacelia parishii
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Technical Report.PDF:Puccinellia simplex
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Technical Report.PDF:(Eriophyllum mohavense), has potential to occur in the unfenced and undeveloped western portion of the BSA, outside Hinkley
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Technical Report.PDF:(Boarman 2002). In the West Mojave, DETO eat dwarf white milk-vetch (Astragalus didymocarpus),
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Technical Report.PDF:Lasthenia californica
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Technical Report.PDF:Oenothera deltoides
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Technical Report.PDF:Lycium torreyi
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Technical Report.PDF:Puccinellia simplex
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Technical Report.PDF:Abronia villosa ssp.
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Technical Report.PDF:Delphinium parishii
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Technical Report.PDF:Mentzelia tridentata
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Technical Report.PDF:Muilla coronata
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Technical Report.PDF:Diplacus mohavensis
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Technical Report.PDF:Chorizanthe spinosa
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Technical Report.PDF:Phacelia parishii
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Technical Report.PDF:Mentzelia tricuspis
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Technical Report.PDF:Canbya candida
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Technical Report.PDF:Lasthenia californica
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Technical Report.PDF:Astragalus didymocarpus
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Technical Report.PDF:Eremothera boothii
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_Biological Resources Technical Report.PDF:Eschscholzia minutiflora
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hinkley_Compressor_Draft_Mitigated_Negative_Declaration.PDF:annual bursage (Ambrosia acanthicarpa), and snakehead (Atriplex coulteri) were documented.
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hinkley_Compressor_Draft_Mitigated_Negative_Declaration.PDF:Abronia villosa var. aurita
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hinkley_Compressor_Draft_Mitigated_Negative_Declaration.PDF:Astragalus jaegerianus
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hinkley_Compressor_Draft_Mitigated_Negative_Declaration.PDF:Cymopterus deserticola
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hinkley_Compressor_Draft_Mitigated_Negative_Declaration.PDF:Diplacus mohavensis
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hinkley_Compressor_Draft_Mitigated_Negative_Declaration.PDF:Eriophyllum mohavense
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hinkley_Compressor_Draft_Mitigated_Negative_Declaration.PDF:Menodora spinescens
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hinkley_Compressor_Draft_Mitigated_Negative_Declaration.PDF:Mentzelia tricuspis
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hinkley_Compressor_Draft_Mitigated_Negative_Declaration.PDF:Mentzelia tridentata
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hinkley_Compressor_Draft_Mitigated_Negative_Declaration.PDF:Pediomelum castoreum
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hinkley_Compressor_Draft_Mitigated_Negative_Declaration.PDF:Phacelia parishii
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hinkley_Compressor_Draft_Mitigated_Negative_Declaration.PDF:Puccinellia simplex
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hinkley_Compressor_Draft_Mitigated_Negative_Declaration.PDF:Delphinium parishii
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hinkley_Compressor_Draft_Mitigated_Negative_Declaration.PDF:Muilla coronata
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hinkley_Compressor_Draft_Mitigated_Negative_Declaration.PDF:Canbya candida
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hinkley_Compressor_Draft_Mitigated_Negative_Declaration.PDF:Chorizanthe spinosa
zips/2025100950/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Hinkley_Compressor_Draft_Mitigated_Negative_Declaration.PDF:Lycium torreyi
