zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:nearest known occurrence of special-status plant species is three-bracted onion (Allium tribracteatum)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Juncus digitatus)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Hesperolinon adenophyllum)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Alisma gramineum)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Chloropyron molle ssp. hispidum)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Eryngium jepsonii)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Astragalus rattanii var. jepsonianus)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Packera layneae)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Sidalcea oregana ssp. hydrophila)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Potamogeton epihydrus)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Polemonium carneum)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Viburnum ellipticum)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Centromadia parryi ssp. parryi)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Cuscuta obtusiflora var.
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Fremontodendron decumbens)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Lupinus dalesiae)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Sidalcea stipularis)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Cordylanthus tenuis ssp. brunneus)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Erigeron serpentinus)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Carex cyrtostachya)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Orcuttia tenuis)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Erythranthe marmorata)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Calystegia stebbinsii)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Fritillaria agrestis)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Allium tribracteatum)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Brasenia schreberi)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Rhynchospora alba)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Diplacus pulchellus)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Bruchia bolanderi)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Mielichhoferia elongata)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Lycopodiella inundata)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Meesia longiseta)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Fissidens pauperculus)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Meesia triquetra)
zips/2024090407/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2023-00073 Biological Resource Assessment.PDF:(Anomobryum julaceum)
