zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Allium peninsulare
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Carex lyngbyei
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Ceanothus confusus
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Ceanothus sonomensis
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Centromadia parryi ssp. parryi
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Chloropyron molle ssp. molle
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Downingia pusilla
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Erigeron greenei
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Extriplex joaquinana
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Hemizonia congesta ssp. congesta
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Horkelia tenuiloba
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Lasthenia conjugens
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Lathyrus jepsonii var. jepsonii
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Leptosiphon jepsonii
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Lupinus sericatus
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Polygonum marinense
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Symphyotrichum lentum
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Trichostema ruygtii
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Trifolium amoenum
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Trifolium hydrophilum
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Viburnum ellipticum
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Allium peninsulare var.
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Amorpha californica var.
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Arctostaphylos bakeri
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Astragalus tener var.
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Balsamorhiza macrolepis big-scale balsamroot
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Blennosperma bakeri
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Brodiaea leptandra
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Calandrinia breweri
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Carex lyngbyei
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Castilleja ambigua var.
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Ceanothus confusus
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Ceanothus sonomensis
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Centromadia parryi ssp.
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Chloropyron molle ssp.
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Chorizanthe valida
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Clarkia gracilis
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Downingia pusilla
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Eleocharis parvula
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Erigeron biolettii
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Erigeron greenei
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:-- ---Hemizonia congesta ssp. congested-headed
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Horkelia tenuiloba
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Lasthenia conjugens
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Lathyrus jepsonii var.
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Leptosiphon jepsonii
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Lessingia hololeuca
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Lilium rubescens
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Lomatium repostum
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Lupinus sericatus
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Micropus amphibolus
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Monardella viridis
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Polygonum marinense
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Ranunculus lobbii
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Symphyotrichum lentum
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Trichostema ruygtii
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Trifolium amoenum
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Trifolium hydrophilum
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Triteleia lugens
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Viburnum ellipticum
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Contra Costa Goldfields Lasthenia conjugens
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Showy Indian Clover Trifolium amoenum
zips/2025070651/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F Biological Resource Assessment.PDF:Juglans californica
zips/2025070681/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Yeager Well Replacement Biological Report_5-21-25.PDF:Lincoln rockcress (Boechera lincolnensis) CRPR 2B.3;
zips/2025070681/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Yeager Well Replacement Biological Report_5-21-25.PDF:White-bracted spineflower (Chorizanthe xanti var. leucotheca) CRPR 1B.2;
zips/2025070681/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Yeager Well Replacement Biological Report_5-21-25.PDF:Latimer’s woodland-gilia (Saltugilia latimeri) CRPR 1B.2.
zips/2025070681/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Yeager Well Replacement Biological Report_5-21-25.PDF:Astragalus tricarinatus
zips/2025070681/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Yeager Well Replacement Biological Report_5-21-25.PDF:Boechera lincolnensis
zips/2025070681/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Yeager Well Replacement Biological Report_5-21-25.PDF:Calochortus palmeri
zips/2025070681/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Yeager Well Replacement Biological Report_5-21-25.PDF:Chorizanthe xanti var.
zips/2025070681/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Yeager Well Replacement Biological Report_5-21-25.PDF:Monardella robisonii
zips/2025070681/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Yeager Well Replacement Biological Report_5-21-25.PDF:Saltugilia latimeri
zips/2025070681/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Yeager Well Replacement Biological Report_5-21-25.PDF:Coachella Valley Milk-vetch Astragalus lentiginosus var.
zips/2025070681/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Yeager Well Replacement Biological Report_5-21-25.PDF:Triple-ribbed Milk-vetch Astragalus tricarinatus
zips/2025070681/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Yeager Well Replacement_Draft ISMND_6.PDF:Lincoln rockcress (Boechera lincolnensis) CRPR 2B.3;
zips/2025070681/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Yeager Well Replacement_Draft ISMND_6.PDF:White-bracted spineflower (Chorizanthe xanti var. leucotheca) CRPR 1B.2;
zips/2025070681/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Yeager Well Replacement_Draft ISMND_6.PDF:Latimer’s woodland-gilia (Saltugilia latimeri) CRPR 1B.2.
zips/2025070681/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Yeager Well Replacement_Draft ISMND_6.PDF:special-status plant species (Lincoln rockcress [Boechera lincolnensis]; White-bracted spineflower
zips/2025070681/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Yeager Well Replacement_Draft ISMND_6.PDF:[Chorizanthe xanti var. leucotheca]; Little San Bernardino Mountains linanthus [Linantus maculatus ssp.
zips/2025070681/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Yeager Well Replacement_Draft ISMND_6.PDF:maculatus]; andLatimer’s woodland-gilia [Saltugilia latimeri]) have a low potential to occur on the Project
