zips/2025041299/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/KNAUF IS.PDF:lobata) and a few buckbrush shrubs (Ceanothus cuneatus) are present. No elderberry (Sambucus sp.)
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Cypripedium fasciculatum
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Cypripedium montanum
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Diplacus pygmaeus
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Erigeron eatonii var.
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Eriogonum microtheca var.
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Erigeron petrophilus var.
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Eriogonum microtheca var.
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Fissidens aphelotaxifolius
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Ivesia aperta var. aperta
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Lewisia cantelovii
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Lewisia kelloggii ssp. kelloggii
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Lomatium foeniculaceum ssp.
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Oreostemma elatum
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Orthocarpus bracteosus
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Peltigera gowardii
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Penstemon personatus
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Phlox muscoides
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Potamogeton epihydrus
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Rhynchospora alba
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:lichen (Peltigera gowardii) occurrences or other special-status fungi and lichen
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:Botrychium spp., clustered lady’s slipper (Cypripedium fasciculatum), mountain
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:lady’s slipper (Cypripedium montanum), Modoc cypress (Hesperocyparis
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:bakeri), and closed throated beardtongue (Penstemon personatus), among
zips/2025041301/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Tributaries_CEQADraftIS.PDF:known veined water lichen (Peltigera gowardii) occurrences or other special-status fungi
