zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Recirculated ISMND San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Corethrogyne filaginifolia
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Recirculated ISMND San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Collinsia antonina
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Recirculated ISMND San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Collinsia multicolor
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Recirculated ISMND San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Delphinium umbraculorum
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Recirculated ISMND San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Entosthodon kochii
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Recirculated ISMND San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Eriastrum luteum
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Recirculated ISMND San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Eriogonum temblorense
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Recirculated ISMND San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Erythranthe hardhamiae
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Recirculated ISMND San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Horkelia cuneata var. sericea
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Recirculated ISMND San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Juncus luciensis
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Recirculated ISMND San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Lagophylla diabolensis
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Recirculated ISMND San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Layia heterotricha
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Recirculated ISMND San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Malacothamnus abbottii
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Recirculated ISMND San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Malacothamnus aboriginum
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Recirculated ISMND San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Malacothamnus davidsonii
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Recirculated ISMND San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Navarretia nigelliformis ssp. radians
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Recirculated ISMND San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Navarretia prostrata
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Recirculated ISMND San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Nemacladus secundiflorus var. robbinsii
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Recirculated ISMND San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Plagiobothrys uncinatus
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Recirculated ISMND San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Stebbinsoseris decipiens
zips/2026010906/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Recirculated ISMND San Ardo 2024 Wells Project - Aera Energy, LLC.PDF:Stylocline masonii
zips/2026060009/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/GRAD2025-00177_Focused MND and Near Miss Exemption.PDF:• Johnson, L. A. 2013. Navarretia nigelliformis subsp. radians, in Jepson Flora Project (eds.)
