zips/2025020095/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/VCWD_NIXON_IS_MNDwApx_Feb2025_Flattened_OCR.PDF:Calochortus plummerae
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Viola purpurea
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Layia septentrionalis
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Layia septentrionalis
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Streptanthus brachiatus ssp. hoffmanii
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Hesperolinon sharsmithiae
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Hesperolinon sharsmithiae
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Hesperolinon sharsmithiae
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Navarretia leucocephala ssp. plieantha
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Gratiola heterosepala
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Fritillaria pluriflora
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Fritillaria pluriflora
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Orcuttia tenuis
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Burke's Goldfields Lasthenia burkei
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Keck's Checker-mallow Sidalcea keckii
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Many-flowered Navarretia Navarretia leucocephala ssp. plieantha
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Slender Orcutt Grass Orcuttia tenuis
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Grimmia torenii
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Allium fimbriatum Purdys onion
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Plants Bryophytes Grimmiaceae Grimmia torenii
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:- Alliaceae Allium fimbriatum
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Harmonia hallii
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Arabis modesta
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Arabis oregana
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:- Asteraceae Harmonia hallii
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:- Brassicaceae Arabis modesta
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:- Brassicaceae Arabis oregana
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Fritillaria purdyi
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Sidalcea keckii
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Clarkia gracilis
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Aphyllon validum Howells
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:- Liliaceae Fritillaria purdyi
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Unprocessed - Malvaceae Sidalcea keckii
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:- Onagraceae Clarkia gracilis
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Plants Erigeron greenei Greenes narrow- PDAST3M5G0 None
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Plants Harmonia hallii
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Lasthenia burkei
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Orcuttia tenuis
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:- Poaceae Orcuttia tenuis
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Amsinckia lunaris bent-flowered Boraginaceae
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Aphyllon validum Howell's
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Arabis modesta
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Arabis oregana
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Clarkia gracilis
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Fritillaria purdyi
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Grimmia torenii
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Harmonia hallii
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Sidalcea keckii
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Harmonia hallii
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Lasthenia burkei Burke's
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Orcuttia tenuis
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Viola purpurea
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Layia septentrionalis
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Layia septentrionalis
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Streptanthus brachiatus ssp. hoffmanii
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Hesperolinon sharsmithiae
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Hesperolinon sharsmithiae
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Hesperolinon sharsmithiae
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Navarretia leucocephala ssp. plieantha
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Gratiola heterosepala
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Fritillaria pluriflora
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Fritillaria pluriflora
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Orcuttia tenuis
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Burke's Goldfields Lasthenia burkei
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Keck's Checker-mallow Sidalcea keckii
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Many-flowered Navarretia Navarretia leucocephala ssp. plieantha
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Slender Orcutt Grass Orcuttia tenuis
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Grimmia torenii
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Allium fimbriatum Purdys onion
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Plants Bryophytes Grimmiaceae Grimmia torenii
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:- Alliaceae Allium fimbriatum
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Harmonia hallii
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Arabis modesta
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Arabis oregana
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:- Asteraceae Harmonia hallii
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:- Brassicaceae Arabis modesta
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:- Brassicaceae Arabis oregana
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Fritillaria purdyi
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Sidalcea keckii
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Clarkia gracilis
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Aphyllon validum Howells
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:- Liliaceae Fritillaria purdyi
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Unprocessed - Malvaceae Sidalcea keckii
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:- Onagraceae Clarkia gracilis
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Plants Erigeron greenei Greenes narrow- PDAST3M5G0 None
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Plants Harmonia hallii
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Lasthenia burkei
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Orcuttia tenuis
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:- Poaceae Orcuttia tenuis
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Amsinckia lunaris bent-flowered Boraginaceae
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Aphyllon validum Howell's
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Arabis modesta
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Arabis oregana
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Clarkia gracilis
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Fritillaria purdyi
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Grimmia torenii
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Harmonia hallii
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Sidalcea keckii
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Harmonia hallii
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Lasthenia burkei Burke's
zips/2025020076/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Bio Studies.PDF:Orcuttia tenuis
