zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Allium peninsulare var.
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Clarkia franciscana
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Collinsia corymbosa
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Collinsia multicolor
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Dirca occidentalis
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Entosthodon kochii
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Eriogonum luteolum
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Fissidens pauperculus
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Fritillaria liliacea
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Gilia capitata ssp.
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Gilia capitata ssp.
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Gilia millefoliata
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Helianthella castanea
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Hemizonia congesta
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Heteranthera dubia
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Horkelia cuneata var.
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Horkelia marinensis
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Horkelia tenuiloba
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Hypogymnia schizidiata
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Kopsiopsis hookeri
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Layia carnosa
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Leptosiphon rosaceus
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Lessingia germanorum
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Lessingia micradenia
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Microseris paludosa
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Navarretia rosulata
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Plagiobothrys glaber
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Polemonium carneum
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Quercus parvula var.
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Sanicula maritima
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Sidalcea calycosa ssp.
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Sidalcea hickmanii ssp.
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Silene scouleri ssp.
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Silene verecunda ssp.
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Spergularia macrotheca
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Symphyotrichum lentum
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Trifolium amoenum
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Trifolium hydrophilum
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Triphysaria floribunda
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Triquetrella californica
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:owl’s clover (Castilleja densiflora or C. exserta). Can disperse up to 4.7
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Castilleja densiflora in the BSA,
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Marin Dwarf-flax Hesperolinon congestum
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Santa Cruz Tarplant Holocarpha macradenia
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Showy Indian Clover Trifolium amoenum
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:White-rayed Pentachaeta Pentachaeta bellidiflora
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Alopecurus aequalis var. sonomensis
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Amorpha californica var. napensis
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Amsinckia lunaris
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Aphyllon robbinsii
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Arctostaphylos franciscana
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Arctostaphylos montana ssp. montana
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Arctostaphylos montana ssp. ravenii
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Arctostaphylos virgata
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Arenaria paludicola
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Astragalus pycnostachyus var. pycnostachyus
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Astragalus tener var. tener
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Calamagrostis crassiglumis
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Calochortus tiburonensis
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Calystegia purpurata ssp. saxicola
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Cardamine angulata
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Carex comosa
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Carex lyngbyei
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Carex praticola
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Castilleja affinis var. neglecta
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Ceanothus decornutus
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Ceanothus masonii
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Chloropyron maritimum ssp. palustre
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Chorizanthe cuspidata var. cuspidata
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Cirsium andrewsii
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Cirsium hydrophilum var. vaseyi
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Clarkia franciscana
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Collinsia corymbosa
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Collinsia multicolor
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Dermatocarpon meiophyllizum
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Dirca occidentalis
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Entosthodon kochii
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Eriogonum luteolum var. caninum
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Fissidens pauperculus
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Fritillaria liliacea
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Gilia capitata ssp. chamissonis
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Gilia capitata ssp. tomentosa
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Gilia millefoliata
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Grindelia hirsutula var. maritima
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Helianthella castanea
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Hemizonia congesta ssp. congesta
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Hesperolinon congestum
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Heteranthera dubia
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Holocarpha macradenia
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Horkelia cuneata var. sericea
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Horkelia marinensis
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Horkelia tenuiloba
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Hypogymnia schizidiata
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Kopsiopsis hookeri
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Layia carnosa
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Leptosiphon rosaceus
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Lessingia germanorum
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Lessingia micradenia var. micradenia
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Microseris paludosa
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Mielichhoferia elongata
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Navarretia rosulata
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Pentachaeta bellidiflora
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Plagiobothrys chorisianus var. chorisianus
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Plagiobothrys glaber
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Pleuropogon hooverianus
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Polemonium carneum
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Polygonum marinense
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Quercus parvula var. tamalpaisensis
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Sanicula maritima
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Sidalcea calycosa ssp. rhizomata
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Sidalcea hickmanii ssp. viridis
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Silene scouleri ssp. scouleri
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Silene verecunda ssp. verecunda
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Spergularia macrotheca var. longistyla
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Stebbinsoseris decipiens
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Streptanthus batrachopus
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Streptanthus glandulosus ssp. niger
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Streptanthus glandulosus ssp. pulchellus
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Symphyotrichum lentum
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Trifolium amoenum
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Trifolium hydrophilum
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Triphysaria floribunda
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Triquetrella californica
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Allium peninsulare
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Alopecurus aequalis Sonoma
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Amorpha californica Napa false
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Amsinckia lunaris
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Aphyllon robbinsii
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Arenaria paludicola marsh sandwort
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Aspidotis carlotta-
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Astragalus breweri
zips/2025020047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/BolinasAve_Public Draft ISMND_20250130 reduced.PDF:Astragalus nuttallii
