zips/2025060163/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resource Letter.PDF:(Abronia villosa var. aurita)
zips/2025060165/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CommCtrPkMP_IS-MND_05292025.PDF:Juncus leiospermus var. ahartii
zips/2025060165/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CommCtrPkMP_IS-MND_05292025.PDF:Juncus leiospermus var. leiospermus
zips/2025060165/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CommCtrPkMP_IS-MND_05292025.PDF:Navarretia myersii ssp. myersii
zips/2025060165/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CommCtrPkMP_IS-MND_05292025.PDF:Wolffia brasiliensis
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Alopecurus aequalis var.
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Amsinckia lunaris)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Allium peninsulare var.
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Arctostaphylos montana
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Arctostaphylos virgata)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Aspidotis carlotta-halliae)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Astragalus breweri)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Arabis blepharophylla)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Astragalus tener var. tener)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Blennosperma bakeri)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Calamagrostis ophitidis)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Astragalus pycnostachyus
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Calochortus tiburonensis)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Calochortus umbellatus)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Calystegia collina ssp.
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Calandrinia breweri)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Carex lyngbyei)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Castilleja affinis var.
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Castilleja ambigua var.
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Ceanothus decornutus)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Ceanothus gloriosus var.
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Ceanothus masonii)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Centromadia parryi ssp.
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Chloropyron maritimum
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Ceanothus gloriosus var.
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Chorizanthe cuspidata var.
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Chorizanthe valida)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Cirsium hydrophilum var.
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Cistanthe maritima)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Collomia diversifolia)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Chloropyron molle ssp.
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Delphinium bakeri)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Delphinium luteum)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Dichondra occidentalis)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Cypripedium californicum)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Downingia pusilla)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Eleocharis parvula)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Elymus californicus)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Entosthodon kochii)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Dirca occidentalis)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Eriogonum luteolum var.
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Eryngium jepsonii)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Erysimum franciscanum)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Erythranthe nudata)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Fissidens pauperculus)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Erigeron biolettii)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Gilia capitata ssp.
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Gilia capitata ssp.
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Gilia millefoliata)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Grindelia hirsutula var.
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Hemizonia congesta ssp.
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Hesperolinon congestum)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Holocarpha macradenia)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Horkelia tenuiloba)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Helianthella castanea)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Iris longipetala)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Juncus acutus ssp.
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Kopsiopsis hookeri)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Hosackia gracilis)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Lasthenia conjugens)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Lessingia hololeuca)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Lilium pardalinum ssp.
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Microseris paludosa)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Lessingia micradenia var.
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Navarretia cotulifolia)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Navarretia leucocephala
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Navarretia rosulata)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Pentachaeta bellidiflora)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Mielichhoferia elongata)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Plagiobothrys glaber)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Plagiobothrys mollis var.
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Pleuropogon hooverianus)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Perideridia gairdneri ssp.
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Polygonum marinense)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Quercus parvula var.
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Ranunculus lobbii)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Sagittaria sanfordii)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Pleuropogon refractus)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Sidalcea hickmanii ssp.
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Spergularia macrotheca
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Stebbinsoseris decipiens)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Streptanthus anomalus)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Streptanthus batrachopus)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Sidalcea calycosa ssp.
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Streptanthus glandulosus
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Symphyotrichum lentum)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Toxicoscordion fontanum)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Trifolium amoenum)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Streptanthus glandulosus
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Trifolium polyodon)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Triquetrella californica)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Viburnum ellipticum)
zips/2025060166/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Draft ISMND_Novato Olive Ave_06_02_2025 flat.PDF:(Trifolium hydrophilum)
zips/2025060167/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/LTRID Poplar Basin_DRAFT_F.PDF:(Lasthenia chrysantha)
zips/2025060167/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/LTRID Poplar Basin_DRAFT_F.PDF:(Diplacus pictus)
zips/2025060167/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/LTRID Poplar Basin_DRAFT_F.PDF:(Puccinellia simplex)
zips/2025060167/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/LTRID Poplar Basin_DRAFT_F.PDF:(Caulanthus californicus)
zips/2025060167/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/LTRID Poplar Basin_DRAFT_F.PDF:(Atriplex coronata var.
zips/2025060167/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/LTRID Poplar Basin_DRAFT_F.PDF:(Delphinium recurvatum)
zips/2025060167/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/LTRID Poplar Basin_DRAFT_F.PDF:(Monolopia congdonii)
zips/2025060167/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/LTRID Poplar Basin_DRAFT_F.PDF:(Fritillaria striata)
zips/2025060167/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/LTRID Poplar Basin_DRAFT_F.PDF:(Atriplex persistens)
zips/2025060167/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/LTRID Poplar Basin_DRAFT_F.PDF:(Atriplex depressa)
zips/2025060167/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/LTRID Poplar Basin_DRAFT_F.PDF:(Diplacus pictus)
zips/2025060167/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/LTRID Poplar Basin_DRAFT_F.PDF:(Puccinellia simplex)
zips/2025060167/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/LTRID Poplar Basin_DRAFT_F.PDF:(Atriplex cordulata
zips/2025060167/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/LTRID Poplar Basin_DRAFT_F.PDF:(Eremalche parryi ssp.
zips/2025060167/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/LTRID Poplar Basin_DRAFT_F.PDF:(Atriplex minuscula)
zips/2025060167/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/LTRID Poplar Basin_DRAFT_F.PDF:(Atriplex coronata var.
zips/2025060167/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/LTRID Poplar Basin_DRAFT_F.PDF:(Fritillaria striata)
zips/2025060167/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/LTRID Poplar Basin_DRAFT_F.PDF:(Atriplex subtilis)
zips/2025060167/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/LTRID Poplar Basin_DRAFT_F.PDF:(Atriplex persistens)
zips/2025060167/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/LTRID Poplar Basin_DRAFT_F.PDF:(Caulanthus californicus)
zips/2025060167/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/LTRID Poplar Basin_DRAFT_F.PDF:(Eremalche parryi ssp. kernensis)
zips/2025060167/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/LTRID Poplar Basin_DRAFT_F.PDF:(Pseudobahia peirsonii)
zips/2025060167/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/LTRID Poplar Basin_DRAFT_F.PDF:(Monolopia congdonii)
