zips/2025041448/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/APP B_CNDDB SPECIES DATABASE.PDF:Balsamorhiza macrolepis
zips/2025041463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Waddell_Pit_BRA_Updated_240304.PDF:Asarum marmoratum
zips/2025041463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Waddell_Pit_BRA_Updated_240304.PDF:Boechera koehleri
zips/2025041463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Waddell_Pit_BRA_Updated_240304.PDF:Castilleja elata
zips/2025041463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Waddell_Pit_BRA_Updated_240304.PDF:Cornus unalaschkensis
zips/2025041463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Waddell_Pit_BRA_Updated_240304.PDF:Epilobium oreganum
zips/2025041463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Waddell_Pit_BRA_Updated_240304.PDF:Erythronium hendersonii
zips/2025041463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Waddell_Pit_BRA_Updated_240304.PDF:Erythronium howellii
zips/2025041463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Waddell_Pit_BRA_Updated_240304.PDF:Iliamna latibracteata
zips/2025041463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Waddell_Pit_BRA_Updated_240304.PDF:Lewisia cotyledon var. heckneri
zips/2025041463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Waddell_Pit_BRA_Updated_240304.PDF:Lewisia cotyledon var. howellii
zips/2025041463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Waddell_Pit_BRA_Updated_240304.PDF:Lomatium martindalei
zips/2025041463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Waddell_Pit_BRA_Updated_240304.PDF:Monotropa uniflora
zips/2025041463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Waddell_Pit_BRA_Updated_240304.PDF:Sidalcea celata
zips/2025041463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Waddell_Pit_BRA_Updated_240304.PDF:Silene hookeri
zips/2025041463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Waddell_Pit_BRA_Updated_240304.PDF:Thermopsis robusta
zips/2025041463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Waddell_Pit_BRA_Updated_240304.PDF:Eriogonum nudum
zips/2025041463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Waddell_Pit_BRA_Updated_240304.PDF:Eriophyllum lanatum
zips/2025041463/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Waddell_Pit_BRA_Updated_240304.PDF:Ribes roezlii
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Amorpha californica
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Hemizonia congesta
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Lilium rubescens
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Monardella viridis
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Triteleia lugens
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Viburnum ellipticum
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Agrostis hendersonii
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Allium peninsulare var. franciscanum
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Amorpha californica var. napensis
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Amsinckia lunaris
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Arctostaphylos stanfordiana ssp.
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Astragalus claranus
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Astragalus tener var. tener
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Balsamorhiza macrolepis
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Blennosperma bakeri
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Brodiaea leptandra
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Carex lyngbyei
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Castilleja affinis var. neglecta
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Castilleja ambigua var. meadii
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Ceanothus confusus
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Ceanothus divergens
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Ceanothus purpureus
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Ceanothus sonomensis
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Centromadia parryi ssp. parryi
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Chloropyron molle ssp. molle
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Downingia pusilla
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Erigeron greenei
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Hemizonia congesta ssp. congesta
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Hesperolinon breweri
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Hesperolinon sharsmithiae
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Horkelia tenuiloba
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Eryngium jepsonii
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Extriplex joaquinana
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Isocoma arguta
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Lasthenia conjugens
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Lathyrus jepsonii var. jepsonii
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Leptosiphon jepsonii
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Limnanthes vinculans
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Lupinus sericatus
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Navarretia leucocephala ssp. pauciflora
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Penstemon newberryi var. sonomensis
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Polygonum marinense
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Rhynchospora californica
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Symphyotrichum lentum
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Trichostema ruygtii
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Sagittaria sanfordii
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Sidalcea hickmanii ssp. napensis
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Sidalcea keckii
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Streptanthus hesperidis
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Trifolium amoenum
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Trifolium hydrophilum
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Viburnum ellipticum
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Agrostis hendersonii
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Allium peninsulare
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Amorpha californica
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Amsinckia lunaris
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Arabis modesta
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Blennosperma bakeri
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Brodiaea leptandra
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Astragalus claranus
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Astragalus clevelandii Cleveland's milkvetch
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Astragalus tener var.
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Calandrinia breweri
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Carex lyngbyei
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Castilleja affinis var.
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Castilleja ambigua
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Castilleja ambigua
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Ceanothus confusus
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Ceanothus divergens
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Ceanothus purpureus
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Ceanothus sonomensis Sonoma
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Centromadia parryi
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Chloropyron molle
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Clarkia breweri
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Clarkia gracilis ssp.
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Centromadia parryi
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Collomia diversifolia
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Downingia pusilla
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Eleocharis parvula
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Erigeron biolettii
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Erigeron greenei
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Eryngium jepsonii
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Erythronium helenae
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Harmonia nutans
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Helianthella castanea Diablo
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Hemizonia congesta
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Hesperolinon breweri
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Horkelia tenuiloba
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Iris longipetala
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Isocoma arguta
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Lasthenia conjugens
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Leptosiphon jepsonii
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Lessingia hololeuca
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Lilium rubescens
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Limnanthes vinculans Sebastopol
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Lomatium repostum
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Lupinus sericatus
zips/2025041466/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H Biological Resource Report and Purple needlegrass supplemental Letter.PDF:Micropus amphibolus
