zips/2014081015/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SR156 The Alameda_Supplemental IS_MND.PDF:Congdon’s tarplant (Centromadia parryi spp. congdonii).
zips/2014081015/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SR156 The Alameda_Supplemental IS_MND.PDF:(Monolopia congdonii)
zips/2014081015/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SR156 The Alameda_Supplemental IS_MND.PDF:(Erysimum ammophilum)
zips/2014081015/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SR156 The Alameda_Supplemental IS_MND.PDF:(Arctostaphylos pumila)
zips/2014081015/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SR156 The Alameda_Supplemental IS_MND.PDF:(Trifolium buckwestiorum)
zips/2014081015/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SR156 The Alameda_Supplemental IS_MND.PDF:(Holocarpha macradenia)
zips/2014081015/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SR156 The Alameda_Supplemental IS_MND.PDF:(Cordylanthus rigidus ssp. littoralis)
zips/2014081015/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SR156 The Alameda_Supplemental IS_MND.PDF:(Arctostaphylos montereyensis)
zips/2014081015/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SR156 The Alameda_Supplemental IS_MND.PDF:(Agrostis lacuna-vernalis)
zips/2014081015/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SR156 The Alameda_Supplemental IS_MND.PDF:(Monolopia gracilens)
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A.PDF:(Monolopia congdonii)
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A.PDF:(Deinandra halliana)
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A.PDF:(Senecio aphanactis)
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A.PDF:(Atriplex coronata var.
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A.PDF:(Layia munzii)
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A.PDF:(Lepidium jaredii ssp.
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A.PDF:(Navarretia prostrata)
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A.PDF:(Layia heterotricha)
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A.PDF:(Madia radiata)
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A.PDF:Senecio aphanactis
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A.PDF:Deinandra halliana
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A.PDF:Malacothamnus aboriginum
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A.PDF:Atriplex coronata var. vallicola
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A.PDF:Layia munzii
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A.PDF:Layia heterotricha
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A.PDF:Navarretia panochensis
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A.PDF:Lepidium jaredii ssp. album
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A.PDF:Navarretia prostrata
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A.PDF:Delphinium recurvatum
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A.PDF:Monolopia congdonii
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A.PDF:Madia radiata
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A.PDF:Fritillaria agrestis
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A.PDF:Clarkia breweri Brewer's
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A.PDF:Layia munzii
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A.PDF:Lepidium jaredii Panoche Brassicaceae
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix A.PDF:Madia radiata showy golden Asteraceae
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B.PDF:(Monolopia congdonii)
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B.PDF:(Eremalche parryi ssp.
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B.PDF:(Lasthenia chrysantha)
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B.PDF:(Senecio aphanactis)
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B.PDF:(Atriplex depressa)
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B.PDF:(Deinandra halliana)
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B.PDF:(Caulanthus lemmonii)
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B.PDF:(Layia heterotricha)
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B.PDF:(Madia radiata)
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B.PDF:(Lepidium jaredii ssp.
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B.PDF:California Jewelflower Caulanthus californicus
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B.PDF:Lasthenia chrysantha
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B.PDF:Atriplex depressa
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B.PDF:Caulanthus californicus
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B.PDF:Senecio aphanactis
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B.PDF:Deinandra halliana
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B.PDF:Eriastrum hooveri
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B.PDF:Eremalche parryi ssp. kernensis
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B.PDF:Caulanthus lemmonii
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B.PDF:Layia heterotricha
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B.PDF:Lepidium jaredii ssp. album
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B.PDF:Delphinium recurvatum
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B.PDF:Monolopia congdonii
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B.PDF:Madia radiata
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B.PDF:Lepidium jaredii Panoche Brassicaceae
zips/2025040203/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B.PDF:Madia radiata showy golden Asteraceae
zips/2025040210/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Review Draft ISMND_Osborn Park Expansion_April 2025.PDF:owl’s-clover (Castilleja campestris ssp. Succulenta), conservancy fairy shrimp (Branchinecta conservatio), San
zips/2025040210/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Review Draft ISMND_Osborn Park Expansion_April 2025.PDF:Joaquin Valley Orcutt grass (Orcuttia inaequalis), and Colusa grass (Neostapfia colusana).
zips/2025040210/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Review Draft ISMND_Osborn Park Expansion_April 2025.PDF:Atriplex persistens
zips/2025040210/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Review Draft ISMND_Osborn Park Expansion_April 2025.PDF:Sagittaria sanfordii
zips/2025040210/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Public Review Draft ISMND_Osborn Park Expansion_April 2025.PDF:Neostapfia colusana
zips/2025040223/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/S-2022-02416 Combined MND-IS-MMP.PDF:wetland” plant species, dwarf woolyheads (Psilocarphus brevissimus), was identifiable within tire ruts
zips/2025040223/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/S-2022-02416 Combined MND-IS-MMP.PDF:Dwarf woolyheads (Psilocarphus brevissimus)
zips/2025040223/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/S-2022-02416 Combined MND-IS-MMP.PDF:Redding Checkerbloom (Sidalcea celata)
zips/2025040223/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/S-2022-02416 Combined MND-IS-MMP.PDF:Henderson’s Bent Grass (Agrostis hendersonii)
zips/2025040223/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/S-2022-02416 Combined MND-IS-MMP.PDF:Sidalcea celata
zips/2025040223/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/S-2022-02416 Combined MND-IS-MMP.PDF:Iris bracteata
zips/2025040223/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/S-2022-02416 Combined MND-IS-MMP.PDF:Orcuttia tenuis
zips/2025040223/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/S-2022-02416 Combined MND-IS-MMP.PDF:Sidalcea celata
zips/2025040223/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/S-2022-02416 Combined MND-IS-MMP.PDF:Agrostis hendersonii
zips/2025040223/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/S-2022-02416 Combined MND-IS-MMP.PDF:Zika, Peter F. 2015, Juncus leiospermus var. leiospermus, in Jepson Flora Project (eds.) Jepson
zips/2025040223/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/S-2022-02416 Combined MND-IS-MMP.PDF:Agrostis hendersonii
zips/2025040223/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/S-2022-02416 Combined MND-IS-MMP.PDF:Juncus leiospermus var.
zips/2025040223/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/S-2022-02416 Combined MND-IS-MMP.PDF:IBrodiaea matsonii
zips/2025040224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Biology Study Report.PDF:(Heteromeles arbutifolia), Johnston’s honeysuckle (Lonicera subspicata var. denudata), Coast
zips/2025040224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Biology Study Report.PDF:Dominant species in the project area included Decumbent goldenbush (Isocoma menziesii var.
zips/2025040224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Biology Study Report.PDF:Rare Plant Rank 1B.2. A single Torrey Pine (Pinus torreyana ssp. torreyana) appears to be an
zips/2025040224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Biology Study Report.PDF:lichen (Texosporium sancti-jacobi), Ashy spike moss (Selaginella cinerascens), Coast barrel
zips/2025040224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Biology Study Report.PDF:cactus (Ferocactus viridescens var. viridescens), California adolphia (Adolphia californica),
zips/2025040224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Biology Study Report.PDF:Western dichondra/ponyfoot (Dichondra occidentalis), Wart-stem lilac (Ceanothus verrucosus),
zips/2025040224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Biology Study Report.PDF:and Nuttall's scrub oak (Quercus dumosa). All seven of these species occur in other areas of the
zips/2025040224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Biology Study Report.PDF:Torrey Pine (Pinus torreyana ssp. torreyana)
zips/2025040224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Biology Study Report.PDF:Torrey pines (Pinus torreyana ssp. torreyana) are perennial evergreen trees mostly associated
zips/2025040224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Biology Study Report.PDF:continued existence of this species. The single Torrey Pine (Pinus torreyana ssp. torreyana) tree
zips/2025040224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Biology Study Report.PDF:Pinus torreyana Carrière subsp. torreyana Torrey Pine
zips/2025040224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Biology Study Report.PDF:Corethrogyne filaginifolia (Hook. & Arn.) California Aster
zips/2025040224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Biology Study Report.PDF:Isocoma menziesii (Hook. & Arn.) G.L.
zips/2025040224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Biology Study Report.PDF:Isocoma menziesii (Hook. & Arn.) G.L.
zips/2025040224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Biology Study Report.PDF:Lonicera subspicata Hook. & Arn. var.
zips/2025040224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Biology Study Report.PDF:Calystegia macrostegia (Greene) Brummitt Morning-Glory
zips/2025040224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Biology Study Report.PDF:(Isocoma menziesii var. decumbens), Blue-eyed grass (Sisyrinchium bellum), Common goldenstar
zips/2025040224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Biology Study Report.PDF:Adolphia californica
zips/2025040224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Biology Study Report.PDF:Aphanisma blitoides
zips/2025040224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Biology Study Report.PDF:Artemisia palmeri
zips/2025040224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Biology Study Report.PDF:Atriplex coulteri
zips/2025040224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Biology Study Report.PDF:Atriplex pacifica
zips/2025040224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Biology Study Report.PDF:Brodiaea orcuttii
zips/2025040224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Biology Study Report.PDF:Ceanothus verrucosus
zips/2025040224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Biology Study Report.PDF:Comarostaphylis diversifolia
zips/2025040224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Biology Study Report.PDF:Corethrogyne filaginifolia
zips/2025040224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Biology Study Report.PDF:Dudleya brevifolia
zips/2025040224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Biology Study Report.PDF:Dudleya variegata
zips/2025040224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Biology Study Report.PDF:Dudleya viscida
zips/2025040224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Biology Study Report.PDF:Euphorbia misera
zips/2025040224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Biology Study Report.PDF:Ferocactus viridescens
zips/2025040224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Biology Study Report.PDF:Heterotheca sessiliflora
zips/2025040224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Biology Study Report.PDF:Isocoma menziesii
zips/2025040224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Biology Study Report.PDF:Leptosyne maritima
zips/2025040224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Biology Study Report.PDF:Quercus dumosa
zips/2025040224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Biology Study Report.PDF:Senecio aphanactis
zips/2025040224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:Plant Rank 1B.2. A single Torrey Pine (Pinus torreyana ssp. torreyana) appears to be an intrusive tree
zips/2025040224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:existence of this species. The single Torrey Pine (Pinus torreyana ssp. torreyana) tree is within the
zips/2025040224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Draft Mitigated Negative Declaration.PDF:could provide resources include Decumbent goldenbush (Isocoma menziesii var. decumbens), Blueeyed grass (Sisyrinchium bellum), Common goldenstar (Bloomeria crocea var. crocea), and Checkerbloom (Sidalcea sparsifolia). In the Non-native Grassland habitat Hottentot-fig (Carpobrotus edulis)
