zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Initial Study MND.PDF:and with, golden aster (Heterotheca sessiliflora).
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Initial Study MND.PDF:(Agrostis blasdalei}, as shown in Figure 3, Existing and Proposed Development Relative
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Initial Study MND.PDF:(Erysimum concinnum), as shown in Figure 3, Existing and Proposed Development
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Initial Study MND.PDF:(Hesperevax sparsiflora ssp. brevifoliata) as shown in Figure 3, Existing and Proposed
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:and with, golden aster (Heterotheca sessiliflora).
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:(Agrostis blasdalei}, as shown in Figure 3, Existing and Proposed Development Relative
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:(Erysimum concinnum), as shown in Figure 3, Existing and Proposed Development
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:(Hesperevax sparsiflora ssp. brevifoliata) as shown in Figure 3, Existing and Proposed
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Hesperevax sparsiflora var. brevifolia
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Headland wallflower (Erysimum concinnum), short-leaved evax (Hesperevax sparsiflora var. brevifolia),
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Blasedale's bentgrass (Agrostis blasdalei), Mendocino coast paintbrush (Castilleja mendocinensis),
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:perennial goldfield (Lasthenia californica ssp. macrantha), and north coast phacelia (Phacelia insularis var.
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Coastal bluff morning glory (Calystegia purpurata ssp. saxicola) also generally occurs in coastal bluff scrub,
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Howell's spineflower (Chorizanthe howelli1), pink sand verbena (Abronia umbellata var. breviflora), and
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Point Reyes horkelia (Horkelia marinensis) generally occur in coastal dunes or sandy flats. While the sandy
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Oregon coast paintbrush (Castilleja litoralis) was documented in the California Natural Diversity Database
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Seacoast ragwort (Packera bolanderi var. bolanderi) generally occurs on wet cliffs within coastal forest.
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Swamp harebell (Campanula californica) and coast lily (Lilium maritimum) generally occur within wetlands.
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:(Eschscholzia californica), and checker mallow ( Sidalcea malviflora ssp. malviflora). Also present
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Packera bolanderi var.
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:beach Pinus contorta
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Figure 8. Headland wallflower (Erysimum concinnum) along the bluffedge at the western edge ofthe subject parcel.
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Ramalina thrausta
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Angelica lucida
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:_Blennosperma nanum var. robustum
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Erigeron supplex
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Hesperevax sparsiflora var. brevifolia
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Microseris borealis
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Packera bolanderi var, bolanderi
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Erysimum concinnum
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Erysimum menziesii
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Campanula californica
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Cuscuta pacifica var. papillata
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Cornus unalaschkensis
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Carex californica
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Carex livida
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Astragalus agnicidus
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Hosackia gracilis
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Phacelia insularis var. continentis
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Juncus supiniformis
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Lilium rubescens
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Lycopodium clavatum
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Sidalcea malachroides
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Sidalcea malviflora ssp. patula
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Veratrum fimbriatum
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Clarkia amoena sso. whitnevi
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Castilleja ambigua var. ambigua
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Pinus contorta ssp. bolanderi
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Agrostis blasdalei
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Calamagrostis bolanderi
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Pleuropogon refractus
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Puccinellia pumila
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Gilia capitata ssp. pacifica
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Gilia millefoliata
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Leptosiphon latisectus
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Chorizanthe howellii
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Coptis laciniata
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Ceanothus gloriosus var. exaltatus
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Ceanothus gloriosus var. gloriosus
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Horkelia marinensis
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Sanguisorba officinalis
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Mitellastra caulescens
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Tiarella trifoliata var. tri foliata
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Viola palustris
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Goldenaster (Heterotheca sessiliflora) is a perennial herbaceous plant species that is
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:Restoration of, and with, Heterotheca sessiliflora is less well known but these plants
zips/2025070857/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CDPM_2024-0007 Staff Report.PDF:retention. Heterotheca sessiliflora may be available at native plant nurseries.
zips/2025070904/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_Combined_Final_OCR.PDF:three-awned grama (Bouteloua trifida) – CRPR 2B.3
zips/2025070904/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_Combined_Final_OCR.PDF:Emory’s crucifixion-thorn (Castela emoryi) – CRPR 2B.2
zips/2025070904/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_Combined_Final_OCR.PDF:glandular ditaxis (Ditaxis claryana) – CRPR 2B.2
zips/2025070904/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_Combined_Final_OCR.PDF:Wright’s jaffueliobryum moss (Jaffueliobryum wrightii) – CRPR 2B.3
zips/2025070904/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_Combined_Final_OCR.PDF:spiny-hair blazing star (Mentzelia tricuspis) – CRPR 2B.1
zips/2025070904/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_Combined_Final_OCR.PDF:creamy blazing star (Mentzelia tridentata) – CRPR 1B.3
zips/2025070904/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_Combined_Final_OCR.PDF:desert beardtongue (Penstemon pseudospectabilis ssp. pseudospectabilis) – CRPR 2B.2
zips/2025070904/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_Combined_Final_OCR.PDF:Arizona pholistoma (Pholistoma auritum var. arizonicum) – CRPR 2B.3
zips/2025070904/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_Combined_Final_OCR.PDF:narrow-leaved psorothamnus (Psorothamnus fremontii var. attenuatus) – CRPR 2B.3
zips/2025070904/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_Combined_Final_OCR.PDF:Cove’s cassia (Senna covesii) – CRPR 2B.2
zips/2025070904/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices_Combined_Final_OCR.PDF:Ferocactus viridescens
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Balsamorhiza lanata
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Balsamorhiza sericea
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Botrychium pinnatum
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Calochortus persistens
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Chaenactis suffrutescens
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Eriogonum umbellatum var. lautum
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Eriogonum ursinum var. erubescens
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Erythronium hendersonii
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Eurybia merita
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Frasera albicaulis var. modocensis
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Galium serpenticum ssp. scotticum
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Hymenoxys lemmonii
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Juncus dudleyi
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Limnanthes floccosa ssp. floccosa
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Lomatium peckianum
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Mitellastra caulescens
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Orthocarpus pachystachyus
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Phacelia greenei
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Phlox hirsuta
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Polemonium carneum
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Ptilidium californicum
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Sabulina howellii
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Scirpus pendulus
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Sidalcea oregana ssp. eximia
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Smilax jamesii
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Trifolium siskiyouense
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Eurybia merita subalpine
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Juncus dudleyi Dudley's rush Juncaceae
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Phlox hirsuta
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Yreka Phlox Phlox hirsuta
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:[Pinus radiata], Monterey cypress [Hesperocyparis macrocarpa], and
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Balsamorhiza lanata
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Balsamorhiza sericea
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Botrychium pinnatum
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Eriogonum ursinum
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Eurybia merita
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Frasera albicaulis var.
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Galium serpenticum
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Hymenoxys lemmonii
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Juncus dudleyi
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Lomatium peckianum
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Phacelia greenei
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Phlox hirsuta
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Sabulina howellii
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Scirpus pendulus
zips/2025070908/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SVID_ISMND_14July2025_clean - OCR.PDF:Sidalcea oregana
zips/2025070909/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SPR 24-010 Initial Study.PDF:(Centromadia pungens ssp.
