zips/2025020146/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Modesto-Tivoli-Martin_IS-MND_public 2-5-25.PDF:Astragalus tener var.
zips/2025020146/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Modesto-Tivoli-Martin_IS-MND_public 2-5-25.PDF:Orcuttia inaequalis
zips/2025020146/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Modesto-Tivoli-Martin_IS-MND_public 2-5-25.PDF:Atriplex subtilis
zips/2025020127/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/NCFD IS-MND Public Draft 2025-02-04 ocr.PDF:beak (Chloropyron palmatum) and hairy Orcutt grass (Orcuttia pilosa) are federally and
zips/2025020127/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/NCFD IS-MND Public Draft 2025-02-04 ocr.PDF:Atriplex cordulata var.
zips/2025020127/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/NCFD IS-MND Public Draft 2025-02-04 ocr.PDF:Atriplex cordulata var.
zips/2025020127/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/NCFD IS-MND Public Draft 2025-02-04 ocr.PDF:Atriplex depressa
zips/2025020127/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/NCFD IS-MND Public Draft 2025-02-04 ocr.PDF:Atriplex minuscula
zips/2025020127/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/NCFD IS-MND Public Draft 2025-02-04 ocr.PDF:Atriplex persistens
zips/2025020127/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/NCFD IS-MND Public Draft 2025-02-04 ocr.PDF:Atriplex cordulata var.
zips/2025020127/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/NCFD IS-MND Public Draft 2025-02-04 ocr.PDF:Atriplex subtilis
zips/2025020127/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/NCFD IS-MND Public Draft 2025-02-04 ocr.PDF:Lasthenia chrysantha
zips/2025020127/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/NCFD IS-MND Public Draft 2025-02-04 ocr.PDF:Layia munzii
zips/2025020127/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/NCFD IS-MND Public Draft 2025-02-04 ocr.PDF:Orcuttia pilosa
zips/2025020127/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/NCFD IS-MND Public Draft 2025-02-04 ocr.PDF:Puccinellia simplex
zips/2025020127/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/NCFD IS-MND Public Draft 2025-02-04 ocr.PDF:Sagittaria sanfordii
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:button celery (Eryngium constancei) a federal and state endangered plant. The vernal
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:(Arctostaphylos manzanita ssp. manzanita) , toyon (Heteromeles arbutifolia), and
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Grimmia torenii
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Arabis oregana
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Calamagrostis ophitidis
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Ceanothus confusus
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Ceanothus divergens
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Cordylanthus tenuis ssp.
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Cordylanthus tenuis ssp.
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Delphinium uliginosum
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Erigeron greenei
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Eriogonum nervulosum
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Eryngium constancei
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Erythranthe nudata
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Erythronium helenae
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Grimmia torenii
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Hesperolinon adenophyllum
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Hesperolinon bicarpellatum
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Leptosiphon grandiflorus
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Leptosiphon jepsonii
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Lupinus sericatus
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Navarretia leucocephala ssp.
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Penstemon newberryi var.
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Sidalcea oregana ssp.
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Streptanthus brachiatus ssp.
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Streptanthus brachiatus ssp.
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Streptanthus hesperidis
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Chlorogalum pomeridianum
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Arctostaphylos manzanita ssp. elegans
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Arctostaphylos stanfordiana ssp. raichei
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Brasenia schreberi
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Calochortus uniflorus
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Cordylanthus tenuis ssp. brunneus
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Eryngium constancei
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Hemizonia congesta ssp. ca/ycu/ata
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Lasthenia burkei
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Limnanthes floccosa ssp. f/occosa
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Lomatium repostum
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Myosurus minimus ssp. apus
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Potamogeton zosteriformis
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Toxicoscordion fontanum
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Viburnum ellipticum
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Amorpha californica var. napensis
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Arctostaphylos manzanita ssp. elegans
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Astragalus rattanii var. Jepson/anus
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Brodiaea leptandra
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Calochortus uniflorus
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Calyptridium quadripetalum
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Ceanothus confusus
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Ceanothus divergens
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Ceanothus purpureus
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Ceanothus sonomensis
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Cordylanthus tenuis ssp. brunneus
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Delphinium uliginosum
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Erigeron biolettii
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Erigeron greenei
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Eriogonum umbellatum var. bahiiforme
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Erythranthe nudata
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Erythronium helenae
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Harmonia nutans
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Hesperolinon sharsmithiae
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Juncus luciensis
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Lomatium hooveri
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Lomatium repostum
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Lupinus sericatus
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Navarretia myersii ssp. deminuta
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Navarretia paradoxinota
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Penstemon newberryi var. sonomensis
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Ribes victoris
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Streptanthus brachiatus ssp. brachiatus
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Streptanthus hesperidis
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Streptanthus morrisonii Hp. e/atus
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Streptanthus vernalis
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Trichostema ruygtii
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Astragalus breweri
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Calamagrostis ophitidis
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Erythronium helenae
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Lasthenia burkei
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Leptosiphon jepsonii
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Lomatium repostum
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Streptanthus brachiatus ssp. hoffmanii
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Streptanthus glandulosus ssp. hoffmanii
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Amsinckia lunaris
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Arctostaphylos manzanita ssp. e/egans
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Brasenia schreberi
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Calyptridium quadripetalum
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Cordylanthus tenuis ssp. brunneus
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Horkelia bolanderi
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Lasthenia burkei
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Lomatium repostum
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Lupinus sericatus
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Micropus amphibolus
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Orcuttia tenuis
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Penstemon newberryi var. sonomensif
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Potamogeton zosteriformis
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Sidalcea oregana ssp. hydrophila
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Streptanthus barbiger
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Trichostema ruygtii
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Amsinckia lunaris
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Astragalus rattanii var. jepsonianus
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Delphinium uliginosum
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Fritillaria pluriflora
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Hesperolinon sharsmithiae
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Lasthenia burkei
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Lomatium hooveri
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Lomatium repostum
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Potamogeton zosteriformis
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Sidalcea keckii
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Amsinckia lunaris
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Astragalus breweri
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Astragalus rattanii var. jepsonianus
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Calochortus uniflorus
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Collomia diversifolia
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Delphinium uliginosum
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Erigeron greenei
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Erythranthe nudata
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Erythronium helenae
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Hemizonia congesta Hp. congesta
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Hesperolinon bicarpellatum
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Lasthenia burkei
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Leptosiphon jepsonii
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Lomatium repostum
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Navarretia cotulifolia
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Navarretia jepsonii
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Navarretia paradoxinota
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Orcuttia tenuis
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Streptanthus hesperidis
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Trifolium hydrophilum
zips/2024050605/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment 3 Bio Study.PDF:Arctostaphylos manzanita ssp. elegans
