zips/2025030567/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_ENCSD Nitrate Pipeline Project.PDF:A total of two plant species, California jewelflower (Caulanthus californicus) and Bakersfield cactus
zips/2025030567/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_ENCSD Nitrate Pipeline Project.PDF:Astragalus hornii var. hornii
zips/2025030567/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_ENCSD Nitrate Pipeline Project.PDF:Navarretia setiloba
zips/2025030567/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_ENCSD Nitrate Pipeline Project.PDF:Opuntia basilaris var. treleasei
zips/2025030567/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_ENCSD Nitrate Pipeline Project.PDF:Pseudobahia peirsonii
zips/2025030567/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_ENCSD Nitrate Pipeline Project.PDF:Puccinellia simplex
zips/2025030567/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_ENCSD Nitrate Pipeline Project.PDF:Stylocline citroleum
zips/2025030567/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_ENCSD Nitrate Pipeline Project.PDF:Tortula californica
zips/2025030567/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_ENCSD Nitrate Pipeline Project.PDF:Clarkia exilis
zips/2025030567/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_ENCSD Nitrate Pipeline Project.PDF:Layia munzii
zips/2025030567/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_ENCSD Nitrate Pipeline Project.PDF:California Jewelflower Caulanthus californicus
zips/2025030567/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_ENCSD Nitrate Pipeline Project.PDF:Opuntia basilaris
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment C - Initial Study Mitigated Negative Declaration OCR.PDF:Woodrush tarweed (Hemizonia congesta ssp. luzulifolia) was in bloom and identified during this survey.
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Allium peninsulare var. franciscanum
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Alopecurus aequalis var. sonomensis
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Amorpha californica var. napensis
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Amsinckia lunaris
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Arctostaphylos stanfordiana ssp.
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Astragalus claranus
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Astragalus tener var. tener
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Balsamorhiza macrolepis
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Blennosperma bakeri
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Brodiaea leptandra
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Castilleja ambigua var. meadii
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Ceanothus confusus
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Ceanothus divergens
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Ceanothus purpureus
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Ceanothus sonomensis
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Centromadia parryi ssp. parryi
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Downingia pusilla
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Erigeron greenei
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Eryngium constancei
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Eryngium jepsonii
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Extriplex joaquinana
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Fritillaria liliacea
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Hemizonia congesta ssp. congesta
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Hesperolinon sharsmithiae
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Horkelia tenuiloba
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Lasthenia burkei
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Lasthenia conjugens
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Lathyrus jepsonii var. jepsonii
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Layia septentrionalis
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Leptosiphon jepsonii
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Lessingia hololeuca
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Limnanthes vinculans
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Lupinus sericatus
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Micropus amphibolus
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Navarretia leucocephala ssp. bakeri
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Navarretia leucocephala ssp. pauciflora
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Penstemon newberryi var. sonomensis
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Plagiobothrys hystriculus
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Plagiobothrys strictus
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Poa napensis
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Sagittaria sanfordii
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Sidalcea hickmanii ssp. napensis
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Sidalcea oregana ssp. hydrophila
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Sidalcea oregana ssp. valida
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Spergularia macrotheca var. longistyla
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Streptanthus hesperidis
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Symphyotrichum lentum
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Trichostema ruygtii
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Trifolium amoenum
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Trifolium hydrophilum
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Viburnum ellipticum
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Bent-flowered fiddleneck (Amsinckia lunaris) is not state or federally listed, but it is classified as a CRPR
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Narrow-anthered brodiaea (Brodiaea leptandra) is not federally or state listed, but it is classified as a CRPR
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Congested-head hayfield tarweed (Hemizonia congesta ssp. congesta) is not federally or state listed, but it
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:conducted during the blooming season. The closely related Woodrush tarweed (Hemizonia congesta ssp.
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Jepson's leptosiphon (Leptosiphon jepsonii) is not state or federally listed, but it is classified as a CRPR List
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Cobb Mountain lupine (Lupinus sericatus) is not a state or federally listed species but is classified as a
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Allium peninsulare var. franciscanum
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Alopecurus aequalis var. sonomensis
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Amorpha californica var. napensis
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Amsinckia lunaris
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Arctostaphylos stanfordiana ssp. decumbens
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Astragalus claranus
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Astragalus tener var. tener
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Balsamorhiza macrolepis
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Blennosperma bakeri
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Brodiaea leptandra
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Castilleja ambigua var. meadii
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Ceanothus confusus
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Ceanothus divergens
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Ceanothus purpureus
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Ceanothus sonomensis
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Centromadia parryi ssp. parryi
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Downingia pusilla
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Erigeron biolettii
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Erigeron greenei
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Eryngium constancei
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Eryngium jepsonii
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Extriplex joaquinana
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Fritillaria liliacea
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Hemizonia congesta ssp. congesta
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Hesperolinon sharsmithiae
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Horkelia tenuiloba
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Lasthenia burkei
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Lasthenia conjugens
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Lathyrus jepsonii var. jepsonii
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Layia septentrionalis
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Leptosiphon jepsonii
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Lessingia hololeuca
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Limnanthes vinculans
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Lupinus sericatus
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Micropus amphibolus
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Navarretia leucocephala ssp. bakeri
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Navarretia leucocephala ssp. pauciflora
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Navarretia rosulata
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Penstemon newberryi var. sonomensis
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Plagiobothrys strictus
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Poa napensis
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Puccinellia simplex
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Sagittaria sanfordii
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Sidalcea hickmanii ssp. napensis
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Sidalcea oregana ssp. hydrophila
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Sidalcea oregana ssp. valida
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Spergularia macrotheca var. longistyla
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Streptanthus hesperidis
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Symphyotrichum lentum
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Trichostema ruygtii
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Trifolium amoenum
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Trifolium hydrophilum
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Viburnum ellipticum
zips/2025030568/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment H_Updated Biological Resources Assessment OCR.PDF:Hemizonia congesta subsp. luzulifolia
