zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Astragalus tener var.
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Astragalus tener var. tener
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Atriplex cordulata var. cordulata
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Atriplex depressa
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Atriplex persistens
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Centromadia parryi ssp. parryi
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Chloropyron molle ssp. hispidum
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Cicuta maculata var. bolanderi
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Delphinium recurvatum
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Downingia pusilla
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Extriplex joaquinana
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Fritillaria liliacea
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Fritillaria pluriflora
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Gratiola heterosepala
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Hesperolinon breweri
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Hibiscus lasiocarpos var. occidentalis
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Isocoma arguta
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Lasthenia chrysantha
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Lasthenia conjugens
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Lasthenia glabrata ssp. coulteri
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Lathyrus jepsonii var. jepsonii
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Layia septentrionalis
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Lepidium latipes var. heckardii
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Leptosiphon jepsonii
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Limosella australis
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Navarretia leucocephala ssp. bakeri
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Neostapfia colusana
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Orcuttia inaequalis
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Plagiobothrys hystriculus
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Puccinellia simplex
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Sidalcea keckii
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Stuckenia filiformis ssp. alpina
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Symphyotrichum lentum
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Trifolium amoenum
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Trifolium hydrophilum
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Tuctoria mucronata
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Viburnum ellipticum
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Arabis modesta
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Astragalus tener Ferris' milkvar. ferrisiae
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Astragalus tener alkali milkvar. tener
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Atriplex depressa brittlescale
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Cicuta maculata Bolander's
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Fritillaria agrestis stinkbells
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Fritillaria liliacea fragrant
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Isocoma arguta
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Lathyrus jepsonii Delta tule pea Fabaceae
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Lepidium latipes Heckard's
zips/2025040850/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C Biological Resources Technical Materials.PDF:Sidalcea keckii
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/00 Initial Study_1510 Acquisition_P24-00015-ECPA_ocr.PDF:proposed development area: Napa false-indigo (Amorpha californica var. napensis), Rincon Ridge manzanita
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/00 Initial Study_1510 Acquisition_P24-00015-ECPA_ocr.PDF:(Arctostaphylos stanfordiana ssp. decumbens), Brewer’s milkvetch (Astragalus breweri), Clara Hunt’s milkvetch
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/00 Initial Study_1510 Acquisition_P24-00015-ECPA_ocr.PDF:(Astragalus claranus), narrow-anthered brodiaea (Brodiaea leptandra), Rincon Ridge ceanothus (Ceanothus
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/00 Initial Study_1510 Acquisition_P24-00015-ECPA_ocr.PDF:confusus), Calistoga ceanothus (Ceanothus divergens), holly-leaved ceanothus (Ceanothus purpureus), Sonoma
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/00 Initial Study_1510 Acquisition_P24-00015-ECPA_ocr.PDF:ceanothus (Ceanothus sonomensis), streamside daisy (Erigeron bioletti), Jepson’s leptosiphon (Leptosiphon jepsonii),
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/00 Initial Study_1510 Acquisition_P24-00015-ECPA_ocr.PDF:redwood lily (Lilium rubescens), Napa lomatium (Lomatium repostum), green monardella (Monardella viridis), Cobb
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/00 Initial Study_1510 Acquisition_P24-00015-ECPA_ocr.PDF:Mountain lupine (Lupinus sericatus), Napa bluecurls (Trichostema ruygtii), and dark-mouthed triteleia (Triteleia lugens).
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Napa lomatium (Lomatium repostum). Non-blooming plants were observed in Calistoga area in
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Narrow-anthered brodiaea (Brodiaea leptandra). Blooming plants were viewed in the Calistoga
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Napa false-indigo (Amorpha californica var. napensis). Viewed in May, June and July 2022 in the
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Calistoga ceanothus (Ceanothus divergens), Rincon Ridge ceanothus (Ceanothus confusus),
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Holly-leaved ceanothus (Ceanothus purpureus) and Sonoma ceanothus (Ceanothus sonomensis).
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Leptosiphon jepsonii
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:VII-7a: Napa false-indigo (Amorpha californica var. napensis) – High Potential to Occur
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:VII-7b: Rincon Ridge manzanita (Arctostaphylos stanfordiana ssp. decumbens) – High Potential to Occur
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:rarely exceeding 3 feet in height. It is very similar to Arctostaphylos stanfordiana ssp. stanfordiana, and
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:VII-7c: Brewer’s milkvetch (Astragalus breweri) – High Potential to Occur
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:VII-7d: Clara Hunt’s milkvetch (Astragalus claranus) – High Potential to Occur
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:VII-7e: Narrow-anthered brodiaea (Brodiaea leptandra) – High Potential to Occur
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:VII-7f: Rincon Ridge ceanothus (Ceanothus confusus) – High Potential to Occur
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:VII-7g: Calistoga ceanothus (Ceanothus divergens) – High Potential to Occur
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:VII-7h: Holly-leaved ceanothus (Ceanothus purpureus) – High Potential to Occur
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:VII-7i: Sonoma ceanothus (Ceanothus sonomensis)
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:VII-7k: Jepson’s leptosiphon (Leptosiphon jepsonii) – Moderate Potential to Occur
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:VII-7l: Redwood lily (Lilium rubescens) – High Potential to Occur
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:VII-7m: Napa lomatium (Lomatium repostum) – High Potential to Occur
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:VII-7n: Green monardella (Monardella viridis) – High Potenial to Occur
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:VII-7o: Cobb Mountain lupine (Lupinus sericatus) – High Potential to Occur
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:VII-7p: Napa bluecurls (Trichostema ruygtii) – High Potential to Occur
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:VII-7q: Dark-mouthed triteleia (Triteleia lugens) – High Potential to Occur
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Amorpha californica
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Amsinckia lunaris*
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Astragalus breweri* Brewer's milk-vetch
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Astragalus claranus*
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Castilleja ambigua
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Centromadia parryi
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Erigeron biolettii*
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Harmonia nutans*
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Lasthenia burkei**
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Lilium rubescens*
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Lupinus sericatus**
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Monardella viridis*
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Poa napensis**
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Trichostema ruygtii* Napa bluecurls
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Triteleia lugens*
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Amorpha californica
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Astragalus breweri* Brewer's milk-vetch
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Astragalus claranus*
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Centromadia parryi
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Erigeron biolettii*
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Lasthenia burkei**
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Lilium rubescens*
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Lupinus sericatus**
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Monardella viridis*
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Poa napensis**
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Trichostema ruygtii* Napa bluecurls
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Triteleia lugens*
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Rhus aromatica
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Eriophyllum lanatum var. achilloides yarrow-leaved sunflower
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Calystegia collina ssp. collina
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Galium californicum var.
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Chlorogalum pomeridianum var.
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Carex lyngbyei
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Darlingtonia californica
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Pinus contorta ssp. contorta
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Pinus muricata - Pinus radiata
zips/2025040851/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Exh B - Biological Resource Survey_ocr.PDF:Burke's Goldfields Lasthenia burkei
