zips/2026010583/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/02 Adams Pond IS-MND - for PUBLIC REVIEW - 2026 01 15.PDF:Astragalus rattanii
zips/2026010607/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ramirez TSM_Public Review Draft_ISMND_OCR.PDF:Atriplex cordulata var. erecticaulis
zips/2026010607/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ramirez TSM_Public Review Draft_ISMND_OCR.PDF:Sidalcea keckii
zips/2026010607/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ramirez TSM_Public Review Draft_ISMND_OCR.PDF:Clarkia springvillensis
zips/2026010607/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ramirez TSM_Public Review Draft_ISMND_OCR.PDF:Leptosiphon serrulatus
zips/2026010607/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ramirez TSM_Public Review Draft_ISMND_OCR.PDF:Navarretia nigelliformis ssp. radians
zips/2026010607/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ramirez TSM_Public Review Draft_ISMND_OCR.PDF:Delphinium recurvatum
zips/2026010607/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ramirez TSM_Public Review Draft_ISMND_OCR.PDF:Diplacus pictus
zips/2026010607/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ramirez TSM_Public Review Draft_ISMND_OCR.PDF:Fritillaria striata
zips/2026010607/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ramirez TSM_Public Review Draft_ISMND_OCR.PDF:Puccinellia simplex
zips/2026010607/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ramirez TSM_Public Review Draft_ISMND_OCR.PDF:San Joaquin Adobe Sunburst Pseudobahia peirsonii
zips/2026010607/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Ramirez TSM_Public Review Draft_ISMND_OCR.PDF:Springville Clarkia Clarkia springvillensis
