zips/2025060451/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Biological Records Search.PDF:Aphanisma blitoides
zips/2025060451/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Biological Records Search.PDF:Nama stenocarpa
zips/2025060451/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Biological Records Search.PDF:Navarretia fossalis
zips/2025060451/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Biological Records Search.PDF:Navarretia prostrata
zips/2025060451/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Biological Records Search.PDF:Orcuttia californica California Orcutt grass
zips/2025060451/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Biological Records Search.PDF:Pentachaeta lyonii
zips/2025060451/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Biological Records Search.PDF:Phacelia stellaris
zips/2025060451/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Biological Records Search.PDF:Potentilla multijuga
zips/2025060451/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C_Biological Records Search.PDF:Suaeda esteroa
zips/2025060452/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_ Biological Resources Assessment.PDF:(Centaurea solstitialis), narrow tarplant (Holocarpha virgata), and filaree (Erodium sp.).
zips/2025060452/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_ Biological Resources Assessment.PDF:Astragalus tener var. tener
zips/2025060452/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_ Biological Resources Assessment.PDF:Atriplex cordulata var. cordulata
zips/2025060452/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_ Biological Resources Assessment.PDF:Blepharizonia plumosa
zips/2025060452/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_ Biological Resources Assessment.PDF:Brasenia schreberi
zips/2025060452/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_ Biological Resources Assessment.PDF:Chloropyron palmatum
zips/2025060452/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_ Biological Resources Assessment.PDF:Cirsium crassicaule
zips/2025060452/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_ Biological Resources Assessment.PDF:Delphinium recurvatum
zips/2025060452/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_ Biological Resources Assessment.PDF:Eryngium racemosum
zips/2025060452/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_ Biological Resources Assessment.PDF:Extriplex joaquinana
zips/2025060452/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_ Biological Resources Assessment.PDF:Hibiscus lasiocarpos var. occidentalis
zips/2025060452/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_ Biological Resources Assessment.PDF:Lathyrus jepsonii var. jepsonii
zips/2025060452/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_ Biological Resources Assessment.PDF:Sagittaria sanfordii
zips/2025060452/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_ Biological Resources Assessment.PDF:Symphyotrichum lentum
zips/2025060452/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_ Biological Resources Assessment.PDF:Trichocoronis wrightii var. wrightii
zips/2025060452/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_ Biological Resources Assessment.PDF:Trifolium hydrophilum
zips/2025060452/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B_ Biological Resources Assessment.PDF:Tropidocarpum capparideum
zips/2025060454/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2025-06-06 P22-04560_Public_IS-MND_Fresno.PDF:project site: Sanford's Arrowhead (Sagittaria sanfordii), a special-status plant species
zips/2025060454/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2025-06-06 P22-04560_Public_IS-MND_Fresno.PDF:Leptosiphon serrulatus
zips/2025060454/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2025-06-06 P22-04560_Public_IS-MND_Fresno.PDF:Imperata brevifolia
zips/2025060454/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/2025-06-06 P22-04560_Public_IS-MND_Fresno.PDF:Sagittaria sanfordii
