zips/2025021019/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/SBCWD_ADRoP_IS_EA_-compressed.PDF:San Joaquin spearscale (Extriplex joaquinana) – CRPR 1B.2
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Layia carnosa
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Lilium kelloggii
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Lilium occidentale
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Lilium rubescens
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Lycopodium clavatum
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Mitellastra caulescens
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Montia howellii
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Oenothera wolfii
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Packera bolanderi var.
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Pityopus californicus
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Pleuropogon refractus
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Polemonium carneum
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Puccinellia pumila
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Ribes laxiflorum
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Ribes roezlii var. amictum
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Sidalcea malachroides
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Sidalcea malviflora ssp. patula
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Sidalcea oregana ssp. eximia
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Sisyrinchium hitchcockii
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Spergularia canadensis var.
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Tiarella trifoliata var. trifoliata
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Usnea longissima
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Harlequin lotus (Hosackia gracilis) CRPR 4.2
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Maple-leaved checkerbloom (Sidalcea malachroides) CRPR 4.2
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Siskiyou checkerbloom (Sidalcea malviflora ssp. patula) CRPR 1B.2
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Kellogg’s lily (Lilium kelloggii) CRPR 4.3
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Leafy stemmed mitrewort (Mitellastra caulescens) CRPR 4.2
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Pacific golden saxifrage (Chrysosplenium glechomifolium) CRPR 4.3
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Trailing black currant (Ribes laxiflorum) CRPR 4.3
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Western Lily Lilium occidentale
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Pinus radiata
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Lyonothamnus floribundus
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Glehnia littoralis
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Layia carnosa
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Carex leptalea
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Gilia millefoliata
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Ribes roezlii var.
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Montia howellii
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Lilium kelloggii
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Carex lyngbyei
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Castilleja litoralis
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Gilia capitata
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Angelica lucida
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Collomia tracyi
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Ribes laxiflorum
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Tiarella trifoliata
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Clarkia amoena
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Oenothera wolfii
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Beach layia (Layia carnosa) is listed as federally threatened, state endangered, and has
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Menzies' wallflower (Erysimum menziesii) is listed as federally endangered, state
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Western lily (Lilium occidentale) is listed as federally endangered, state endangered,
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Western Lily Lilium occidentale
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Pinus radiata
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Lyonothamnus floribundus
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:including Monterrey pine x knobcone pine hybrids (Pinus attenuata x Pinus radiata) and redwood (Sequoia
zips/2025021014/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/12th Street ISMND_Appendicies.PDF:Pinus radiata x P. attenuata
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Abronia umbellata var.
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Agrostis blasdalei
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Allium peninsulare var.
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Alopecurus aequalis var.
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Amorpha californica var.
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Amsinckia lunaris
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Arabis blepharophylla
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Arctostaphylos montana
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Arctostaphylos virgata
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Astragalus pycnostachyus coastal marsh
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Astragalus tener var. tener alkali milk-vetch None
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Blennosperma bakeri
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Brodiaea leptandra
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Calamagrostis bolanderi
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Calamagrostis ophitidis
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Calochortus umbellatus
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Cardamine angulata
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Carex lyngbyei
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Castilleja affinis var.
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Castilleja ambigua var.
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Castilleja ambigua var.
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Ceanothus decornutus
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Ceanothus gloriosus var.
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Ceanothus gloriosus var.
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Ceanothus gloriosus var.
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Ceanothus masonii
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Ceanothus sonomensis
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Centromadia parryi ssp.
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Chloropyron maritimum
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Chloropyron molle ssp.
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Chorizanthe valida
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Cicuta maculata var.
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Cirsium andrewsii
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Cirsium hydrophilum var.
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Delphinium bakeri
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Delphinium luteum
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Dirca occidentalis
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Downingia pusilla
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Eleocharis parvula
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Elymus californicus
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Entosthodon kochii
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Erigeron biolettii
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Eriogonum luteolum var.
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Erysimum concinnum
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Fritillaria liliacea
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Gilia capitata ssp.
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Gilia capitata ssp.
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Grindelia hirsutula var.
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Hemizonia congesta ssp.
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Hesperolinon congestum
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Heteranthera dubia
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Horkelia marinensis
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Hosackia gracilis
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Hypogymnia schizidiata
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Iris longipetala
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Lasthenia burkei
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Lasthenia californica ssp.
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Lasthenia conjugens
zips/2025021012/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MNS21-0002 MND Att 2 Biotic 07.PDF:Leptosiphon grandiflorus
