zips/2025010535/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/8049.PDF:Ranunculus lobbii
zips/2025010519/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendices Combined.PDF:Pinus radiata
zips/2025010510/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MND_OCR.PDF:Big-scale Balsamroot (Balsamorhiza macrolepis) | CRPR 1B.2 | Has occurred in the RSA based on CNPS
zips/2025010510/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MND_OCR.PDF:Dwarf Downingia (Downingia pusilla) | CRPR 2B.2 | Has occurred in the RSA based on CNDDB, CNPS
zips/2025010510/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MND_OCR.PDF:Boggs Lake Hedge-Hyssop (Gratiola heterosepala) | California Endangered, CRPR 1B.2 | Has occurred in
zips/2025010510/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MND_OCR.PDF:Valley Brodiaea (Brodiaea rosea ssp. vallicola) | CRPR 4.2 | Has occurred in the RSA based on CNPS
zips/2025010510/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MND_OCR.PDF:Stinkbells (Fritillaria agrestis) | CRPR 4.2 | Has occurred in the RSA based on CNDDB, CNPS records. 1
zips/2025010510/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MND_OCR.PDF:Hispid Salty Bird's-Beak (Chloropyron molle ssp. hispidum) | CRPR 1B.1 | Has occurred in the RSA based
zips/2025010510/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MND_OCR.PDF:Sanford's Arrowhead (Sagittaria sanfordii) | CRPR 1B.2 | Has occurred in the RSA based on CNDDB,
zips/2025010510/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/MND_OCR.PDF:Red Bluff Dwarf Rush (Juncus leiospermus var. leiospermus) | CRPR 1B.1 | Has occurred in the RSA based
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:(Centromadia pungens).
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:(Lasthenia chrysantha)
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:(Atriplex depressa)
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:(Diplacus pictus)
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:(Puccinellia simplex)
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:(Imperata brevifolia)
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:(Lasthenia glabrata ssp.
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:(Atriplex cordulata var.
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:(Tuctoria greenei)
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:(Euphorbia hooveri)
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:(Brodiaea insignis)
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:(Atriplex minuscula)
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:(Pseudobahia peirsonii)
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:(Orcuttia inaequalis)
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:(Sagittaria sanfordii)
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:(Fritillaria striata)
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:(Atriplex subtilis)
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:(Atriplex persistens)
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:(Helianthus winteri)
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:(Centaurea melitensis), and common spikeweed (Centromadia pungens).
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:(Atriplex depressa)
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:(Diplacus pictus)
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:(Puccinellia simplex)
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:(Imperata brevifolia)
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:(Lasthenia glabrata
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:(Atriplex cordulata
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:(Tuctoria greenei)
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:(Euphorbia hooveri)
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:(Brodiaea insignis)
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:(Atriplex minuscula)
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:(Orcuttia inaequalis)
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:(Sagittaria sanfordii)
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:(Fritillaria striata)
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:(Atriplex subtilis)
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:(Atriplex persistens)
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:(Helianthus winteri)
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:Lasthenia chrysantha
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:Atriplex depressa
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:Diplacus pictus
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:Puccinellia simplex
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:Caulanthus californicus
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:Imperata brevifolia
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:Lasthenia glabrata ssp. coulteri
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:Atriplex cordulata var. erecticaulis
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:Tuctoria greenei
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:Euphorbia hooveri
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:Brodiaea insignis
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:Atriplex minuscula
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:Delphinium recurvatum
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:Pseudobahia peirsonii
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:Orcuttia inaequalis
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:Sagittaria sanfordii
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:Eryngium spinosepalum
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:Fritillaria striata
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:Atriplex subtilis
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:Atriplex persistens
zips/2025010509/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TID MIC Siphons_CEQA_Plus_DRAFT ISMND.PDF:Helianthus winteri
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Allium howellii var. clokeyi
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Ambrosia monogyra
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Ambrosia pumila
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Arenaria paludicola
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Artemisia palmeri
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Asplenium vespertinum
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Astragalus hornii var. hornii
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Abronia villosa var. aurita
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Acanthoscyphus parishii var. parishii
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:utahensis) and Death Valley sage (Salvia funerea).
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Brodiaea filifolia
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Calochortus catalinae
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Calochortus palmeri var. palmeri
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Calochortus plummerae
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Calochortus simulans
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Berberis nevinii
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Bouteloua trifida
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Caulanthus simulans
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Centromadia pungens ssp. laevis
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Chloropyron maritimum ssp.
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Chorizanthe leptotheca
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Chorizanthe parryi var. parryi
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Chorizanthe xanti var. leucotheca
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Carex comosa
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Castilleja lasiorhyncha
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Cuscuta obtusiflora var. glandulosa
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Deinandra paniculata
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Dodecahema leptoceras
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Eriastrum densifolium ssp.
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Eriophyllum lanatum var. obovatum
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Fimbristylis thermalis
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Frasera neglecta
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Convolvulus simulans
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Cryptantha incana
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Galium jepsonii
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Galium johnstonii
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Helianthus nuttallii ssp. parishii
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Heuchera caespitosa
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Heuchera parishii
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Fritillaria pinetorum
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Galium californicum ssp. primum
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Hulsea vestita ssp. parryi
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Imperata brevifolia
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Ivesia argyrocoma var. argyrocoma
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Juglans californica
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Juncus duranii
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Lasthenia glabrata ssp. coulteri
zips/2025010507/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix E - Special Status Species Evaluation.PDF:Hordeum intercedens
