zips/2026060159/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Project Bobcat ISMND_Final 2026-06-03.PDF:(Brasenia schreberi)
zips/2026060207/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/04-0AA53 Draft Initial Study MND_OCR.PDF:Keck’s checkerbloom (Sidalcea keckii), soft bird’s-beak (Chloropyron molle ssp.
zips/2026060207/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/04-0AA53 Draft Initial Study MND_OCR.PDF:molle), Suisun thistle (Cirsium hydrophilum var. hydrophilum), and Mason’s
zips/2026060207/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/04-0AA53 Draft Initial Study MND_OCR.PDF:USFWS’ expectation that Contra Costa goldfield (Lasthenia conjugens) surveys are
zips/2026060207/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/04-0AA53 Draft Initial Study MND_OCR.PDF:Astragalus tener var. tener
zips/2026060207/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/04-0AA53 Draft Initial Study MND_OCR.PDF:Atriplex cordulata var. cordulata
zips/2026060207/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/04-0AA53 Draft Initial Study MND_OCR.PDF:Atriplex depressa
zips/2026060207/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/04-0AA53 Draft Initial Study MND_OCR.PDF:Centromadia parryi ssp. parryi
zips/2026060207/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/04-0AA53 Draft Initial Study MND_OCR.PDF:Chloropyron molle ssp. hispidum
zips/2026060207/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/04-0AA53 Draft Initial Study MND_OCR.PDF:Chloropyron molle ssp. molle
zips/2026060207/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/04-0AA53 Draft Initial Study MND_OCR.PDF:Cicuta maculata var. bolanderi
zips/2026060207/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/04-0AA53 Draft Initial Study MND_OCR.PDF:Cirsium hydrophilum var. hydrophilum
zips/2026060207/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/04-0AA53 Draft Initial Study MND_OCR.PDF:Downingia pusilla
zips/2026060207/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/04-0AA53 Draft Initial Study MND_OCR.PDF:Extriplex joaquinana
zips/2026060207/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/04-0AA53 Draft Initial Study MND_OCR.PDF:Fritillaria liliacea
zips/2026060207/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/04-0AA53 Draft Initial Study MND_OCR.PDF:Isocoma arguta
zips/2026060207/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/04-0AA53 Draft Initial Study MND_OCR.PDF:Lasthenia conjugens
zips/2026060207/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/04-0AA53 Draft Initial Study MND_OCR.PDF:Lasthenia glabrata ssp. coulteri
zips/2026060207/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/04-0AA53 Draft Initial Study MND_OCR.PDF:Lathyrus jepsonii var. jepsonii
zips/2026060207/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/04-0AA53 Draft Initial Study MND_OCR.PDF:Microseris paludosa
zips/2026060207/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/04-0AA53 Draft Initial Study MND_OCR.PDF:Navarretia leucocephala ssp. bakeri
zips/2026060207/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/04-0AA53 Draft Initial Study MND_OCR.PDF:Plagiobothrys hystriculus
zips/2026060207/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/04-0AA53 Draft Initial Study MND_OCR.PDF:Puccinellia simplex
zips/2026060207/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/04-0AA53 Draft Initial Study MND_OCR.PDF:Sidalcea keckii
zips/2026060207/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/04-0AA53 Draft Initial Study MND_OCR.PDF:Symphyotrichum lentum
zips/2026060207/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/04-0AA53 Draft Initial Study MND_OCR.PDF:Contra Costa Goldfields Lasthenia conjugens
zips/2026060207/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/04-0AA53 Draft Initial Study MND_OCR.PDF:Keck's Checker-mallow Sidalcea keckii
zips/2026060207/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/04-0AA53 Draft Initial Study MND_OCR.PDF:Suisun Thistle Cirsium hydrophilum var. hydrophilum
zips/2026060207/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/04-0AA53 Draft Initial Study MND_OCR.PDF:Astragalus tener alkali milk-
zips/2026060207/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/04-0AA53 Draft Initial Study MND_OCR.PDF:Cicuta maculata 8olander's
zips/2026060207/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/04-0AA53 Draft Initial Study MND_OCR.PDF:Fritillaria liliacea fragrant
zips/2026060207/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/04-0AA53 Draft Initial Study MND_OCR.PDF:Sidalcea keckii
