zips/2025080200/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Assessment.PDF:lanceolata), turkey mullein (Croton setiger), curly dock (Rumex crispus), slender tarweed (Holocarpha virgata),
zips/2025080200/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Assessment.PDF:Astragalus tener var. ferrisiae
zips/2025080200/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Assessment.PDF:Woolly rose-mallow (Hibiscus lasiocarpos var. occidentalis) is not state or federally listed, but it is classified
zips/2025080200/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Assessment.PDF:Astragalus tener var.
zips/2025080200/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Assessment.PDF:Lasthenia chrysantha
zips/2025080200/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Assessment.PDF:Orcuttia tenuis
zips/2025080200/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Assessment.PDF:Orcuttia viscida
zips/2025080200/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Assessment.PDF:Hibiscus lasiocarpos var. woolly roseoccidentalis
zips/2025080200/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Assessment.PDF:Juncus leiospermus var.
zips/2025080200/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Assessment.PDF:Lepidium latipes var.
zips/2025080200/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Assessment.PDF:Sagittaria sanfordii
zips/2025080200/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Assessment.PDF:Trifolium hydrophilum
zips/2025080200/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Assessment.PDF:Gratiola heterosepala
zips/2025080200/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Assessment.PDF:Carex comosa
zips/2025080200/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Assessment.PDF:Cuscuta obtusiflora var.
zips/2025080200/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Assessment.PDF:Downingia pusilla
zips/2025080200/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Assessment.PDF:Brodiaea rosea ssp.
zips/2025080200/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Assessment.PDF:Centromadia parryi
zips/2025080200/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Assessment.PDF:Fritillaria agrestis
zips/2025080200/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Assessment.PDF:Navarretia eriocephala
zips/2025080200/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix C - Biological Resources Assessment.PDF:Hesperevax caulescens
zips/2025080200/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Creekside at Woodlake Initial Study_08-01-25.PDF:o Stanford’s arrowhead (Sagittaria sanfordii),
zips/2025080200/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Creekside at Woodlake Initial Study_08-01-25.PDF:o Woolly Rose-Mallow (Hibiscus lasiocarpos),
zips/2025080224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Oro de Amador RAP_Draft Final_03.PDF:Ione manzanita (Arctostaphylos myrtifolia);
zips/2025080224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Oro de Amador RAP_Draft Final_03.PDF:Ione buckwheat (Eriogonum apricum var. apricum);
zips/2025080224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Oro de Amador RAP_Draft Final_03.PDF:Parry’s horkelia (Horkelia parryi); and
zips/2025080224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Oro de Amador RAP_Draft Final_03.PDF:Red Hills soaproot (Chlorogalum grandiflorum).
zips/2025080224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/RAP IS NOV2024 Final.PDF:whiteleaf manzanita (Arctostaphylos manzanita). Like the neighboring mineimpacted areas, this habitat supports a number of introduced plant species that are
zips/2025080224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/RAP IS NOV2024 Final.PDF:Ione manzanita (Arctostaphylos myrtifolia)
zips/2025080224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/RAP IS NOV2024 Final.PDF:Ione buckwheat (Eriogonum apricum var. apricum)
zips/2025080224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/RAP IS NOV2024 Final.PDF:Parry’s horkelia (Horkelia parryi)
zips/2025080224/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/RAP IS NOV2024 Final.PDF:Red Hills soaproot (Chlorogalum grandiflorum)
zips/2025080225/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Documentation.PDF:Geum aleppicum
zips/2025080225/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Documentation.PDF:Iliamna bakeri
zips/2025080225/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Documentation.PDF:Meesia uliginosa
zips/2025080225/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Documentation.PDF:Cypripedium californicum
zips/2025080225/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Documentation.PDF:Darlingtonia californica
zips/2025080225/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Documentation.PDF:Cypripedium fasciculatum
zips/2025080225/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Documentation.PDF:Rosa gymnocarpa var.
zips/2025080225/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Documentation.PDF:Claytonia palustris
zips/2025080225/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Documentation.PDF:Scutellaria galericulata
zips/2025080225/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Documentation.PDF:Ophioglossum pusillum
zips/2025080225/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Documentation.PDF:Epilobium oreganum
zips/2025080225/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Documentation.PDF:Ptilidium californicum
zips/2025080225/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Documentation.PDF:Cordylanthus tenuis ssp.
zips/2025080225/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Documentation.PDF:Botrypus virginianus
zips/2025080225/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Documentation.PDF:Orthocarpus bracteosus
zips/2025080225/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Documentation.PDF:Campanula scabrella
zips/2025080225/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Documentation.PDF:Chaenactis suffrutescens
zips/2025080225/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Documentation.PDF:Trifolium siskiyouense
zips/2025080225/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Documentation.PDF:Eriophorum gracile
zips/2025080225/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Documentation.PDF:Eurybia merita
zips/2025080225/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Documentation.PDF:Meesia triquetra
zips/2025080225/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Documentation.PDF:Moneses uniflora
zips/2025080225/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Documentation.PDF:Balsamorhiza lanata
zips/2025080225/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Documentation.PDF:Geum aleppicum
zips/2025080225/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Documentation.PDF:Meesia uliginosa
zips/2025080225/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Documentation.PDF:Erigeron nivalis
zips/2025080225/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Documentation.PDF:Eurybia merita
zips/2025080225/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Documentation.PDF:Erigeron inornatus var. inornatus
zips/2025080225/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Documentation.PDF:Eriophyllum confertiflorum
zips/2025080225/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Documentation.PDF:Hosackia crassifolia
zips/2025080225/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Documentation.PDF:Ribes roezlii var. roezlii
zips/2025080225/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Documentation.PDF:Rhinotropis cornuta var. cornuta
zips/2025080225/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Documentation.PDF:Eriogonum nudum
zips/2025080226/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_OCR.PDF:idahoensis), bluebunch wheatgrass (Pseudoroegneria spicata), and buckbrush (Ceanothus cuneatus).
zips/2025080226/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_OCR.PDF:the assessment, Ashland thistle (Cirsium ciliolatum), alkali hymenoxys (Hymenoxys lemmonii), and
zips/2025080226/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_OCR.PDF:large-flowered triteleia (Triteleia grandiflora) could occur at the project site.
zips/2025080226/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_OCR.PDF:thistle (Cirsium ciliolatum), alkali hymenoxys (Hymenoxys lemmonii), and large-flowered triteleia
zips/2025080226/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_OCR.PDF:(Triteleia grandiflora) could occur at the project site where suitable habitat is present in areas of the
zips/2025080226/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_OCR.PDF:Ashland thistle (Cirsium ciliolatum)
zips/2025080226/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_OCR.PDF:Alkali hymenoxys (Hymenoxys lemmonii)
zips/2025080226/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_OCR.PDF:Large-flowered triteleia (Triteleia grandiflora)
zips/2025080226/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_OCR.PDF:idahoensis), bluebunch wheatgrass (Pseudoroegneria spicata), and buck brush (Ceanothus cuneatus).
zips/2025080226/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_OCR.PDF:Ashland thistle (Cirsium ciliolatum);
zips/2025080226/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_OCR.PDF:Alkali hymenoxys (Hymenoxys lemmonii); and
zips/2025080226/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_OCR.PDF:Large-flowered triteleia (Triteleia grandiflora).
zips/2025080226/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_OCR.PDF:Calochortus greenei
zips/2025080226/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_OCR.PDF:Cirsium ciliolatum
zips/2025080226/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_OCR.PDF:Eurybia merita
zips/2025080226/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_OCR.PDF:Fritillaria gentneri
zips/2025080226/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_OCR.PDF:Meesia uliginosa
zips/2025080226/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_OCR.PDF:Opuntia fragilis
zips/2025080226/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_OCR.PDF:Phlox hirsuta
zips/2025080226/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_OCR.PDF:Scirpus pendulus
zips/2025080226/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_OCR.PDF:Ashland thistle (Cirsium ciliolatum) is a perennial herb that is native to cismontane woodland and
zips/2025080226/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_OCR.PDF:Alkali hymenoxys (Hymenoxys lemmonii) is a perennial herb that is native to Great Basin scrub and
zips/2025080226/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_OCR.PDF:Large-flowered triteleia (Triteleia grandiflora) is a perennial bulbiferous herb that is native to Great
zips/2025080226/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_OCR.PDF:(Ceanothus cuneatus). Impacts to migrating elk will be less than significant.
zips/2025080226/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_OCR.PDF:Ashland thistle (Cirsium ciliolatum)
zips/2025080226/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_OCR.PDF:Alkali hymenoxys (Hymenoxys lemmonii)
zips/2025080226/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/IS_MND_OCR.PDF:Large-flowered triteleia (Triteleia grandiflora)
zips/2025080239/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/HTA Hydrogen Fueling Station IS-MND_FinalDraft_7-31-25.PDF:Sulcaria spiralifera
zips/2025080239/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/HTA Hydrogen Fueling Station IS-MND_FinalDraft_7-31-25.PDF:Hesperevax sparsiflora var. brevifolia
zips/2025080239/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/HTA Hydrogen Fueling Station IS-MND_FinalDraft_7-31-25.PDF:Lasthenia californica ssp. macrantha
zips/2025080239/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/HTA Hydrogen Fueling Station IS-MND_FinalDraft_7-31-25.PDF:Layia carnosa
zips/2025080239/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/HTA Hydrogen Fueling Station IS-MND_FinalDraft_7-31-25.PDF:Erysimum menziesii
zips/2025080239/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/HTA Hydrogen Fueling Station IS-MND_FinalDraft_7-31-25.PDF:Silene scouleri ssp. scouleri
zips/2025080239/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/HTA Hydrogen Fueling Station IS-MND_FinalDraft_7-31-25.PDF:Spergularia canadensis var. occidentalis
zips/2025080239/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/HTA Hydrogen Fueling Station IS-MND_FinalDraft_7-31-25.PDF:Carex arcta
zips/2025080239/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/HTA Hydrogen Fueling Station IS-MND_FinalDraft_7-31-25.PDF:Carex lyngbyei
zips/2025080239/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/HTA Hydrogen Fueling Station IS-MND_FinalDraft_7-31-25.PDF:Carex praticola
zips/2025080239/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/HTA Hydrogen Fueling Station IS-MND_FinalDraft_7-31-25.PDF:Astragalus pycnostachyus var.
zips/2025080239/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/HTA Hydrogen Fueling Station IS-MND_FinalDraft_7-31-25.PDF:Lathyrus japonicus
zips/2025080239/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/HTA Hydrogen Fueling Station IS-MND_FinalDraft_7-31-25.PDF:Lathyrus palustris
zips/2025080239/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/HTA Hydrogen Fueling Station IS-MND_FinalDraft_7-31-25.PDF:Erythronium revolutum
zips/2025080239/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/HTA Hydrogen Fueling Station IS-MND_FinalDraft_7-31-25.PDF:Lilium occidentale
zips/2025080239/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/HTA Hydrogen Fueling Station IS-MND_FinalDraft_7-31-25.PDF:Sidalcea malviflora ssp. patula
zips/2025080239/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/HTA Hydrogen Fueling Station IS-MND_FinalDraft_7-31-25.PDF:Sidalcea oregana ssp. eximia
zips/2025080239/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/HTA Hydrogen Fueling Station IS-MND_FinalDraft_7-31-25.PDF:Monotropa uniflora
zips/2025080239/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/HTA Hydrogen Fueling Station IS-MND_FinalDraft_7-31-25.PDF:Montia howellii
zips/2025080239/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/HTA Hydrogen Fueling Station IS-MND_FinalDraft_7-31-25.PDF:Abronia umbellata var. breviflora
zips/2025080239/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/HTA Hydrogen Fueling Station IS-MND_FinalDraft_7-31-25.PDF:Oenothera wolfii
zips/2025080239/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/HTA Hydrogen Fueling Station IS-MND_FinalDraft_7-31-25.PDF:Castilleja ambigua var. humboldtiensis
zips/2025080239/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/HTA Hydrogen Fueling Station IS-MND_FinalDraft_7-31-25.PDF:Castilleja litoralis
zips/2025080239/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/HTA Hydrogen Fueling Station IS-MND_FinalDraft_7-31-25.PDF:Chloropyron maritimum ssp. palustre
zips/2025080239/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/HTA Hydrogen Fueling Station IS-MND_FinalDraft_7-31-25.PDF:Collinsia corymbosa
zips/2025080239/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/HTA Hydrogen Fueling Station IS-MND_FinalDraft_7-31-25.PDF:Gilia capitata ssp. pacifica
zips/2025080239/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/HTA Hydrogen Fueling Station IS-MND_FinalDraft_7-31-25.PDF:Gilia millefoliata
zips/2025080239/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/HTA Hydrogen Fueling Station IS-MND_FinalDraft_7-31-25.PDF:Viola palustris
zips/2025080239/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/HTA Hydrogen Fueling Station IS-MND_FinalDraft_7-31-25.PDF:State listed as threatened or endangered including Beach layia (Layia carnosa), Menzies
zips/2025080239/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/HTA Hydrogen Fueling Station IS-MND_FinalDraft_7-31-25.PDF:wallflower (Erysimum menziesii), and Western lily (Lilium occidentale).
