zips/2008042054/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Samuel M Gantner Elementary - Threatened and Endangered Assessment.PDF:state-listed as endangered, the fleshy owl’s-clover (Castilleja campestris spp. succulenta), with the
zips/2008042054/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Samuel M Gantner Elementary - Threatened and Endangered Assessment.PDF:Fleshy Owl's-clover Castilleja campestris ssp. succulenta
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Arctostaphylos regismontana
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Arctostaphylos silvicola
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Astragalus pycnostachyus var.
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Calyptridium parryi var. hesseae
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Centromadia parryi ssp. congdonii
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Cirsium andrewsii
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Chorizanthe pungens var. hartwegiana
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Cirsium fontinale var. fontinale
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Cirsium praeteriens
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Clarkia concinna ssp. automixa
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Collinsia corymbosa
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Collinsia multicolor
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Dirca occidentalis
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Eriophyllum latilobum
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Eryngium aristulatum var. hooveri
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Eryngium jepsonii
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Erysimum ammophilum
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Fissidens pauperculus
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Fritillaria liliacea
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Grimmia torenii
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Grimmia vaginulata
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Hesperevax sparsiflora var. brevifolia
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Hesperolinon congestum
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Horkelia cuneata var. sericea
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Lasthenia californica ssp. macrantha
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Leptosiphon rosaceus
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Lessingia arachnoidea
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Malacothamnus arcuatus
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Microseris paludosa
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Monolopia gracilens
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Limnanthes douglasii ssp. sulphurea
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Orthotrichum kellmanii
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Pedicularis dudleyi
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Pentachaeta bellidiflora
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Penstemon rattanii var. kleei
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Pinus radiata
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Plagiobothrys chorisianus var. chorisianus
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Senecio aphanactis
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Sagittaria sanfordii
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Silene scouleri ssp. scouleri
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Silene verecunda ssp. verecunda
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Stebbinsoseris decipiens
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Stuckenia filiformis ssp. alpina
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Trifolium amoenum
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Trifolium buckwestiorum
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Trifolium polyodon
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Usnea longissima
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Agrostis blasdalei
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Allium peninsulare
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Amsinckia lunaris
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Androsace elongata
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Aphyllon robbinsii
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Arabis blepharophylla coast rockcress
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Astragalus agnicidus
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Astragalus nuttallii
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Calandrinia breweri
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Calyptridium parryi
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Castilleja ambigua
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Castilleja latifolia
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Centromadia parryi
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Chorizanthe pungens Ben Lomond
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Cirsium andrewsii
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Cirsium fontinale var. fountain thistle
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Cirsium praeteriens
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Clarkia concinna ssp.
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Collinsia corymbosa
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Collinsia multicolor
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Deinandra paniculata paniculate tarplant Asteraceae
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Dirca occidentalis
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Elymus californicus
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Eriophyllum latilobum San Mateo woolly
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Eryngium aristulatum Hoover's buttonvar. hooveri
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Eryngium jepsonii
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Fissidens pauperculus minute pocket
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Fritillaria agrestis
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Fritillaria liliacea
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Grimmia torenii
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Grimmia vaginulata
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Grindelia hirsutula
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Hesperevax sparsiflora short-leaved evax
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Horkelia cuneata var.
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Hosackia gracilis
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Iris longipetala
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Lasthenia californica
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Leptosiphon latisectus broad-lobed
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Leptosiphon rosaceus
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Lessingia arachnoidea Crystal Springs
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Lessingia hololeuca
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Lessingia tenuis
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Limnanthes douglasii
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Lupinus arboreus var. San Mateo tree
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Microseris paludosa
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Monolopia gracilens
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Pedicularis dudleyi
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Penstemon rattanii
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Perideridia gairdneri
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Pinus radiata
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Ranunculus lobbii
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Sagittaria sanfordii
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Sanicula hoffmannii
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Senecio aphanactis
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Silene scouleri ssp.
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Silene verecunda ssp.
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Stuckenia filiformis
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Trifolium amoenum
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Trifolium polyodon
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:Usnea longissima
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attachment F_Bio Report.PDF:San Mateo Woolly Sunflower Eriophyllum latilobum
zips/2026020674/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/PLN2024-00210 - Final NOI-IS-MND- 2-11-26.PDF:(Bromus hordeaceus). A few coast live oaks (Quercus agrifolia) and shreve oaks (Quercus parvula
