zips/2023020138/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/31680036 Fresno Central Southeast SP Recirculated Draft ISMND_PUBLIC.PDF:California satintail (Imperata brevifolia)
zips/2025120789/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/15 Acre Rezone - Biological Assessment 021725.PDF:Crocanthemum suffrutescens
zips/2025120789/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/15 Acre Rezone - Biological Assessment 021725.PDF:Eryngium pinnatisectum
zips/2025120789/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/15 Acre Rezone - Biological Assessment 021725.PDF:Eryngium racemosum
zips/2025120789/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/15 Acre Rezone - Biological Assessment 021725.PDF:Horkelia parryi
zips/2025120789/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/15 Acre Rezone - Biological Assessment 021725.PDF:Navarretia paradoxiclara
zips/2025120789/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/15 Acre Rezone - Biological Assessment 021725.PDF:Sphenopholis obtusata
zips/2025120793/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Documentation.PDF:Cypripedium californicum
zips/2025120793/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Documentation.PDF:Darlingtonia californica
zips/2025120793/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Documentation.PDF:Sedum paradisum ssp.
zips/2025120793/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Documentation.PDF:Cypripedium fasciculatum
zips/2025120793/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Documentation.PDF:Juncus dudleyi
zips/2025120793/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Documentation.PDF:Smilax jamesii
zips/2025120793/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Documentation.PDF:Tauschia glauca
zips/2025120793/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Documentation.PDF:Lewisia cotyledon var.
zips/2025120793/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Documentation.PDF:Draba howellii
zips/2025120793/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Documentation.PDF:Silene salmonacea
zips/2025120793/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Documentation.PDF:Erigeron petrophilus var.
zips/2025120793/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Documentation.PDF:Cypripedium montanum
zips/2025120793/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Documentation.PDF:Silene nelsonii
zips/2025120793/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Documentation.PDF:Epilobium oreganum
zips/2025120793/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Documentation.PDF:Fritillaria purdyi
zips/2025120793/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Documentation.PDF:Botrypus virginianus
zips/2025120793/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Documentation.PDF:Juncus regelii
zips/2025120793/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Documentation.PDF:Erigeron cervinus
zips/2025120793/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Documentation.PDF:Allium siskiyouense
zips/2025120793/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Documentation.PDF:Penstemon filiformis
zips/2025120793/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Documentation.PDF:Penstemon tracyi
zips/2025120793/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Documentation.PDF:Collomia tracyi
zips/2025120793/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Documentation.PDF:Juncus dudleyi
zips/2025120793/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Appendix B - Biological Resources Documentation.PDF:Juncus regelii
zips/2025120790/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Infill Environmental Checklist_2036 Bancroft Way.PDF:the Marin knotweed (Polygonum marinense) is considered extirpated in the surrounding area of the
zips/2025120790/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Infill Environmental Checklist_2036 Bancroft Way.PDF:California Native Plant Society (CNPS). CNPS Rare Plant Inventory, Polygonum marinense (Marin
zips/2025120790/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Infill Environmental Checklist_2036 Bancroft Way.PDF:Dark-eyed gilia (Gilia millefoliata)
zips/2025120790/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Infill Environmental Checklist_2036 Bancroft Way.PDF:Marin knotweed (Polygonum marinense)
