zips/2026010949/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Site23.PDF:Alkali milk-vetch (Astragalus tener var. tener); CRPR 1B.2
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Brodiaea leptandra
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Calamagrostis crassiglumis
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Campanula californica
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Castilleja uliginosa
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Ceanothus divergens
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Ceanothus masonii
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Ceanothus purpureus
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Ceanothus confusus
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Ceanothus foliosus var. vineatus
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Ceanothus sonomensis
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Chloropyron molle ssp. molle
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Centromadia parryi ssp. parryi
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Chloropyron maritimum ssp. palustre
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Chorizanthe valida
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Cirsium andrewsii
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Clarkia imbricata
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Cuscuta obtusiflora var. glandulosa
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Delphinium bakeri
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Delphinium luteum
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Downingia pusilla
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Fritillaria liliacea
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Eriogonum luteolum var. caninum
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Gilia capitata ssp. tomentosa
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Hemizonia congesta ssp. congesta
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Hesperolinon congestum
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Horkelia tenuiloba
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Lasthenia burkei
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Lasthenia californica ssp. bakeri
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Lasthenia conjugens
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Layia septentrionalis
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Leptosiphon jepsonii
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Lilium pardalinum ssp. pitkinense
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Limnanthes vinculans
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Microseris paludosa
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Navarretia leucocephala ssp. bakeri
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Penstemon newberryi var. sonomensis
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Plagiobothrys mollis var. vestitus
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Pleuropogon hooverianus
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Polygonum marinense
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Potentilla uliginosa
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Rhynchospora alba
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Rhynchospora californica
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Rhynchospora capitellata
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Rhynchospora globularis
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Sidalcea calycosa ssp. rhizomata
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Sidalcea oregana ssp. valida
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Streptanthus anomalus
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Trifolium amoenum
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Trifolium buckwestiorum
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Trifolium hydrophilum
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Triquetrella californica
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Trifolium polyodon
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Viburnum ellipticum
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Burke's Gold elds Lasthenia burkei
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Sebastopol Meadowfoam Limnanthes vinculans
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Showy Indian Clover Trifolium amoenum
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Sonoma Alopecurus Alopecurus aequalis var. sonomensis
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Sonoma Sunshine Blennosperma bakeri
zips/2026010973/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Petaluma Rd_ISMND_012126_ADA_full.PDF:Pinus radiata.
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:A 1892 occurrence of Dwarf downingia (Downingia pusilla) overlaps with the parcel, however, the occurrence is
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:goldfields (Lasthenia conjugens) along CA-29. There is no other Federal Critical Habitat within 10
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:Dwarf downingia (Downingia pusilla). This species is not listed as Endangered or Threatened by the
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:sunshine (Blennosperma bakeri), with two occurrences located 1.1 miles west and 1.2 miles
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:Congested-headed hayfield tarplant (Hemizonia congesta ssp. congesta) located approximately 1.4
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:special-status plant species is Saline clover (Trifolium hydrophilum) located approximately 2.0 miles
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Astragalus tener var. tener)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Lasthenia californica ssp. bakeri)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Delphinium bakeri)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Arctostaphylos bakeri ssp. bakeri)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Navarretia leucocephala ssp.
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Amsinckia lunaris)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Balsamorhiza macrolepis)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Blepharizonia plumosa)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Agrostis blasdalei)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Gilia capitata ssp. chamissonis)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Gratiola heterosepala)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Carex comosa)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Rhynchospora capitellata)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Lasthenia burkei)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Puccinellia simplex)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Rhynchospora californica)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Ceanothus divergens)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Tropidocarpum capparideum)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Astragalus claranus)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Lilium maritimum)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Calystegia purpurata ssp. saxicola)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Lupinus sericatus)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Layia septentrionalis)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Centromadia parryi ssp.
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Hemizonia congesta ssp.
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Lasthenia conjugens)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Potentilla uliginosa)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Downingia pusilla)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Fritillaria liliacea)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Allium peninsulare var. franciscanum)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Delphinium luteum)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Erigeron greenei)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Ceanothus purpureus)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Delphinium californicum ssp. interius)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Eryngium jepsonii)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Leptosiphon jepsonii)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Sidalcea oregana ssp. valida)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Arctostaphylos manzanita ssp. elegans)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Deinandra bacigalupii)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Eryngium constancei)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Navarretia leucocephala spp. plieantha)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Sidalcea malachroides)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Polygonum marinense)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Microseris paludosa)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Lathyrus palustris)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Calystegia collina ssp. oxyphylla)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Sidalcea hickmanii ssp. napensis)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Amorpha californica var. napensis)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Brodiaea leptandra)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Pleuropogon hooverianus)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Polemonium carneum)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Viburnum ellipticum)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Gilia capitata ssp. pacifica)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Centromadia parryi ssp. parryi)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Cordylanthus tenuis ssp. capillaris)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Lasthenia californica ssp. macrantha)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Cuscuta obtusiflora var.
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Plagiobothrys mollis var. vestitus)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Abronia umbellata var. breviflora)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Lilium pardalinum ssp.
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Castilleja uliginosa)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Sidalcea calycosa ssp. rhizomata)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Chloropyron maritimum ssp. palustre)
zips/2026010974/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Wingo_ISMND.PDF:(Sidalcea malviflora spp. purpurea)
