zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:(Calochortus striatus)
zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:(Calochortus striatus)
zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:(Lasthenia chrysantha)
zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:(Atriplex depressa)
zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:(Puccinellia simplex)
zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:(Lasthenia glabrata ssp.
zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:(Atriplex cordulata var.
zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:(Eremalche parryi ssp.
zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:(Atriplex minuscula)
zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:(Atriplex coronata var.
zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:(Monolopia congdonii)
zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:(Atriplex subtilis)
zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:(Atriplex persistens)
zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:(Caulanthus californicus)
zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:(Eremalche parryi ssp. kernensis)
zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:(Monolopia congdonii)
zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:Calochortus striatus
zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:Lasthenia chrysantha
zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:Atriplex depressa
zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:Puccinellia simplex
zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:Caulanthus californicus
zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:Lasthenia glabrata ssp. coulteri
zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:Atriplex cordulata var. erecticaulis
zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:Eremalche parryi ssp. kernensis
zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:Atriplex minuscula
zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:Atriplex coronata var. vallicola
zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:Delphinium recurvatum
zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:Monolopia congdonii
zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:Eryngium spinosepalum
zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:Atriplex subtilis
zips/2024080045/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Pixley PUD TCP Mitigation Project CEQA_Plus ISMND_August 2024.PDF:Atriplex persistens
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:alkali weed (Cressa truxillensis), bristly oxtongue, common spikeweed (Centromadia pungens), common
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:(Astragalus tener var.
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:(Lasthenia chrysantha)
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:(Atriplex depressa)
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:(Puccinellia simplex)
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:(Neostapfia colusana)
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:(Lasthenia glabrata
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:(Atriplex cordulata var.
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:(Lepidium latipes var.
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:(Euphorbia hooveri)
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:(Atriplex minuscula)
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:(Navarretia prostrata)
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:(Extriplex joaquinana)
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:(Sagittaria sanfordii)
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:(Atriplex subtilis)
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:(Atriplex persistens)
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:(Trichocoronis wrightii
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:(Astragalus tener var.
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:(Puccinellia simplex)
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:(Atriplex depressa)
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:(Lasthenia glabrata
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:(Atriplex cordulata
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:(Lepidium latipes
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:(Chloropyron molle
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:(Euphorbia hooveri)
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:(Atriplex minuscula)
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:(Stuckenia filiformis
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:(Sagittaria sanfordii)
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:(Atriplex subtilis)
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:(Atriplex persistens)
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:Astragalus tener var. tener
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:Lasthenia chrysantha
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:Atriplex depressa
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:Puccinellia simplex
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:Neostapfia colusana
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:Lasthenia glabrata ssp. coulteri
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:Eryngium racemosum
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:Atriplex cordulata var. cordulata
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:Lepidium latipes var. heckardii
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:Chloropyron molle ssp. hispidum
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:Euphorbia hooveri
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:Atriplex minuscula
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:Stuckenia filiformis ssp. alpina
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:Navarretia prostrata
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:Delphinium recurvatum
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:Extriplex joaquinana
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:Sagittaria sanfordii
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:Eryngium spinosepalum
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:Atriplex subtilis
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:Atriplex persistens
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:Trichocoronis wrightii var. wrightii
zips/2024080044/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/TIWD Shallow Well_Water Conservation Project Draft IS.PDF:Colusa Grass Neostapfia colusana
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:occurring special-status plant species that would have been detectable at the time of the survey, including bentflowered fiddleneck (Amsinckia lunaris), California androsace (Androsace elongata ssp. acuta), Diablo helianthella
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:(Helianthella castanea), bristly leptosiphon (Leptosiphon auerus), Santa Clara red ribbons (Clarkia concinna ssp.
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:californica), naked buckwheat (Eriogonum nudum), California everlasting (Pseudognaphalium californicum), and yarrow
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:(Claytonia parviflora), California man-root (Marah
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:(Amsinckia lunaris)
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:(Androsace elongata ssp.
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:(Helianthella castanea)
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:(Clarkia concinna ssp.
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Claytonia parviflora
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Sanicula maritima
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Astragalus tener var. tener
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Eriogonum umbellatum var.
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Amsinckia lunaris
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Balsamorhiza macrolepis
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Hesperolinon breweri
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Androsace elongata ssp. acuta
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Suaeda californica
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Ravenella exigua
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Senecio aphanactis
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Triquetrella californica
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Centromadia parryi ssp.
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Lasthenia conjugens
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Arctostaphylos manzanita ssp.
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Erythranthe laciniata
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Gilia millefoliata
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Helianthella castanea
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Fritillaria liliacea
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Plagiobothrys glaber
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Malacothamnus hallii
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Eryngium aristulatum var. hooveri
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Delphinium californicum ssp.
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Eryngium jepsonii
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Eriophyllum jepsonii
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Castilleja ambigua var. ambigua
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Horkelia cuneata var. sericea
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Leptosiphon grandiflorus
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Ranunculus lobbii
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Hoita strobilina
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Spergularia macrotheca var.
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Polygonum marinense
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Fissidens pauperculus
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Eriogonum truncatum
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Calochortus pulchellus
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Streptanthus hispidus
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Arctostaphylos auriculata
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Phacelia phacelioides
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Stuckenia filiformis ssp. alpina
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Calochortus umbellatus
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Meconella oregana
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Polemonium carneum
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Viburnum ellipticum
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Arctostaphylos pallida
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Galium andrewsii ssp. gatense
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Chloropyron maritimum ssp.
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Clarkia franciscana
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Chorizanthe robusta var. robusta
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Trifolium hydrophilum
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Extriplex joaquinana
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Clarkia concinna ssp. automixa
zips/2024080043/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Attach B_Bio.PDF:Holocarpha macradenia
