zips/2024071069/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ATT 1 LSA Biological Resources Assessment_8-2018.PDF:Alopecurus aequalis
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Tortula californica
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Abronia villosa var.
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Abronia villosa var. aurita, is an
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Allium marvinii
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Allium munzii
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Yucaipa onion, Allium marvinii, A
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Munz's onion, Allium munzii, is a A
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Ambrosia pumila
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Atriplex parishii
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Atriplex serenana
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Brodiaea filifolia
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Chorizanthe polygonoides var.
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Dudleya multicaulis
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Dudleya multicaulis, has a
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Lasthenia glabrata
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Myosurus minimus
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Navarretia fossalis
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Phacelia stellaris
zips/2024071066/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/1L820 Draft IS with MND Approved 6-28-2024.PDF:Navarretia fossalis, is a federally
zips/2024071051/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CUP 23-06 TPM 23-01 MND MMRP DRAFT 07.PDF:(Lasthenia chrysantha)
zips/2024071051/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CUP 23-06 TPM 23-01 MND MMRP DRAFT 07.PDF:(Puccinellia simplex)
zips/2024071051/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CUP 23-06 TPM 23-01 MND MMRP DRAFT 07.PDF:(Atriplex cordulata var.
zips/2024071051/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CUP 23-06 TPM 23-01 MND MMRP DRAFT 07.PDF:(Atriplex minuscula)
zips/2024071051/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CUP 23-06 TPM 23-01 MND MMRP DRAFT 07.PDF:(Sagittaria sanfordii)
zips/2024071051/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CUP 23-06 TPM 23-01 MND MMRP DRAFT 07.PDF:spicata, FAC), fiddleneck (Amsinckia menziesii, UPL) and tarplant (Centromadia pungens,
zips/2024071051/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CUP 23-06 TPM 23-01 MND MMRP DRAFT 07.PDF:Alkali sink goldfields (Lasthenia chrysantha)
zips/2024071051/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CUP 23-06 TPM 23-01 MND MMRP DRAFT 07.PDF:Brittlescale (Atriplex depressa)
zips/2024071051/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CUP 23-06 TPM 23-01 MND MMRP DRAFT 07.PDF:California alkali grass (Puccinellia simplex)
zips/2024071051/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CUP 23-06 TPM 23-01 MND MMRP DRAFT 07.PDF:Earlimart orache (Atriplex cordulata var. erecticaulis)
zips/2024071051/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CUP 23-06 TPM 23-01 MND MMRP DRAFT 07.PDF:Heartscale (Atriplex cordulata var. cordulata)
zips/2024071051/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CUP 23-06 TPM 23-01 MND MMRP DRAFT 07.PDF:Mud nama (Nama stenocarpa)
zips/2024071051/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CUP 23-06 TPM 23-01 MND MMRP DRAFT 07.PDF:Lesser saltscale (Atriplex minuscula)
zips/2024071051/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CUP 23-06 TPM 23-01 MND MMRP DRAFT 07.PDF:Recurved larkspur (Delphinium recurvatum)
zips/2024071051/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CUP 23-06 TPM 23-01 MND MMRP DRAFT 07.PDF:Sanford’s arrowhead (Sagittaria sanfordii)
zips/2024071051/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CUP 23-06 TPM 23-01 MND MMRP DRAFT 07.PDF:Subtle orache (Atriplex subtilis)
zips/2024071051/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/CUP 23-06 TPM 23-01 MND MMRP DRAFT 07.PDF:FAC), fiddleneck (Amsinckia menziesii, UPL) and tarplant (Centromadia pungens, FAC) 4. The
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ENV-2023-6313-MND_1.PDF:of a 1966 observance of Coulter’s goldfields (Lasthenia glabrata ssp. coulteri); however, the site does not
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/ENV-2023-6313-MND_1.PDF:excluding the scrub oak (Quercus dumosa), southern California black walnut (Juglans californica var.
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Astragalus brauntonii
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Astragalus pycnostachyus var. lanosissimus
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Astragalus tener var. titi
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Atriplex coulteri
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Atriplex pacifica
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Atriplex parishii
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Atriplex serenana var. davidsonii
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Baccharis malibuensis
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Berberis nevinii
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Calochortus clavatus var. gracilis
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Calochortus fimbriatus
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Calochortus plummerae
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Centromadia parryi ssp. australis
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Chloropyron maritimum ssp. maritimum
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Chorizanthe parryi var. fernandina
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Deinandra minthornii
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Dithyrea maritima
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Dodecahema leptoceras
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Dudleya blochmaniae ssp. blochmaniae
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Dudleya cymosa ssp. marcescens
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Dudleya cymosa ssp. ovatifolia
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Dudleya multicaulis
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Harpagonella palmeri
zips/2024071050/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/AppendixC_Biological Resources .PDF:Horkelia cuneata var. puberula
