zips/2026010040/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Initial Study MND Wastewater Control Plant Annexation and Colusa Triple Crown Development.PDF:the potential to occur within the BSA include heartscale (Atriplex cordulata var. cordulata). Special-status
zips/2026011047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Clean_to_MET_Bouldin_ISMND 1-16-26_Signed 1-21-2026_.PDF:Lathyrus jepsonii
zips/2026011047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Clean_to_MET_Bouldin_ISMND 1-16-26_Signed 1-21-2026_.PDF:Limosella australis
zips/2026011047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Clean_to_MET_Bouldin_ISMND 1-16-26_Signed 1-21-2026_.PDF:Oenothera deltoides
zips/2026011047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Clean_to_MET_Bouldin_ISMND 1-16-26_Signed 1-21-2026_.PDF:Sagittaria sanfordii
zips/2026011047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Clean_to_MET_Bouldin_ISMND 1-16-26_Signed 1-21-2026_.PDF:Anemopsis californica - Helianthus nuttallii Solidago spectabilis Herbaceous Alliance (Yerba
zips/2026011047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Clean_to_MET_Bouldin_ISMND 1-16-26_Signed 1-21-2026_.PDF:Anemopsis californica - Helianthus nuttallii Solidago spectabilis Herbaceous Alliance (Yerba
zips/2026011047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Clean_to_MET_Bouldin_ISMND 1-16-26_Signed 1-21-2026_.PDF:Monterey pine (Pinus radiata), and Monterey cypress
zips/2026011047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Clean_to_MET_Bouldin_ISMND 1-16-26_Signed 1-21-2026_.PDF:(Cupressus macrocarpa)
zips/2026011047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Clean_to_MET_Bouldin_ISMND 1-16-26_Signed 1-21-2026_.PDF:Calystegia sepium
zips/2026011047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Clean_to_MET_Bouldin_ISMND 1-16-26_Signed 1-21-2026_.PDF:Lasthenia glabrata
zips/2026011047/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Clean_to_MET_Bouldin_ISMND 1-16-26_Signed 1-21-2026_.PDF:Lathyrus jepsonii var.
zips/2026011064/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/Johnson Springview Pedestrian Bridge Project_IS_MND.PDF:calycadenia (Calycadenia spicata), Brandegee’s clarkia (Clarkia biloba ssp. brandegeeae), and
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:Hemizonia congesta
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Limnanthes vinculans) near the western parcel boundary that was registered on April 28, 2009 in the
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Sonchus asper), reed fescue (Festuca arundinaceae), California bedstraw (Galium californicum),
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Astragalus tener var. tener)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Lasthenia californica ssp.
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Delphinium bakeri)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Arctostaphylos bakeri ssp.
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Navarretia leucocephala ssp.
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Amsinckia lunaris)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Balsamorhiza macrolepis)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Blepharizonia plumosa)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Agrostis blasdalei)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Gilia capitata ssp. chamissonis)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Gratiola heterosepala)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Rhynchospora capitellata)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Lasthenia burkei)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Puccinellia simplex)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Rhynchospora californica)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Ceanothus divergens)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Tropidocarpum capparideum)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Astragalus claranus)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Lilium maritimum)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Calystegia purpurata ssp.
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Lupinus sericatus)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Layia septentrionalis)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Centromadia parryi ssp.
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Hemizonia congesta ssp.
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Lasthenia conjugens)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Potentilla uliginosa)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Downingia pusilla)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Fritillaria liliacea)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Allium peninsulare var.
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Delphinium luteum)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Erigeron greenei)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Ceanothus purpureus)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Delphinium californicum ssp.
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Eryngium jepsonii)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Leptosiphon jepsonii)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Sidalcea oregana ssp. valida)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Arctostaphylos manzanita ssp.
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Deinandra bacigalupii)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Eryngium constancei)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Navarretia leucocephala spp.
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Sidalcea malachroides)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Polygonum marinense)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Microseris paludosa)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Lathyrus palustris)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Calystegia collina ssp.
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Sidalcea hickmanii ssp.
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Amorpha californica var.
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Brodiaea leptandra)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Pleuropogon hooverianus)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Viburnum ellipticum)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Gilia capitata ssp. pacifica)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Centromadia parryi ssp. parryi)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Lasthenia californica ssp.
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Cuscuta obtusiflora var.
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Plagiobothrys mollis var.
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Lilium pardalinum ssp.
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Castilleja uliginosa)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Sidalcea calycosa ssp.
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Chloropyron maritimum ssp.
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Clarkia concinna spp. raichei)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Ceanothus confusus)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Arctostaphylos stanfordiana
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Rhynchospora globularis)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Trifolium hydrophilum)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Extriplex joaquinana)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Stebbinsoseris decipiens)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Limnanthes vinculans)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Hesperevax sparsiflora var.
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Chloropyron molle ssp. molle)
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Alopecurus aequalis var.
zips/2026011065/Draft Environmental Document [Draft IS, NOI_NOA_Public notices, OPR Summary Form, Appx,]/DCC_Sonoma_Gravenstein ISMND_012126_ADA_full.PDF:(Penstemon newberryi var.
